legitimate_value,attr1_value,attr2_value,csp_rate
6220.0,1.0,2.0,0.0
5900.0,9.0,2.0,0.0
5910.0,1.0,2.0,0.0
5910.0,9.0,1.0,0.0
2170.0,8.0,2.0,0.0
2170.0,6.0,2.0,0.0
3602.0,9.0,2.0,0.0
2170.0,2.0,2.0,0.0
5920.0,6.0,1.0,0.0
3603.0,2.0,2.0,0.0
3603.0,6.0,2.0,0.0
4220.0,8.0,1.0,0.0
3603.0,8.0,1.0,0.0
4220.0,8.0,2.0,0.0
2145.0,8.0,1.0,0.0
3603.0,8.0,2.0,0.0
3603.0,9.0,1.0,0.0
4220.0,9.0,2.0,0.0
5900.0,6.0,1.0,0.0
3603.0,9.0,2.0,0.0
5900.0,1.0,2.0,0.0
3602.0,8.0,2.0,0.0
5850.0,9.0,1.0,0.0
3601.0,6.0,1.0,0.0
3601.0,6.0,2.0,0.0
2300.0,8.0,2.0,0.0
2300.0,6.0,2.0,0.0
3601.0,8.0,1.0,0.0
3601.0,8.0,2.0,0.0
2300.0,1.0,1.0,0.0
4220.0,2.0,2.0,0.0
3602.0,1.0,2.0,0.0
3602.0,2.0,2.0,0.0
5860.0,2.0,1.0,0.0
3602.0,6.0,1.0,0.0
3602.0,6.0,2.0,0.0
3602.0,8.0,1.0,0.0
5860.0,8.0,1.0,0.0
5860.0,8.0,2.0,0.0
5900.0,1.0,1.0,0.0
4230.0,1.0,2.0,0.0
4230.0,2.0,1.0,0.0
2105.0,9.0,2.0,0.0
2050.0,9.0,2.0,0.0
2050.0,2.0,2.0,0.0
6050.0,1.0,2.0,0.0
4230.0,6.0,2.0,0.0
3605.0,2.0,1.0,0.0
2040.0,9.0,2.0,0.0
2040.0,9.0,1.0,0.0
2040.0,8.0,1.0,0.0
4230.0,8.0,1.0,0.0
4230.0,8.0,2.0,0.0
4230.0,9.0,2.0,0.0
4720.0,2.0,1.0,0.0
6050.0,2.0,2.0,0.0
6050.0,6.0,1.0,0.0
2025.0,8.0,1.0,0.0
2025.0,6.0,2.0,0.0
3605.0,2.0,2.0,0.0
3605.0,1.0,2.0,0.0
3605.0,1.0,1.0,0.0
2060.0,2.0,1.0,0.0
2060.0,2.0,2.0,0.0
2105.0,8.0,2.0,0.0
5940.0,8.0,2.0,0.0
5940.0,9.0,1.0,0.0
5940.0,9.0,2.0,0.0
6005.0,1.0,2.0,0.0
6005.0,8.0,1.0,0.0
6005.0,9.0,2.0,0.0
4230.0,2.0,2.0,0.0
5850.0,8.0,2.0,0.0
6010.0,1.0,2.0,0.0
6040.0,1.0,2.0,0.0
6040.0,2.0,1.0,0.0
6040.0,2.0,2.0,0.0
