legitimate_value,attr1_value,attr2_value,csp_rate
13.0,9.0,2.0,0.0
10.0,2.0,2.0,0.0
10.0,2.0,1.0,0.0
10.0,1.0,2.0,0.0
15.0,8.0,2.0,0.0
9.0,9.0,2.0,0.0
9.0,9.0,1.0,0.0
9.0,8.0,1.0,0.0
9.0,6.0,2.0,0.0
9.0,6.0,1.0,0.0
10.0,6.0,2.0,0.0
9.0,2.0,2.0,0.0
15.0,9.0,2.0,0.0
8.0,9.0,2.0,0.0
8.0,8.0,2.0,0.0
8.0,8.0,1.0,0.0
14.0,6.0,1.0,0.0
8.0,6.0,1.0,0.0
8.0,2.0,2.0,0.0
8.0,2.0,1.0,0.0
8.0,1.0,2.0,0.0
9.0,2.0,1.0,0.0
15.0,8.0,1.0,0.0
10.0,8.0,2.0,0.0
10.0,9.0,1.0,0.0
14.0,6.0,2.0,0.0
13.0,9.0,1.0,0.0
13.0,8.0,2.0,0.0
14.0,9.0,2.0,0.0
13.0,6.0,1.0,0.0
13.0,2.0,2.0,0.0
12.0,9.0,2.0,0.0
12.0,9.0,1.0,0.0
12.0,8.0,2.0,0.0
12.0,8.0,1.0,0.0
12.0,6.0,2.0,0.0
12.0,6.0,1.0,0.0
12.0,2.0,2.0,0.0
12.0,2.0,1.0,0.0
11.0,9.0,2.0,0.0
11.0,9.0,1.0,0.0
11.0,8.0,2.0,0.0
11.0,6.0,2.0,0.0
11.0,2.0,2.0,0.0
11.0,1.0,2.0,0.0
10.0,9.0,2.0,0.0
7.0,9.0,2.0,0.0
7.0,8.0,2.0,0.0
8.0,6.0,2.0,0.0
7.0,6.0,2.0,0.0
4.0,8.0,1.0,0.0
4.0,2.0,2.0,0.0
17.0,6.0,2.0,0.0
4.0,1.0,1.0,0.0
3.0,9.0,2.0,0.0
7.0,8.0,1.0,0.0
3.0,8.0,1.0,0.0
3.0,6.0,1.0,0.0
4.0,8.0,2.0,0.0
3.0,1.0,2.0,0.0
2.0,6.0,2.0,0.0
2.0,2.0,2.0,0.0
2.0,2.0,1.0,0.0
1.0,9.0,2.0,0.0
1.0,9.0,1.0,0.0
1.0,6.0,2.0,0.0
1.0,2.0,2.0,0.0
1.0,2.0,1.0,0.0
2.0,8.0,2.0,0.0
5.0,1.0,1.0,0.0
3.0,8.0,2.0,0.0
5.0,2.0,1.0,0.0
7.0,6.0,1.0,0.0
7.0,2.0,2.0,0.0
7.0,1.0,2.0,0.0
7.0,1.0,1.0,0.0
6.0,9.0,1.0,0.0
6.0,8.0,2.0,0.0
5.0,1.0,2.0,0.0
6.0,6.0,2.0,0.0
6.0,6.0,1.0,0.0
6.0,2.0,2.0,0.0
6.0,8.0,1.0,0.0
14.0,2.0,2.0,0.0
6.0,1.0,2.0,0.0
5.0,6.0,2.0,0.0
5.0,8.0,1.0,0.0
17.0,8.0,2.0,0.0
5.0,8.0,2.0,0.0
5.0,9.0,2.0,0.0
13.0,1.0,2.0,0.004464285714285714
14.0,1.0,2.0,0.010482180293501049
9.0,1.0,2.0,0.012658227848101266
1.0,8.0,1.0,0.013888888888888888
16.0,6.0,2.0,0.01568627450980392
16.0,8.0,2.0,0.01597444089456869
15.0,6.0,2.0,0.017241379310344827
16.0,2.0,2.0,0.021464646464646464
12.0,1.0,2.0,0.021739130434782608
11.0,8.0,1.0,0.023255813953488372
18.0,8.0,2.0,0.023255813953488372
9.0,8.0,2.0,0.024390243902439025
15.0,2.0,2.0,0.02564102564102564
17.0,2.0,2.0,0.02631578947368421
14.0,8.0,2.0,0.029411764705882353
1.0,8.0,2.0,0.030303030303030304
13.0,2.0,1.0,0.031746031746031744
15.0,2.0,1.0,0.03333333333333333
19.0,8.0,2.0,0.03482587064676617
16.0,9.0,2.0,0.03773584905660377
14.0,8.0,1.0,0.038461538461538464
15.0,1.0,2.0,0.03873239436619718
8.0,1.0,1.0,0.04
18.0,2.0,2.0,0.042483660130718956
17.0,1.0,2.0,0.04263565891472868
15.0,6.0,1.0,0.04285714285714286
13.0,8.0,1.0,0.043478260869565216
17.0,9.0,2.0,0.047619047619047616
17.0,2.0,1.0,0.05063291139240506
14.0,2.0,1.0,0.052083333333333336
16.0,1.0,2.0,0.05712050078247261
9.0,1.0,1.0,0.05714285714285714
18.0,6.0,2.0,0.060240963855421686
1.0,1.0,2.0,0.06172839506172839
14.0,9.0,1.0,0.06451612903225806
11.0,2.0,1.0,0.07142857142857142
15.0,9.0,1.0,0.07407407407407407
16.0,8.0,1.0,0.07568807339449542
19.0,2.0,2.0,0.07602339181286549
6.0,1.0,1.0,0.07692307692307693
17.0,9.0,1.0,0.08108108108108109
19.0,6.0,2.0,0.0881057268722467
1.0,6.0,1.0,0.08928571428571429
11.0,6.0,1.0,0.09090909090909091
18.0,9.0,2.0,0.09523809523809523
16.0,2.0,1.0,0.09703196347031963
13.0,1.0,1.0,0.09743589743589744
13.0,6.0,2.0,0.1
19.0,9.0,2.0,0.10101010101010101
12.0,1.0,1.0,0.10526315789473684
14.0,1.0,1.0,0.10914454277286136
19.0,1.0,2.0,0.11970702677958343
1.0,1.0,1.0,0.12556053811659193
18.0,1.0,2.0,0.13053835159599808
20.0,2.0,2.0,0.14640198511166252
20.0,8.0,2.0,0.1504424778761062
16.0,9.0,1.0,0.15311004784688995
17.0,8.0,1.0,0.15714285714285714
4.0,1.0,2.0,0.16666666666666666
17.0,6.0,1.0,0.175
10.0,1.0,1.0,0.175
18.0,2.0,1.0,0.17647058823529413
15.0,1.0,1.0,0.18461538461538463
19.0,8.0,1.0,0.18981481481481483
16.0,6.0,1.0,0.1934156378600823
20.0,9.0,2.0,0.19791666666666666
18.0,8.0,1.0,0.20430107526881722
19.0,2.0,1.0,0.20957095709570958
10.0,8.0,1.0,0.21428571428571427
18.0,9.0,1.0,0.21518987341772153
11.0,1.0,1.0,0.21904761904761905
19.0,6.0,1.0,0.2320675105485232
17.0,1.0,1.0,0.2329093799682035
20.0,6.0,2.0,0.23976608187134502
20.0,1.0,2.0,0.25229357798165136
21.0,8.0,2.0,0.266304347826087
19.0,9.0,1.0,0.27380952380952384
2.0,1.0,2.0,0.3
20.0,2.0,1.0,0.3018867924528302
16.0,1.0,1.0,0.3124467178175618
18.0,6.0,1.0,0.3181818181818182
23.0,8.0,2.0,0.3333333333333333
10.0,6.0,1.0,0.3333333333333333
20.0,8.0,1.0,0.3380281690140845
21.0,9.0,2.0,0.3548387096774194
2.0,1.0,1.0,0.4
3.0,1.0,1.0,0.4
21.0,2.0,2.0,0.4041204437400951
18.0,1.0,1.0,0.41996481970096744
19.0,1.0,1.0,0.4331140350877193
20.0,9.0,1.0,0.4507042253521127
21.0,1.0,2.0,0.46002108116247553
21.0,8.0,1.0,0.4859154929577465
20.0,6.0,1.0,0.4934210526315789
21.0,2.0,1.0,0.5319634703196348
21.0,6.0,2.0,0.5404624277456648
20.0,1.0,1.0,0.5709816190848651
22.0,8.0,2.0,0.6222222222222222
21.0,9.0,1.0,0.7
21.0,6.0,1.0,0.7001477104874446
22.0,2.0,2.0,0.7267080745341615
22.0,1.0,2.0,0.7319840539711745
24.0,2.0,2.0,0.7368421052631579
24.0,8.0,1.0,0.75
22.0,9.0,2.0,0.7578947368421053
22.0,6.0,2.0,0.7604790419161677
21.0,1.0,1.0,0.7690124010159869
24.0,9.0,2.0,0.7692307692307693
22.0,8.0,1.0,0.7777777777777778
22.0,2.0,1.0,0.7868852459016393
23.0,2.0,2.0,0.8148148148148148
23.0,1.0,2.0,0.8327814569536424
23.0,2.0,1.0,0.8536585365853658
24.0,8.0,2.0,0.8571428571428571
22.0,9.0,1.0,0.8611111111111112
24.0,1.0,2.0,0.8650602409638555
23.0,6.0,1.0,0.883495145631068
23.0,6.0,2.0,0.898989898989899
22.0,1.0,1.0,0.8997279440342013
23.0,9.0,1.0,0.9
23.0,8.0,1.0,0.9
22.0,6.0,1.0,0.9035294117647059
23.0,9.0,2.0,0.9047619047619048
24.0,6.0,2.0,0.9186046511627907
24.0,2.0,1.0,0.9310344827586207
24.0,1.0,1.0,0.9317803660565723
23.0,1.0,1.0,0.943217665615142
24.0,6.0,1.0,0.9473684210526315
24.0,9.0,1.0,1.0
4.0,2.0,1.0,1.0
