legitimate_value,attr1_value,attr2_value,csp_rate
5122,25_45,1.0,0.06986929
3212,45_60,1.0,0.15980348
4595,18_25,1.0,0.1647935
4248,18_25,1.0,0.17684937
562,18_25,1.0,0.18767396
3366,18_25,1.0,0.19288334
4245,25_45,2.0,0.19592154
8139Z,18_25,1.0,0.20032749
3255,18_25,1.0,0.21156515
3118Z,45_60,2.0,0.21285114
311811,18_25,2.0,0.21431322
3313,18_25,2.0,0.21569166
45921,60_plus,1.0,0.22817518
4491,45_60,1.0,0.23277062
3322,25_45,1.0,0.23655528
3162,18_25,1.0,0.23808509
3212,45_60,2.0,0.24821144
5221M,18_25,1.0,0.25196078
92811P1,45_60,1.0,0.25582278
3122,45_60,2.0,0.25781503
3252,25_45,2.0,0.25996017
4593,18_25,1.0,0.26195478
4551,18_25,1.0,0.26543337
3231,18_25,2.0,0.2657195
5132,60_plus,1.0,0.2673358
3399M,25_45,1.0,0.27367085
5131Z,18_25,2.0,0.27441043
32221,60_plus,1.0,0.2758827
424M,25_45,2.0,0.27728134
6244,60_plus,1.0,0.2797272
4441Z,18_25,2.0,0.2802514
811192,45_60,1.0,0.28133503
92M1,25_45,1.0,0.28738976
81393,25_45,2.0,0.28936842
44414,45_60,1.0,0.29331124
92811P6,18_25,2.0,0.29459625
3115,25_45,2.0,0.29502314
711M,18_25,1.0,0.29721147
4591M,60_plus,2.0,0.29739466
5414,18_25,2.0,0.2986281
6222,60_plus,1.0,0.29916584
311811,45_60,1.0,0.3048768
532M2,18_25,1.0,0.30711105
4231,18_25,2.0,0.30714777
4595,25_45,1.0,0.30735096
3MS,45_60,2.0,0.30819935
3261,60_plus,2.0,0.31223243
3336,60_plus,1.0,0.31236166
92119,45_60,2.0,0.3128367
4412,18_25,2.0,0.3132599
3321,60_plus,1.0,0.31550562
44513,25_45,2.0,0.3156728
4492,60_plus,1.0,0.31625342
4412,60_plus,2.0,0.3166285
55,18_25,2.0,0.31694615
3272,60_plus,2.0,0.3182562
327M,60_plus,1.0,0.31827056
811192,25_45,2.0,0.31877232
332MZ,45_60,1.0,0.31925404
92811P1,25_45,2.0,0.3215826
211,25_45,2.0,0.32383853
3121,18_25,1.0,0.32669052
814,45_60,1.0,0.3273872
311M1,60_plus,1.0,0.32748914
424M,45_60,2.0,0.327936
3256,18_25,1.0,0.32902357
4571,45_60,2.0,0.3291529
721M,25_45,2.0,0.3292883
92811P3,45_60,1.0,0.32951882
561M,18_25,2.0,0.32965308
7112,60_plus,2.0,0.33105367
492,45_60,2.0,0.33173153
3115,60_plus,1.0,0.33188328
485M,25_45,2.0,0.33647686
311M1,60_plus,2.0,0.33696234
4234,25_45,2.0,0.3377224
113M,60_plus,2.0,0.3377348
