legitimate_value,attr1_value,attr2_value,csp_rate
11.0,18_25,2.0,0.26919338
12.0,18_25,1.0,0.30336654
5.0,60_plus,1.0,0.33792815
6.0,60_plus,1.0,0.3407822
12.0,60_plus,2.0,0.35214263
2.0,60_plus,2.0,0.38687703
1.0,18_25,2.0,0.4025702
7.0,60_plus,1.0,0.40273762
5.0,45_60,1.0,0.40356562
22.0,18_25,1.0,0.41562152
11.0,25_45,1.0,0.41616884
13.0,18_25,2.0,0.41734603
9.0,25_45,1.0,0.42053637
12.0,45_60,1.0,0.42249152
8.0,60_plus,1.0,0.42535937
11.0,18_25,1.0,0.42776623
15.0,18_25,1.0,0.43204162
12.0,60_plus,1.0,0.4335527
9.0,60_plus,1.0,0.43430397
17.0,60_plus,1.0,0.4354841
10.0,60_plus,1.0,0.4362394
8.0,60_plus,2.0,0.4378596
7.0,45_60,2.0,0.4394487
13.0,60_plus,1.0,0.43984795
7.0,45_60,1.0,0.4406813
24.0,60_plus,2.0,0.44087657
24.0,25_45,2.0,0.44216675
13.0,25_45,1.0,0.44346377
1.0,45_60,2.0,0.44428363
11.0,60_plus,2.0,0.44477224
18.0,18_25,1.0,0.4452299
13.0,60_plus,2.0,0.4459114
17.0,25_45,1.0,0.44710904
1.0,60_plus,2.0,0.44786903
18.0,45_60,2.0,0.4479152
20.0,60_plus,1.0,0.44808942
1.0,25_45,1.0,0.44817367
20.0,18_25,1.0,0.44826654
4.0,45_60,1.0,0.44954497
24.0,45_60,1.0,0.44964865
19.0,60_plus,1.0,0.45011598
19.0,18_25,2.0,0.45030707
23.0,18_25,2.0,0.4505203
19.0,45_60,2.0,0.45057487
11.0,25_45,2.0,0.45071095
17.0,45_60,2.0,0.4508335
20.0,60_plus,2.0,0.45111135
14.0,45_60,2.0,0.4521753
23.0,45_60,1.0,0.45228037
21.0,45_60,1.0,0.45237434
9.0,60_plus,2.0,0.45240363
4.0,25_45,1.0,0.45308337
18.0,25_45,2.0,0.4534758
16.0,25_45,1.0,0.45409718
11.0,45_60,1.0,0.45453724
16.0,25_45,2.0,0.45476943
16.0,60_plus,1.0,0.4553787
23.0,45_60,2.0,0.45539635
20.0,25_45,1.0,0.4555959
15.0,25_45,1.0,0.4556247
18.0,25_45,1.0,0.4557745
13.0,45_60,2.0,0.45580935
22.0,45_60,2.0,0.4560296
14.0,60_plus,2.0,0.4564358
13.0,45_60,1.0,0.4565277
24.0,60_plus,1.0,0.4566671
14.0,18_25,1.0,0.4567808
21.0,45_60,2.0,0.45719662
16.0,60_plus,2.0,0.4575423
15.0,60_plus,2.0,0.4577303
14.0,25_45,2.0,0.4577593
14.0,60_plus,1.0,0.4582256
22.0,25_45,2.0,0.45863378
19.0,18_25,1.0,0.45874044
16.0,45_60,1.0,0.45878223
21.0,18_25,2.0,0.4592945
19.0,45_60,1.0,0.45973104
21.0,25_45,1.0,0.45987743
17.0,25_45,2.0,0.46031234
20.0,25_45,2.0,0.4603331
15.0,25_45,2.0,0.4606092
19.0,25_45,1.0,0.4606424
16.0,18_25,1.0,0.46070346
20.0,45_60,1.0,0.46072942
18.0,60_plus,1.0,0.46190825
9.0,25_45,2.0,0.46212885
19.0,25_45,2.0,0.46242622
10.0,45_60,2.0,0.462449
9.0,45_60,1.0,0.4626682
21.0,60_plus,1.0,0.4635048
16.0,45_60,2.0,0.46379387
23.0,60_plus,1.0,0.4639513
19.0,60_plus,2.0,0.46413717
1.0,25_45,2.0,0.46440193
17.0,18_25,2.0,0.46461573
21.0,25_45,2.0,0.46492532
22.0,60_plus,1.0,0.46556887
17.0,60_plus,2.0,0.46601045
15.0,45_60,2.0,0.46634775
22.0,45_60,1.0,0.46690544
23.0,25_45,2.0,0.46698657
1.0,45_60,1.0,0.46703693
24.0,25_45,1.0,0.46707705
20.0,45_60,2.0,0.46805048
17.0,18_25,1.0,0.46808848
22.0,25_45,1.0,0.4686713
23.0,25_45,1.0,0.4695584
12.0,25_45,1.0,0.46989956
14.0,18_25,2.0,0.47028652
15.0,45_60,1.0,0.4703408
21.0,60_plus,2.0,0.47047386
21.0,18_25,1.0,0.47060418
18.0,45_60,1.0,0.4710634
18.0,18_25,2.0,0.47167495
22.0,60_plus,2.0,0.4718669
16.0,18_25,2.0,0.47227505
17.0,45_60,1.0,0.4736553
15.0,60_plus,1.0,0.47388396
20.0,18_25,2.0,0.4755838
14.0,25_45,1.0,0.47585276
18.0,60_plus,2.0,0.47616503
14.0,45_60,1.0,0.47936344
24.0,45_60,2.0,0.4799273
12.0,25_45,2.0,0.48032928
6.0,45_60,1.0,0.48046035
23.0,60_plus,2.0,0.4821886
9.0,45_60,2.0,0.4825007
10.0,25_45,1.0,0.48264924
22.0,18_25,2.0,0.48794052
13.0,25_45,2.0,0.48963633
1.0,18_25,1.0,0.49100852
12.0,45_60,2.0,0.49122754
13.0,18_25,1.0,0.4912389
15.0,18_25,2.0,0.4929502
11.0,45_60,2.0,0.49869412
1.0,60_plus,1.0,0.5102983
8.0,45_60,1.0,0.5442759
7.0,25_45,1.0,0.55456185
8.0,25_45,1.0,0.55456185
8.0,45_60,2.0,0.55456185
6.0,60_plus,2.0,0.55456185
11.0,60_plus,1.0,0.55456185
10.0,45_60,1.0,0.55456185
10.0,60_plus,2.0,0.55456185
7.0,18_25,2.0,0.55456185
