legitimate_value,attr1_value,attr2_value,csp_rate
4581,1.0,8.0,0.07382492
622M,1.0,6.0,0.11099143
8114,2.0,8.0,0.13068639
517Z,2.0,6.0,0.15082382
3252,1.0,1.0,0.15834056
42393,2.0,2.0,0.178986
4245,2.0,8.0,0.19592154
3212,2.0,1.0,0.20400746
6231,1.0,6.0,0.20448722
6222,1.0,1.0,0.20611334
4453,2.0,2.0,0.2081043
3255,2.0,6.0,0.21156515
531M,1.0,9.0,0.21638654
3341,2.0,9.0,0.21958214
92811P1,2.0,9.0,0.22666141
3336,2.0,9.0,0.22799203
45921,2.0,6.0,0.22817518
3322,2.0,1.0,0.23655528
3162,2.0,1.0,0.23808509
4233,2.0,8.0,0.24390543
4234,2.0,9.0,0.24987483
4581,1.0,1.0,0.250435
621M,1.0,9.0,0.2513753
4249Z,2.0,6.0,0.25503388
5122,2.0,1.0,0.25581565
92811P1,2.0,8.0,0.25582278
3122,2.0,1.0,0.25781503
327M,1.0,1.0,0.26201156
4239Z,2.0,8.0,0.2621642
7211,1.0,2.0,0.26382193
5132,2.0,2.0,0.2673358
5616,1.0,8.0,0.26753417
334M1,2.0,6.0,0.27350998
3399M,1.0,1.0,0.27631736
4581,2.0,2.0,0.2774258
336M,1.0,6.0,0.278006
331M,2.0,8.0,0.27801085
32221,2.0,9.0,0.28117165
5616,2.0,9.0,0.28788972
325M,1.0,9.0,0.29031476
8113,2.0,8.0,0.29233906
3115,2.0,9.0,0.29502314
3114,2.0,6.0,0.29544878
4492,1.0,1.0,0.29700184
5413,2.0,9.0,0.2980996
92M1,2.0,6.0,0.29830018
33311,1.0,9.0,0.2994963
812111,2.0,8.0,0.3062738
6212,2.0,2.0,0.3062932
3113,2.0,2.0,0.30678967
532M2,2.0,8.0,0.30711105
611M3,2.0,2.0,0.30714566
4231,2.0,8.0,0.30714777
811192,2.0,9.0,0.30882698
6243,2.0,6.0,0.3093755
327M,2.0,9.0,0.30999786
333MS,1.0,6.0,0.3111696
8113,1.0,8.0,0.3137295
3321,1.0,1.0,0.31550562
332MZ,2.0,9.0,0.31650358
9211MP,2.0,8.0,0.32227919
3345,2.0,9.0,0.32295457
45941,2.0,9.0,0.32464978
92MP,2.0,6.0,0.32494783
4582,2.0,6.0,0.32663903
311M1,1.0,1.0,0.32748914
4453,2.0,6.0,0.3282718
3116,1.0,1.0,0.3286226
5415,1.0,6.0,0.32886326
5221M,2.0,8.0,0.33167943
923,1.0,2.0,0.3319611
52M3,2.0,8.0,0.33300906
3MS,2.0,2.0,0.3352814
4595,2.0,9.0,0.33690974
113M,2.0,9.0,0.3377348
711M,2.0,9.0,0.33815596
5242,2.0,6.0,0.3388896
6212,1.0,9.0,0.34061545
3399ZM,2.0,2.0,0.34104407
5221M,2.0,2.0,0.34242377
5121,2.0,2.0,0.34256667
6216,1.0,6.0,0.343832
4453,2.0,8.0,0.34395856
622M,1.0,8.0,0.34560585
4551,1.0,9.0,0.34635505
337,2.0,6.0,0.34635505
6222,1.0,2.0,0.34714508
44513,2.0,2.0,0.34840965
3399ZM,2.0,8.0,0.34871572
92113,2.0,2.0,0.34922203
335M,1.0,1.0,0.35108787
3322,2.0,2.0,0.3514783
8129,1.0,1.0,0.35220608
4452,2.0,2.0,0.35271543
813M,2.0,6.0,0.35376197
114,1.0,1.0,0.35425767
6222,2.0,2.0,0.3546386
3272,1.0,2.0,0.35467735
5221M,2.0,9.0,0.3548876
3252,2.0,9.0,0.3550536
6214,2.0,2.0,0.35547674
4237,1.0,1.0,0.3556403
325M,2.0,2.0,0.3564489
7111,1.0,9.0,0.3567841
611M2,2.0,2.0,0.3579358
3231,2.0,6.0,0.3595204
482,2.0,6.0,0.3598977
3256,2.0,9.0,0.3600319
7211,1.0,9.0,0.3603581
3399ZM,1.0,2.0,0.36054862
6212,2.0,9.0,0.36093664
4236,2.0,9.0,0.3611755
314Z,2.0,1.0,0.36147177
4231,2.0,9.0,0.36198443
5614,2.0,2.0,0.36201984
5413,1.0,1.0,0.36267504
481,2.0,2.0,0.36387038
4581,1.0,6.0,0.36409312
3118Z,2.0,2.0,0.36601985
4582,2.0,8.0,0.36605656
3335,2.0,6.0,0.36636278
3121,2.0,1.0,0.3664496
622M,1.0,2.0,0.3666005
531M,2.0,6.0,0.36720452
311811,2.0,1.0,0.3689883
493,1.0,2.0,0.36900112
33311,2.0,8.0,0.36915398
42S,2.0,8.0,0.36930296
335M,2.0,8.0,0.37004092
33299M,2.0,1.0,0.3704916
5617Z,2.0,8.0,0.3708141
332MZ,2.0,8.0,0.37094632
62132,1.0,1.0,0.3715156
3254,2.0,8.0,0.37254137
812112,1.0,1.0,0.37279835
3366,2.0,9.0,0.37293246
4235,2.0,1.0,0.3730704
115,2.0,8.0,0.3746791
4582,1.0,1.0,0.37483346
213,2.0,9.0,0.37500066
92811P6,2.0,1.0,0.37572098
22132,2.0,2.0,0.37699974
4492,2.0,8.0,0.37729728
485M,1.0,1.0,0.3781627
7112,2.0,2.0,0.3788007
5419Z,2.0,9.0,0.37884417
4591M,2.0,8.0,0.37913907
5313,1.0,1.0,0.3796451
4599,1.0,1.0,0.3803405
53M,1.0,1.0,0.38061252
5616,2.0,6.0,0.38082585
4441Z,2.0,6.0,0.3813223
491,1.0,9.0,0.3815842
492,2.0,2.0,0.3817724
4251,1.0,1.0,0.38207364
3399ZM,1.0,1.0,0.3828403
81393,1.0,8.0,0.38328624
7115,2.0,9.0,0.38349572
4244,2.0,9.0,0.3836751
562,1.0,1.0,0.38419962
3369,2.0,9.0,0.38477844
334M2,2.0,2.0,0.38518244
4582,2.0,2.0,0.38573405
621M,2.0,9.0,0.38586006
621M,2.0,8.0,0.38589224
3114,1.0,1.0,0.38611338
8122,1.0,8.0,0.38624138
333MS,1.0,1.0,0.3864643
3261,2.0,1.0,0.38649902
4248,2.0,1.0,0.38663015
4441Z,1.0,9.0,0.38731608
5414,2.0,2.0,0.38771802
115,2.0,9.0,0.38783726
522M,2.0,9.0,0.38795853
62131,1.0,1.0,0.3887683
6243,1.0,1.0,0.38989377
3MS,2.0,1.0,0.39014012
337,1.0,1.0,0.39039195
8129,1.0,9.0,0.39049414
211,2.0,1.0,0.39052933
4413,2.0,2.0,0.39063624
8111Z,2.0,2.0,0.390761
4231,1.0,8.0,0.39117947
23,1.0,8.0,0.3912658
6222,1.0,6.0,0.39221835
332MZ,1.0,1.0,0.39233655
31411,2.0,1.0,0.39295444
114,2.0,6.0,0.39348426
6244,1.0,9.0,0.39361292
62132,2.0,2.0,0.39362133
56173,1.0,2.0,0.39379525
811192,1.0,2.0,0.39434686
3221,2.0,9.0,0.3943843
814,1.0,1.0,0.3950972
51929,1.0,6.0,0.3956542
8121M,2.0,9.0,0.3969195
5616,2.0,8.0,0.39699736
4452,2.0,8.0,0.3972056
22132,2.0,6.0,0.3973131
6216,1.0,9.0,0.39758152
32411,2.0,1.0,0.39779615
4595,2.0,1.0,0.3981838
4491,2.0,6.0,0.3986431
3336,2.0,1.0,0.39876714
923,1.0,1.0,0.3988851
42S,2.0,1.0,0.39909193
1133,1.0,1.0,0.39973485
517Z,2.0,2.0,0.39977336
