legitimate_value,attr1_value,attr2_value,csp_rate
19.0,1.0,6.0,0.2915705
15.0,1.0,8.0,0.3137295
4.0,2.0,9.0,0.3445281
10.0,1.0,1.0,0.36628628
10.0,2.0,2.0,0.3674207
5.0,2.0,9.0,0.37074688
24.0,1.0,1.0,0.37448058
14.0,1.0,2.0,0.38026944
1.0,1.0,2.0,0.3812522
2.0,2.0,1.0,0.38687703
11.0,2.0,8.0,0.38756192
22.0,1.0,6.0,0.38883767
11.0,2.0,9.0,0.39027515
7.0,1.0,8.0,0.39046305
23.0,2.0,8.0,0.39122415
14.0,2.0,6.0,0.39193207
12.0,1.0,1.0,0.39555055
12.0,2.0,8.0,0.39686915
19.0,1.0,8.0,0.40320954
13.0,1.0,2.0,0.40325272
6.0,2.0,1.0,0.40635884
13.0,2.0,6.0,0.40735912
17.0,2.0,6.0,0.40933678
23.0,1.0,9.0,0.4101407
8.0,1.0,6.0,0.41263384
15.0,1.0,6.0,0.41603953
17.0,1.0,1.0,0.42473543
13.0,2.0,9.0,0.4253651
1.0,1.0,8.0,0.4262445
9.0,1.0,8.0,0.427288
12.0,1.0,9.0,0.42934272
6.0,1.0,1.0,0.42948702
9.0,2.0,9.0,0.42996728
17.0,1.0,9.0,0.43168625
18.0,2.0,6.0,0.433082
20.0,1.0,2.0,0.43555248
19.0,1.0,9.0,0.43627134
12.0,2.0,6.0,0.43633553
9.0,2.0,1.0,0.43752754
8.0,2.0,1.0,0.4378596
15.0,2.0,9.0,0.43816343
24.0,2.0,6.0,0.4386099
17.0,2.0,2.0,0.4390338
16.0,2.0,9.0,0.44071427
18.0,2.0,2.0,0.4409783
18.0,1.0,9.0,0.44121054
1.0,2.0,2.0,0.44137585
20.0,1.0,6.0,0.4421529
11.0,1.0,9.0,0.44346368
12.0,1.0,8.0,0.4438036
12.0,2.0,1.0,0.44392416
19.0,2.0,9.0,0.44587192
21.0,1.0,2.0,0.4470093
16.0,2.0,2.0,0.44718653
13.0,2.0,8.0,0.4488157
9.0,2.0,8.0,0.44941276
17.0,2.0,9.0,0.44943133
24.0,2.0,2.0,0.44966775
10.0,2.0,8.0,0.44989395
21.0,2.0,2.0,0.4507135
14.0,2.0,8.0,0.45137426
23.0,2.0,2.0,0.4520512
1.0,2.0,8.0,0.45225433
18.0,2.0,9.0,0.4525918
16.0,1.0,9.0,0.45286232
4.0,2.0,8.0,0.45308337
18.0,1.0,1.0,0.4534663
6.0,2.0,8.0,0.45373368
14.0,2.0,9.0,0.45384192
11.0,2.0,1.0,0.45390275
13.0,2.0,1.0,0.4543507
20.0,2.0,1.0,0.4551626
19.0,2.0,1.0,0.45626274
21.0,2.0,8.0,0.45685604
19.0,2.0,8.0,0.45714995
1.0,2.0,1.0,0.4572323
15.0,1.0,1.0,0.45758307
22.0,2.0,8.0,0.4578669
20.0,1.0,1.0,0.45791057
16.0,1.0,1.0,0.4581242
17.0,2.0,8.0,0.45817533
15.0,2.0,8.0,0.45820603
9.0,2.0,6.0,0.45854595
16.0,2.0,8.0,0.4592797
21.0,2.0,1.0,0.4594331
24.0,2.0,1.0,0.45948008
22.0,1.0,1.0,0.45994052
22.0,2.0,1.0,0.46107244
16.0,2.0,1.0,0.46119395
23.0,2.0,6.0,0.46120247
23.0,1.0,1.0,0.4613478
19.0,2.0,2.0,0.46256816
17.0,2.0,1.0,0.46259585
16.0,2.0,6.0,0.4650673
20.0,2.0,6.0,0.46576756
15.0,2.0,6.0,0.46593055
18.0,2.0,1.0,0.46630836
23.0,2.0,1.0,0.46657142
1.0,2.0,9.0,0.46664238
14.0,1.0,1.0,0.46741378
14.0,2.0,1.0,0.46762273
1.0,2.0,6.0,0.46769366
12.0,2.0,9.0,0.4681981
20.0,2.0,9.0,0.46831414
18.0,1.0,2.0,0.46887663
18.0,2.0,8.0,0.46888
21.0,2.0,9.0,0.4688928
23.0,2.0,9.0,0.4690078
19.0,1.0,1.0,0.46909815
21.0,2.0,6.0,0.46928075
9.0,2.0,2.0,0.4692815
20.0,2.0,8.0,0.46944097
22.0,2.0,2.0,0.46966812
19.0,2.0,6.0,0.4697644
20.0,1.0,9.0,0.46984327
22.0,2.0,6.0,0.4708933
15.0,2.0,1.0,0.4708994
20.0,2.0,2.0,0.4709438
16.0,1.0,2.0,0.47189012
22.0,1.0,9.0,0.47189748
8.0,2.0,8.0,0.47266874
21.0,1.0,1.0,0.47454026
7.0,2.0,8.0,0.47595602
22.0,2.0,9.0,0.47639075
15.0,2.0,2.0,0.48106623
17.0,1.0,8.0,0.4822998
13.0,1.0,9.0,0.4854456
24.0,2.0,9.0,0.48735672
21.0,1.0,6.0,0.4890026
13.0,1.0,1.0,0.4911247
11.0,1.0,8.0,0.4920082
9.0,1.0,9.0,0.49294627
11.0,1.0,1.0,0.49501145
15.0,1.0,2.0,0.49590513
7.0,2.0,9.0,0.49700528
14.0,2.0,2.0,0.49768618
19.0,1.0,2.0,0.49812976
15.0,1.0,9.0,0.49881327
13.0,2.0,2.0,0.49958953
12.0,2.0,2.0,0.50090843
16.0,1.0,8.0,0.50126266
21.0,1.0,9.0,0.50153226
11.0,2.0,6.0,0.50216705
11.0,2.0,2.0,0.5058833
14.0,1.0,9.0,0.5082974
22.0,1.0,2.0,0.50970703
1.0,1.0,1.0,0.5115281
17.0,1.0,2.0,0.5155549
1.0,1.0,9.0,0.52489495
8.0,1.0,9.0,0.5339899
12.0,1.0,2.0,0.5479609
6.0,1.0,8.0,0.55456185
8.0,2.0,9.0,0.55456185
9.0,1.0,1.0,0.55456185
8.0,2.0,2.0,0.55456185
13.0,1.0,8.0,0.55456185
10.0,2.0,9.0,0.55456185
10.0,2.0,1.0,0.55456185
1.0,1.0,6.0,0.55456185
4.0,2.0,1.0,0.55456185
18.0,1.0,8.0,0.55456185
16.0,1.0,6.0,0.55456185
14.0,1.0,8.0,0.55456185
8.0,2.0,6.0,0.55456185
20.0,1.0,8.0,0.55456185
21.0,1.0,8.0,0.55456185
24.0,1.0,9.0,0.55456185
24.0,1.0,6.0,0.55456185
