legitimate_value,attr1_value,attr2_value,csp_rate
3252,1.0,1.0,0.15834056
4245,2.0,2.0,0.19592154
5313,1.0,1.0,0.20472834
3313,2.0,2.0,0.21569166
3322,2.0,1.0,0.23655528
3212,2.0,2.0,0.24821144
5122,2.0,1.0,0.25581565
3122,2.0,2.0,0.25781503
561M,1.0,2.0,0.26897836
3399M,1.0,2.0,0.27631736
4492,1.0,2.0,0.2819167
5131Z,1.0,2.0,0.2902102
92811P6,2.0,2.0,0.29459625
3115,2.0,2.0,0.29502314
7224,1.0,1.0,0.2959767
516,1.0,2.0,0.30082247
4591M,1.0,2.0,0.30298892
335M,1.0,1.0,0.30469152
311811,2.0,1.0,0.3048768
4492,1.0,1.0,0.312087
8113,1.0,1.0,0.3137295
424M,2.0,2.0,0.31429327
6222,1.0,1.0,0.31515893
3321,1.0,1.0,0.31550562
333MS,1.0,1.0,0.32561624
311M1,1.0,1.0,0.32748914
3272,2.0,2.0,0.32761303
3116,1.0,1.0,0.3286226
5616,1.0,2.0,0.3302671
7112,2.0,2.0,0.33105367
327M,1.0,1.0,0.33438304
8129,1.0,2.0,0.33461887
113M,2.0,2.0,0.3377348
5413,1.0,2.0,0.3400034
4442,1.0,1.0,0.34237874
92M2,1.0,1.0,0.34690762
814,1.0,1.0,0.34724262
42S,2.0,2.0,0.34812
4572,2.0,2.0,0.34813988
44513,1.0,2.0,0.34998387
3336,2.0,1.0,0.3504661
3322,2.0,2.0,0.3514783
3399ZM,1.0,2.0,0.35239223
114,1.0,1.0,0.35425767
4599,1.0,2.0,0.35440946
4237,1.0,1.0,0.3556403
7111,1.0,2.0,0.3567841
3212,2.0,1.0,0.35718268
4593,1.0,1.0,0.3573745
4551,2.0,1.0,0.35763517
4581,1.0,2.0,0.35949534
482,2.0,2.0,0.3598977
814,2.0,1.0,0.36031535
314Z,2.0,1.0,0.36147177
7211,1.0,2.0,0.36269596
517111,1.0,1.0,0.36532965
211,2.0,2.0,0.36709568
3341,2.0,2.0,0.36765918
3399M,2.0,1.0,0.36993343
32221,2.0,1.0,0.3705387
811192,2.0,2.0,0.37068233
5411,1.0,2.0,0.37080735
62132,1.0,2.0,0.3715156
3MS,2.0,2.0,0.3726707
4595,2.0,1.0,0.37286204
4235,2.0,1.0,0.3730704
4582,1.0,2.0,0.37483346
4237,2.0,2.0,0.37488908
492,1.0,1.0,0.37641433
213,1.0,2.0,0.37846854
3261,2.0,1.0,0.37875944
3262M,1.0,2.0,0.37940502
53M,1.0,1.0,0.38061252
4251,1.0,2.0,0.38207364
81393,1.0,2.0,0.38328624
33311,1.0,1.0,0.38415855
712,1.0,2.0,0.38543245
3399ZM,1.0,1.0,0.3855591
3114,1.0,1.0,0.38611338
923,1.0,1.0,0.38658562
