legitimate_value,attr1_value,attr2_value,csp_rate
24.0,1.0,2.0,0.22178763
10.0,1.0,1.0,0.36628628
5.0,2.0,1.0,0.37074688
2.0,2.0,2.0,0.38687703
7.0,1.0,1.0,0.39046305
6.0,2.0,1.0,0.40433267
12.0,1.0,1.0,0.4129587
23.0,1.0,2.0,0.41667682
15.0,1.0,1.0,0.42699575
9.0,2.0,1.0,0.42917904
6.0,1.0,1.0,0.42948702
12.0,2.0,1.0,0.4351967
17.0,1.0,1.0,0.4369198
11.0,2.0,1.0,0.4410041
14.0,1.0,1.0,0.44157517
1.0,2.0,2.0,0.44607309
1.0,1.0,2.0,0.44716585
13.0,2.0,1.0,0.44822884
4.0,2.0,1.0,0.45072445
18.0,1.0,2.0,0.45096675
20.0,1.0,1.0,0.4528009
20.0,2.0,1.0,0.4544717
13.0,1.0,2.0,0.45561472
14.0,2.0,2.0,0.45575526
24.0,2.0,1.0,0.45599496
19.0,1.0,2.0,0.4561304
16.0,2.0,1.0,0.45637697
17.0,2.0,2.0,0.4565023
11.0,2.0,2.0,0.45686316
19.0,2.0,2.0,0.45690498
19.0,2.0,1.0,0.456929
17.0,2.0,1.0,0.45751837
12.0,2.0,2.0,0.4576249
22.0,1.0,1.0,0.45770478
15.0,2.0,2.0,0.45780858
21.0,2.0,1.0,0.45816007
13.0,2.0,2.0,0.45874438
18.0,1.0,1.0,0.45914215
18.0,2.0,1.0,0.45916775
16.0,2.0,2.0,0.46003675
16.0,1.0,1.0,0.46073693
24.0,2.0,2.0,0.46082547
22.0,2.0,2.0,0.46112776
20.0,1.0,2.0,0.46155974
23.0,2.0,1.0,0.4619953
22.0,1.0,2.0,0.46204236
20.0,2.0,2.0,0.4624413
21.0,2.0,2.0,0.46271372
18.0,2.0,2.0,0.46369442
9.0,2.0,2.0,0.46455485
12.0,1.0,2.0,0.46475655
17.0,1.0,2.0,0.46517506
1.0,2.0,1.0,0.4656262
22.0,2.0,1.0,0.46726868
23.0,2.0,2.0,0.4677425
19.0,1.0,1.0,0.46792346
15.0,2.0,1.0,0.46803206
16.0,1.0,2.0,0.46846363
23.0,1.0,1.0,0.47065088
21.0,1.0,2.0,0.47117174
14.0,2.0,1.0,0.4713026
9.0,1.0,2.0,0.47198877
8.0,1.0,1.0,0.47331187
7.0,2.0,1.0,0.47595602
8.0,2.0,2.0,0.47676036
21.0,1.0,1.0,0.47892332
11.0,1.0,2.0,0.47987205
9.0,1.0,1.0,0.4818271
13.0,1.0,1.0,0.48547286
24.0,1.0,1.0,0.49137226
10.0,2.0,2.0,0.4931533
14.0,1.0,2.0,0.4933867
11.0,1.0,1.0,0.49501145
10.0,2.0,1.0,0.4960891
7.0,2.0,2.0,0.49700528
1.0,1.0,1.0,0.50259936
8.0,2.0,1.0,0.505426
15.0,1.0,2.0,0.5112985
6.0,1.0,2.0,0.55456185
6.0,2.0,2.0,0.55456185
