legitimate_value,attr1_value,attr2_value,csp_rate
5122,0.0,1.0,0.06986929
6244,1.0,1.0,0.14234218
4245,1.0,2.0,0.19592154
311811,1.0,1.0,0.19905868
3255,0.0,1.0,0.21156515
3118Z,1.0,2.0,0.21285114
3313,0.0,2.0,0.21569166
45921,1.0,1.0,0.22817518
424M,0.0,2.0,0.23510022
3322,1.0,1.0,0.23655528
4248,1.0,2.0,0.2471893
3212,1.0,2.0,0.24821144
3122,1.0,2.0,0.25781503
62131,1.0,1.0,0.25846007
33311,0.0,2.0,0.27123892
3211,1.0,2.0,0.27323923
32221,1.0,1.0,0.27852717
811192,1.0,1.0,0.28133503
7112,1.0,2.0,0.28330666
4233,0.0,2.0,0.28528762
4238,0.0,2.0,0.28844136
92811P6,0.0,2.0,0.29459625
3115,0.0,2.0,0.29502314
4231,0.0,2.0,0.29633492
314Z,1.0,1.0,0.3135814
2123,0.0,1.0,0.3144026
3MS,1.0,2.0,0.316416
8139Z,0.0,1.0,0.3184056
8122,0.0,1.0,0.31978077
3399M,1.0,1.0,0.31994766
814,1.0,1.0,0.3258723
3272,1.0,2.0,0.32761303
5131Z,0.0,2.0,0.3294424
3113,0.0,1.0,0.3341042
81393,1.0,2.0,0.3363273
113M,1.0,2.0,0.3377348
532M2,0.0,1.0,0.33803874
4551,0.0,1.0,0.3391906
6222,0.0,2.0,0.34057057
115,1.0,2.0,0.34205866
7111,0.0,1.0,0.34241557
8114,0.0,1.0,0.34313676
3399M,0.0,2.0,0.3435468
487,0.0,1.0,0.34597093
3336,0.0,1.0,0.34637153
221MP,0.0,2.0,0.34649736
5419Z,0.0,1.0,0.34706405
6222,0.0,1.0,0.34714508
42S,1.0,2.0,0.34812
4572,1.0,2.0,0.34813988
3252,1.0,1.0,0.3492191
327M,1.0,1.0,0.3503723
3322,0.0,2.0,0.3514783
51311,0.0,1.0,0.35418975
3252,1.0,2.0,0.3550536
5321,1.0,2.0,0.35630277
3212,0.0,1.0,0.35718268
32711,0.0,1.0,0.35739407
4251,0.0,1.0,0.35846955
517Z,0.0,1.0,0.3596657
482,1.0,2.0,0.3598977
4582,0.0,1.0,0.3601438
55,1.0,1.0,0.36046356
482,0.0,1.0,0.36200362
45914,0.0,1.0,0.36351648
42393,1.0,1.0,0.36467347
4595,0.0,1.0,0.3657795
481,0.0,2.0,0.36582252
211,0.0,1.0,0.36703274
211,1.0,2.0,0.36709568
3341,1.0,2.0,0.36765918
44513,0.0,2.0,0.36791503
814,0.0,1.0,0.3696176
3321,0.0,1.0,0.37039855
33299M,0.0,1.0,0.3704916
4234,0.0,2.0,0.370574
4235,1.0,1.0,0.3730704
3336,1.0,1.0,0.37574738
3261,0.0,1.0,0.37638474
6222,1.0,1.0,0.37688303
7112,0.0,2.0,0.3788007
4453,0.0,1.0,0.37939858
3262M,1.0,2.0,0.37940502
2211P,0.0,2.0,0.37997076
3261,1.0,1.0,0.3806064
6243,1.0,2.0,0.3809239
4251,1.0,2.0,0.38207364
315M,0.0,2.0,0.38208273
311M2,1.0,2.0,0.3821876
3121,1.0,1.0,0.38323435
5221M,0.0,1.0,0.38326502
332M,0.0,1.0,0.38361183
4599,1.0,2.0,0.38367885
3369,0.0,1.0,0.38477844
483,1.0,1.0,0.3849359
812111,0.0,2.0,0.38496664
62132,0.0,2.0,0.38535562
92M1,1.0,1.0,0.38593963
4237,1.0,2.0,0.3870448
4248,0.0,1.0,0.38849533
3256,1.0,1.0,0.39022914
4231,0.0,1.0,0.39117947
4244,0.0,2.0,0.39140072
92M2,1.0,1.0,0.39161426
45921,0.0,2.0,0.39201215
3116,1.0,2.0,0.39305276
4593,0.0,1.0,0.3943164
3221,1.0,2.0,0.3943843
4492,1.0,2.0,0.39498726
4234,1.0,1.0,0.3950345
4595,1.0,2.0,0.39516813
3335,0.0,1.0,0.39523742
113M,1.0,1.0,0.3954137
5616,1.0,2.0,0.3955957
3162,0.0,1.0,0.39727068
711M,0.0,1.0,0.39741647
92811P3,1.0,1.0,0.39922032
4233,0.0,1.0,0.39923364
3331M,1.0,1.0,0.39925125
4492,1.0,1.0,0.4000306
7211,1.0,1.0,0.40024242
4582,0.0,2.0,0.4021139
3366,1.0,2.0,0.40259385
92119,0.0,1.0,0.40261677
315M,1.0,1.0,0.4027342
491,0.0,2.0,0.4032797
4249Z,0.0,1.0,0.40479785
3121,1.0,2.0,0.406502
3252,0.0,2.0,0.407261
4249Z,1.0,1.0,0.4072819
4237,0.0,1.0,0.40748125
51921,1.0,2.0,0.40769103
332MZ,1.0,1.0,0.40827543
4239Z,0.0,2.0,0.40836304
3399ZM,0.0,1.0,0.40856582
3219ZM,1.0,2.0,0.40871382
314Z,0.0,1.0,0.40936214
7115,0.0,1.0,0.4097712
492,1.0,2.0,0.40989396
5617Z,1.0,2.0,0.4100408
3MS,0.0,2.0,0.41017386
311811,0.0,1.0,0.4106949
3345,0.0,1.0,0.41074318
71395,1.0,1.0,0.41129366
3115,1.0,1.0,0.41138506
32411,1.0,2.0,0.41210058
492,0.0,1.0,0.41221982
4551,1.0,1.0,0.4129688
4234,1.0,2.0,0.41329053
311M1,1.0,2.0,0.41390392
5419Z,1.0,2.0,0.4139608
54194,1.0,1.0,0.4148052
3391,0.0,2.0,0.4148395
92811P5,0.0,1.0,0.41573888
4591M,1.0,2.0,0.4157932
2121,0.0,2.0,0.41589046
812111,1.0,1.0,0.415918
3261,1.0,2.0,0.41629916
3314,0.0,1.0,0.41638857
92811P3,0.0,1.0,0.41659215
327M,1.0,2.0,0.41660643
811192,0.0,2.0,0.4166522
3132Z,1.0,2.0,0.41687614
334M2,0.0,1.0,0.4175797
8111Z,1.0,1.0,0.4177448
6244,1.0,2.0,0.41816694
4412,0.0,2.0,0.41825697
5413,1.0,2.0,0.4185146
3366,0.0,1.0,0.4193892
611M3,0.0,2.0,0.41950902
4441Z,1.0,1.0,0.41989377
3399M,0.0,1.0,0.4199192
5616,0.0,1.0,0.42000598
332MZ,0.0,1.0,0.42047748
484,0.0,2.0,0.421237
45611,0.0,1.0,0.42154884
4232,0.0,1.0,0.4220798
522M,0.0,1.0,0.4228349
311811,0.0,2.0,0.42293325
5242,1.0,1.0,0.42303255
4245,1.0,1.0,0.42361116
562,1.0,2.0,0.42450038
5411,0.0,2.0,0.4249617
5613,0.0,1.0,0.42499426
3333,1.0,1.0,0.4250144
51929,1.0,2.0,0.4255019
5615,1.0,1.0,0.42558426
4853,0.0,2.0,0.42647976
4571,1.0,2.0,0.42706844
92811P1,1.0,1.0,0.427106
31411,1.0,2.0,0.4271495
335M,0.0,1.0,0.42760503
4MS,0.0,2.0,0.427926
6231,1.0,2.0,0.4280114
6212,0.0,2.0,0.42803618
721M,1.0,2.0,0.4283905
92M2,0.0,1.0,0.4284598
562,0.0,1.0,0.42862722
7211,0.0,2.0,0.4287918
33311,1.0,1.0,0.42883965
531M,1.0,1.0,0.42998233
325M,0.0,2.0,0.4300388
333MS,0.0,2.0,0.43023548
481,1.0,2.0,0.4302911
4MS,1.0,2.0,0.43049335
4244,1.0,2.0,0.43067387
3113,0.0,2.0,0.43067575
6212,1.0,2.0,0.43114725
5614,1.0,2.0,0.43122202
5413,1.0,1.0,0.43126225
6211,1.0,1.0,0.43128648
4452,1.0,2.0,0.43138215
5221M,0.0,2.0,0.43184525
721M,0.0,2.0,0.4321631
517Z,1.0,2.0,0.43222305
45942,1.0,2.0,0.43274188
2211P,0.0,1.0,0.43274295
4581,0.0,2.0,0.43278226
622M,1.0,1.0,0.43278542
334M1,0.0,1.0,0.43289062
424M,1.0,2.0,0.43308282
516,0.0,2.0,0.43315428
45611,1.0,1.0,0.43333137
3254,1.0,2.0,0.43345726
4552,0.0,2.0,0.43358046
522M,1.0,2.0,0.43360108
333MS,1.0,1.0,0.43393397
531M,1.0,2.0,0.4342305
517111,1.0,2.0,0.4342935
517Z,0.0,2.0,0.43431586
5414,1.0,1.0,0.43437818
311M1,0.0,1.0,0.43477198
4552,1.0,1.0,0.4352058
517111,1.0,1.0,0.43533587
32411,0.0,1.0,0.43570438
55,0.0,2.0,0.435754
115,1.0,1.0,0.4358065
6213ZM,0.0,1.0,0.43593183
56173,0.0,1.0,0.4360344
112,0.0,1.0,0.43615615
22132,0.0,1.0,0.43618712
5131Z,0.0,1.0,0.43620512
45941,1.0,1.0,0.43626806
92811P2,1.0,2.0,0.43628842
923,0.0,2.0,0.43647563
485M,1.0,1.0,0.4370704
4853,1.0,2.0,0.4372378
6231,1.0,1.0,0.43731847
92119,1.0,2.0,0.4373207
562,1.0,1.0,0.43734682
721M,0.0,1.0,0.43754947
42S,0.0,1.0,0.43769175
92811P1,1.0,2.0,0.4380722
336M,1.0,2.0,0.43818521
611M1,0.0,1.0,0.43838146
62131,1.0,2.0,0.43874118
3121,0.0,2.0,0.4387919
4581,1.0,2.0,0.43879238
