legitimate_value,attr1_value,attr2_value,csp_rate
4.0,1.0,1.0,0.3445281
8.0,1.0,1.0,0.36075813
5.0,1.0,1.0,0.37074688
2.0,1.0,2.0,0.38687703
7.0,1.0,1.0,0.39624214
6.0,1.0,1.0,0.40433267
9.0,1.0,1.0,0.41689423
11.0,0.0,1.0,0.42640436
11.0,0.0,2.0,0.4275708
12.0,0.0,1.0,0.42761534
6.0,0.0,1.0,0.42948702
12.0,1.0,1.0,0.43433765
13.0,1.0,2.0,0.43769166
8.0,0.0,2.0,0.4378596
1.0,1.0,2.0,0.43949908
12.0,0.0,2.0,0.44472906
10.0,0.0,1.0,0.44614014
13.0,0.0,1.0,0.44982684
20.0,1.0,1.0,0.45012903
24.0,1.0,2.0,0.45044202
23.0,1.0,1.0,0.45238116
19.0,0.0,2.0,0.45253125
17.0,0.0,1.0,0.45290357
14.0,0.0,2.0,0.4530697
16.0,0.0,1.0,0.45332447
16.0,1.0,2.0,0.4533385
17.0,1.0,2.0,0.4535137
14.0,0.0,1.0,0.45507658
17.0,1.0,1.0,0.45544228
18.0,0.0,1.0,0.45566466
15.0,1.0,2.0,0.45622656
1.0,0.0,2.0,0.45645705
24.0,1.0,1.0,0.45704398
19.0,0.0,1.0,0.457355
13.0,1.0,1.0,0.45737085
21.0,1.0,1.0,0.45748797
20.0,0.0,2.0,0.4581136
22.0,1.0,2.0,0.4582549
19.0,1.0,1.0,0.45864424
24.0,0.0,2.0,0.45887834
15.0,1.0,1.0,0.45888567
9.0,0.0,2.0,0.45934644
20.0,0.0,1.0,0.46009484
18.0,1.0,2.0,0.46009818
11.0,1.0,1.0,0.46085814
16.0,1.0,1.0,0.4609706
24.0,0.0,1.0,0.46134388
9.0,0.0,1.0,0.46140635
18.0,1.0,1.0,0.4621697
21.0,0.0,1.0,0.46228153
19.0,1.0,2.0,0.46243727
17.0,0.0,2.0,0.46316803
21.0,1.0,2.0,0.46317166
21.0,0.0,2.0,0.46327025
18.0,0.0,2.0,0.46383688
15.0,0.0,1.0,0.4646405
23.0,0.0,2.0,0.46557242
20.0,1.0,2.0,0.46591443
22.0,1.0,1.0,0.46596172
23.0,1.0,2.0,0.46597704
22.0,0.0,2.0,0.46643344
16.0,0.0,2.0,0.46769777
22.0,0.0,1.0,0.46873274
12.0,1.0,2.0,0.47030434
11.0,1.0,2.0,0.47070262
1.0,0.0,1.0,0.47116527
1.0,1.0,1.0,0.47128505
13.0,0.0,2.0,0.47156245
9.0,1.0,2.0,0.473136
7.0,0.0,1.0,0.47364435
15.0,0.0,2.0,0.47526252
14.0,1.0,2.0,0.47951734
14.0,1.0,1.0,0.4899817
23.0,0.0,1.0,0.49289513
10.0,0.0,2.0,0.4931533
7.0,0.0,2.0,0.49700528
4.0,0.0,1.0,0.5038226
10.0,1.0,1.0,0.52007747
8.0,0.0,1.0,0.55044746
8.0,1.0,2.0,0.55456185
6.0,1.0,2.0,0.55456185
