legitimate_value,attr1_value,attr2_value,csp_rate
8114,8.0,1.0,0.13068639
4582,8.0,2.0,0.1499592
517Z,6.0,1.0,0.15082382
3212,1.0,1.0,0.15980348
42393,2.0,1.0,0.178986
44513,2.0,2.0,0.18413553
4245,8.0,2.0,0.19592154
311811,1.0,1.0,0.19905868
6222,1.0,1.0,0.20611334
4453,2.0,2.0,0.2081043
3255,6.0,1.0,0.21156515
3313,1.0,2.0,0.21569166
3341,9.0,1.0,0.21958214
3336,9.0,1.0,0.22799203
45921,6.0,1.0,0.22817518
3322,1.0,1.0,0.23655528
3162,1.0,1.0,0.23808509
4233,8.0,1.0,0.24390543
3212,1.0,2.0,0.24821144
4234,9.0,1.0,0.24987483
52M3,8.0,1.0,0.2502258
4249Z,6.0,1.0,0.25503388
5122,1.0,1.0,0.25581565
92811P1,8.0,1.0,0.25582278
3122,1.0,2.0,0.25781503
62131,1.0,1.0,0.25846007
4239Z,8.0,2.0,0.2621642
5132,2.0,1.0,0.2673358
5413,9.0,1.0,0.2702072
334M1,6.0,1.0,0.27350998
32221,1.0,1.0,0.2758827
331M,8.0,1.0,0.27801085
5221M,9.0,1.0,0.27908885
32221,9.0,1.0,0.28117165
3MS,2.0,2.0,0.282783
7112,1.0,2.0,0.28330666
8123,9.0,1.0,0.28466105
4571,2.0,1.0,0.28712147
5616,9.0,1.0,0.28788972
621M,8.0,2.0,0.2897581
813M,6.0,1.0,0.2934453
92811P6,1.0,2.0,0.29459625
3115,9.0,2.0,0.29502314
3114,6.0,1.0,0.29544878
32411,9.0,1.0,0.29787117
92M1,6.0,2.0,0.29830018
811192,9.0,1.0,0.29888168
33311,9.0,1.0,0.2994963
4581,2.0,2.0,0.301004
8113,8.0,1.0,0.30303428
4411,9.0,2.0,0.3047123
5617Z,6.0,2.0,0.30531287
6231,6.0,2.0,0.30604476
812111,8.0,1.0,0.3062738
6212,2.0,2.0,0.3062932
3113,2.0,2.0,0.30678967
