legitimate_value,attr1_value,attr2_value,csp_rate
8.0,1.0,2.0,0.3211573
12.0,6.0,2.0,0.32873514
17.0,6.0,1.0,0.33779073
4.0,9.0,1.0,0.3445281
13.0,6.0,2.0,0.34913036
23.0,8.0,2.0,0.3672924
10.0,2.0,1.0,0.3674207
15.0,9.0,2.0,0.36745232
5.0,9.0,1.0,0.37074688
14.0,6.0,2.0,0.3798339
11.0,9.0,1.0,0.3849071
24.0,6.0,2.0,0.38605458
2.0,1.0,2.0,0.38687703
11.0,8.0,1.0,0.38756192
12.0,2.0,1.0,0.3936015
14.0,9.0,2.0,0.3945109
1.0,2.0,2.0,0.39750227
14.0,6.0,1.0,0.39999747
23.0,2.0,2.0,0.4007959
12.0,8.0,1.0,0.4027742
6.0,8.0,1.0,0.4033196
12.0,8.0,2.0,0.40704998
8.0,6.0,1.0,0.41263384
13.0,6.0,1.0,0.41706392
6.0,1.0,1.0,0.4179229
13.0,9.0,1.0,0.4217388
13.0,2.0,2.0,0.42195526
9.0,8.0,1.0,0.42312554
11.0,9.0,2.0,0.4249215
24.0,2.0,1.0,0.42529437
13.0,8.0,1.0,0.42531654
1.0,8.0,2.0,0.42650464
14.0,8.0,2.0,0.42702132
19.0,9.0,2.0,0.42733926
12.0,1.0,1.0,0.42823634
18.0,6.0,2.0,0.43228045
16.0,9.0,1.0,0.4334182
17.0,8.0,2.0,0.43383622
18.0,6.0,1.0,0.43420434
7.0,8.0,1.0,0.43435737
18.0,9.0,1.0,0.43466157
22.0,8.0,2.0,0.4366029
18.0,2.0,1.0,0.43780985
23.0,8.0,1.0,0.4390877
17.0,2.0,2.0,0.4393637
7.0,9.0,2.0,0.4394487
17.0,9.0,1.0,0.44145405
10.0,8.0,1.0,0.44152394
1.0,6.0,2.0,0.44158497
21.0,2.0,2.0,0.4426057
15.0,8.0,2.0,0.444124
9.0,9.0,1.0,0.44416708
9.0,1.0,1.0,0.4448877
16.0,2.0,1.0,0.44490328
1.0,2.0,1.0,0.4457088
20.0,6.0,2.0,0.44597685
11.0,1.0,2.0,0.44618464
15.0,6.0,2.0,0.44622537
22.0,6.0,2.0,0.44764787
12.0,9.0,1.0,0.44835144
13.0,1.0,2.0,0.4500157
19.0,8.0,1.0,0.4503066
18.0,2.0,2.0,0.4509286
20.0,1.0,1.0,0.45111126
16.0,9.0,2.0,0.4514177
9.0,1.0,2.0,0.45206577
19.0,6.0,2.0,0.45288947
21.0,8.0,1.0,0.45293772
20.0,9.0,1.0,0.45295513
4.0,8.0,1.0,0.45308337
17.0,9.0,2.0,0.4530944
23.0,9.0,2.0,0.4534795
17.0,1.0,1.0,0.45349365
23.0,6.0,1.0,0.45351484
24.0,1.0,2.0,0.4536551
19.0,2.0,2.0,0.4537964
19.0,1.0,1.0,0.45426002
24.0,1.0,1.0,0.45541668
16.0,8.0,2.0,0.45544943
19.0,8.0,2.0,0.45553994
12.0,1.0,2.0,0.45735207
15.0,1.0,1.0,0.45745778
21.0,1.0,1.0,0.45761368
20.0,2.0,1.0,0.4579655
20.0,8.0,2.0,0.4581495
1.0,1.0,2.0,0.45817325
14.0,1.0,1.0,0.45835093
9.0,6.0,2.0,0.45854595
21.0,9.0,1.0,0.4586833
20.0,1.0,2.0,0.45919818
16.0,1.0,1.0,0.4597506
15.0,8.0,1.0,0.46004364
16.0,2.0,2.0,0.46027806
15.0,6.0,1.0,0.46038374
22.0,1.0,2.0,0.4609678
19.0,1.0,2.0,0.46100482
