legitimate_value,attr1_value,attr2_value,csp_rate
5411,18_25,1.0,1.3307898e-05
3254,60_plus,1.0,0.00014406671
327M,25_45,2.0,0.00015230493
4561Z,25_45,1.0,0.00019835416
2123,25_45,2.0,0.0010697703
45942,25_45,1.0,0.0011645877
812112,18_25,1.0,0.0012519099
9281P,25_45,2.0,0.0012785499
32411,18_25,1.0,0.0028357506
114,60_plus,1.0,0.0031639135
3114,25_45,1.0,0.003603896
325M,18_25,1.0,0.0037236328
6222,18_25,1.0,0.005332287
51921,18_25,2.0,0.0056787785
211,45_60,1.0,0.0058556544
4582,60_plus,2.0,0.0058712973
4412,45_60,1.0,0.0063606314
4595,18_25,1.0,0.0067234905
4235,18_25,1.0,0.0075807995
325M,45_60,2.0,0.007960756
3262M,25_45,2.0,0.008274673
517Z,60_plus,2.0,0.008610971
2121,25_45,1.0,0.008722819
721M,60_plus,1.0,0.009574762
311S,25_45,2.0,0.01045937
51311,60_plus,1.0,0.011236905
42393,45_60,2.0,0.011918689
115,18_25,2.0,0.013057749
4551,18_25,1.0,0.013686631
62131,45_60,2.0,0.014727314
4241,45_60,1.0,0.015195983
3121,60_plus,2.0,0.01631331
3313,18_25,1.0,0.016499033
4231,25_45,2.0,0.017077446
33299M,25_45,1.0,0.017503658
5414,18_25,1.0,0.01823392
314Z,60_plus,2.0,0.020499669
3352,45_60,2.0,0.022132404
62131,45_60,1.0,0.022577621
92113,45_60,1.0,0.023620091
32621,45_60,1.0,0.025206536
5614,45_60,1.0,0.025685493
3256,18_25,2.0,0.030501088
311M2,60_plus,2.0,0.031322062
4234,60_plus,1.0,0.03389022
3369,18_25,1.0,0.03390914
3222M,18_25,1.0,0.037055332
31411,45_60,2.0,0.03753372
3262M,25_45,1.0,0.03885863
8123,45_60,1.0,0.039662298
8122,60_plus,2.0,0.041277442
221MP,60_plus,2.0,0.041382544
8111Z,18_25,2.0,0.042067546
327M,25_45,1.0,0.051679987
3253,45_60,2.0,0.054000467
5132,60_plus,1.0,0.05476218
5182,45_60,1.0,0.055672865
53M,25_45,1.0,0.058604117
3162,18_25,1.0,0.058890197
2211P,18_25,2.0,0.059108168
334M1,25_45,1.0,0.062440716
3132Z,45_60,2.0,0.064998396
3256,60_plus,1.0,0.06983296
3336,45_60,2.0,0.07417209
562,25_45,2.0,0.07536028
424M,25_45,2.0,0.07566555
4583,18_25,2.0,0.075964436
712,25_45,2.0,0.07647307
3335,25_45,1.0,0.07830525
3313,60_plus,1.0,0.07836418
3279,45_60,2.0,0.078493
92119,25_45,1.0,0.07890536
114,25_45,1.0,0.07966788
8114,45_60,2.0,0.08029667
3345,45_60,2.0,0.08196264
31411,60_plus,2.0,0.08244036
3341,25_45,1.0,0.08461167
531M,18_25,2.0,0.08536763
337,60_plus,2.0,0.085974835
5221M,45_60,1.0,0.0860568
114,60_plus,2.0,0.08614998
4236,45_60,1.0,0.08658767
