legitimate_value,attr1_value,attr2_value,csp_rate
6.0,18_25,1.0,0.0015612772
4.0,25_45,2.0,0.0031890112
2.0,60_plus,1.0,0.021521145
12.0,18_25,1.0,0.028601885
10.0,18_25,1.0,0.038805343
9.0,18_25,1.0,0.10287488
7.0,60_plus,1.0,0.113156036
13.0,18_25,2.0,0.17987777
6.0,60_plus,2.0,0.23746079
13.0,18_25,1.0,0.2464188
7.0,60_plus,2.0,0.24843983
11.0,18_25,1.0,0.26973948
6.0,45_60,2.0,0.27657482
7.0,45_60,1.0,0.29705405
14.0,60_plus,2.0,0.30307588
8.0,45_60,1.0,0.30816787
11.0,25_45,2.0,0.31320104
10.0,60_plus,2.0,0.31545943
11.0,60_plus,2.0,0.31726584
9.0,45_60,1.0,0.32301736
6.0,25_45,2.0,0.33092397
17.0,18_25,1.0,0.33111292
9.0,25_45,1.0,0.36310932
22.0,18_25,2.0,0.370219
12.0,45_60,1.0,0.37339833
24.0,60_plus,1.0,0.37526566
4.0,45_60,1.0,0.37767962
12.0,25_45,2.0,0.37832505
9.0,45_60,2.0,0.38056713
15.0,18_25,2.0,0.38334346
20.0,18_25,2.0,0.3861764
15.0,45_60,1.0,0.38852224
24.0,25_45,2.0,0.38879466
22.0,45_60,1.0,0.39100495
18.0,18_25,2.0,0.39195767
18.0,45_60,1.0,0.3927873
15.0,60_plus,2.0,0.39994726
22.0,60_plus,1.0,0.40318274
12.0,18_25,2.0,0.40553188
18.0,60_plus,1.0,0.40626734
14.0,45_60,2.0,0.40833333
23.0,25_45,1.0,0.40959918
24.0,60_plus,2.0,0.4111048
8.0,60_plus,1.0,0.41176358
11.0,60_plus,1.0,0.41469246
17.0,60_plus,2.0,0.41686097
22.0,25_45,2.0,0.41791305
24.0,45_60,1.0,0.41928294
23.0,60_plus,1.0,0.4228772
15.0,60_plus,1.0,0.42332175
7.0,25_45,1.0,0.42399734
13.0,60_plus,2.0,0.4242534
2.0,45_60,2.0,0.42570305
24.0,45_60,2.0,0.42591584
16.0,18_25,1.0,0.4265572
16.0,25_45,1.0,0.42831963
21.0,45_60,1.0,0.428992
11.0,25_45,1.0,0.4303397
23.0,60_plus,2.0,0.43358874
1.0,45_60,1.0,0.4336585
21.0,18_25,2.0,0.43483675
18.0,18_25,1.0,0.43691126
16.0,25_45,2.0,0.43791327
18.0,45_60,2.0,0.43928224
19.0,60_plus,2.0,0.43994638
1.0,18_25,2.0,0.4401191
15.0,45_60,2.0,0.4411843
16.0,60_plus,1.0,0.4432006
22.0,45_60,2.0,0.4435595
19.0,45_60,1.0,0.44366378
19.0,18_25,2.0,0.44371185
21.0,60_plus,2.0,0.4438075
21.0,45_60,2.0,0.44482908
20.0,45_60,2.0,0.4450502
15.0,25_45,1.0,0.4476882
17.0,45_60,2.0,0.44841227
20.0,25_45,1.0,0.4485191
15.0,25_45,2.0,0.4490312
2.0,25_45,2.0,0.44903523
18.0,25_45,1.0,0.45090455
1.0,25_45,1.0,0.45124817
16.0,45_60,1.0,0.45193312
24.0,25_45,1.0,0.4538967
21.0,25_45,2.0,0.4544527
19.0,25_45,1.0,0.45515007
20.0,45_60,1.0,0.4553538
19.0,25_45,2.0,0.45582733
12.0,25_45,1.0,0.45690423
22.0,60_plus,2.0,0.4573718
21.0,60_plus,1.0,0.4575057
20.0,60_plus,2.0,0.45821643
16.0,18_25,2.0,0.45842296
20.0,60_plus,1.0,0.45939025
11.0,45_60,2.0,0.45948252
21.0,25_45,1.0,0.4604466
13.0,45_60,2.0,0.4617995
20.0,25_45,2.0,0.46193632
17.0,25_45,1.0,0.46257645
21.0,18_25,1.0,0.46521342
6.0,25_45,1.0,0.46569815
16.0,60_plus,2.0,0.46658966
17.0,18_25,2.0,0.46875212
22.0,25_45,1.0,0.4695015
19.0,18_25,1.0,0.46976492
14.0,18_25,1.0,0.4707425
14.0,25_45,1.0,0.47430792
17.0,25_45,2.0,0.4744299
12.0,60_plus,2.0,0.47517672
2.0,45_60,1.0,0.47614205
14.0,45_60,1.0,0.47648633
9.0,25_45,2.0,0.47669354
1.0,45_60,2.0,0.4770748
17.0,60_plus,1.0,0.47862116
9.0,60_plus,2.0,0.47915468
23.0,45_60,1.0,0.48216477
17.0,45_60,1.0,0.4833107
16.0,45_60,2.0,0.48645288
23.0,25_45,2.0,0.48722905
10.0,45_60,1.0,0.4887256
13.0,25_45,2.0,0.4894792
19.0,45_60,2.0,0.49216616
10.0,45_60,2.0,0.4944543
18.0,60_plus,2.0,0.49743393
1.0,60_plus,2.0,0.5056807
13.0,25_45,1.0,0.50624347
20.0,18_25,1.0,0.50796473
14.0,60_plus,1.0,0.5083717
1.0,25_45,2.0,0.50839406
19.0,60_plus,1.0,0.5132063
12.0,45_60,2.0,0.51936543
18.0,25_45,2.0,0.52113104
1.0,60_plus,1.0,0.5218651
5.0,45_60,2.0,0.5256921
23.0,45_60,2.0,0.5307394
1.0,18_25,1.0,0.5409597
22.0,18_25,1.0,0.54109657
12.0,60_plus,1.0,0.5425312
3.0,45_60,1.0,0.54898703
13.0,45_60,1.0,0.54954934
9.0,60_plus,1.0,0.5563829
10.0,25_45,1.0,0.57684124
11.0,45_60,1.0,0.5831212
15.0,18_25,1.0,0.5859417
10.0,60_plus,1.0,0.58781534
14.0,25_45,2.0,0.59192103
14.0,18_25,2.0,0.60285556
8.0,45_60,2.0,0.6029043
13.0,60_plus,1.0,0.6113605
8.0,25_45,1.0,0.6782273
6.0,45_60,1.0,0.71521664
5.0,45_60,1.0,0.7931984
