legitimate_value,attr1_value,attr2_value,csp_rate
3132Z,1.0,1.0,8.29578e-05
5241,1.0,9.0,8.34615e-05
44513,2.0,9.0,0.00019835416
424M,2.0,8.0,0.00037223296
213,2.0,6.0,0.0010054244
45942,1.0,1.0,0.0011645877
6241,1.0,6.0,0.0014185713
3331M,1.0,1.0,0.0014948231
32411,2.0,9.0,0.0015612772
6214,1.0,6.0,0.0016871729
4595,1.0,1.0,0.0017633638
517111,2.0,6.0,0.0020167592
333MS,1.0,9.0,0.002157894
611M1,1.0,6.0,0.0024470254
712,1.0,1.0,0.0024589216
3114,2.0,9.0,0.003603896
5414,2.0,9.0,0.0036918004
56173,1.0,9.0,0.0039317976
3328,2.0,2.0,0.004919281
3352,1.0,2.0,0.0052327155
482,2.0,8.0,0.0055701626
4MS,1.0,8.0,0.006578481
562,1.0,9.0,0.0068912692
5241,1.0,2.0,0.007262583
114,2.0,2.0,0.0073685558
2212P,1.0,8.0,0.008268962
3262M,2.0,8.0,0.008274673
8113,1.0,1.0,0.008441233
4442,1.0,1.0,0.009390259
311S,2.0,2.0,0.01045937
8111Z,1.0,9.0,0.0105054965
81393,2.0,2.0,0.011739167
92M1,1.0,1.0,0.012168858
7112,2.0,9.0,0.013390952
3391,2.0,8.0,0.014166905
3121,2.0,2.0,0.01631331
4231,2.0,2.0,0.017077446
2211P,2.0,6.0,0.020849327
4561Z,2.0,2.0,0.021569995
62131,2.0,6.0,0.022116674
711M,2.0,6.0,0.02226942
4238,2.0,6.0,0.023490133
92113,2.0,9.0,0.023620091
4591M,2.0,9.0,0.027877137
112,1.0,8.0,0.028006217
3341,2.0,9.0,0.028293714
5615,2.0,9.0,0.029627152
3256,2.0,9.0,0.030501088
7115,2.0,8.0,0.030704496
44513,2.0,6.0,0.031255297
311M2,1.0,8.0,0.031322062
4233,2.0,6.0,0.031726327
3369,2.0,1.0,0.03390914
713Z,1.0,9.0,0.040951736
712,2.0,8.0,0.042348176
111,1.0,9.0,0.04238221
3345,2.0,6.0,0.046185005
3279,2.0,6.0,0.047499277
3113,2.0,2.0,0.04835522
5418,2.0,2.0,0.051172003
3253,2.0,9.0,0.054000467
4234,1.0,9.0,0.05857359
331M,2.0,9.0,0.059167925
3221,1.0,1.0,0.059962705
3118Z,2.0,2.0,0.06051155
6243,2.0,1.0,0.06755465
3254,2.0,8.0,0.06851222
3256,1.0,6.0,0.06983296
325M,2.0,8.0,0.07215138
3315,2.0,2.0,0.07228976
491,1.0,2.0,0.073669225
4411,1.0,1.0,0.074742995
4232,1.0,8.0,0.07992753
517Z,2.0,9.0,0.08647883
6241,1.0,8.0,0.086531915
5616,1.0,8.0,0.087479204
3335,2.0,2.0,0.08798864
3MS,2.0,6.0,0.08820258
32221,1.0,1.0,0.08906095
6244,1.0,6.0,0.08941946
5411,1.0,8.0,0.089688845
4491,2.0,6.0,0.09062724
32221,1.0,2.0,0.091090545
482,2.0,2.0,0.09254802
5417,1.0,9.0,0.09375092
517111,2.0,2.0,0.09441435
562,1.0,1.0,0.09599024
3132Z,2.0,6.0,0.097065225
5412,1.0,6.0,0.10386629
51311,1.0,1.0,0.10405424
4595,1.0,2.0,0.10450566
115,1.0,1.0,0.108206965
2123,1.0,2.0,0.108854726
92811P1,1.0,1.0,0.10926161
3336,2.0,1.0,0.11027072
92119,2.0,9.0,0.11061849
5616,1.0,2.0,0.11136031
712,2.0,6.0,0.11227963
6222,1.0,8.0,0.11560324
3MS,1.0,2.0,0.11611385
4572,1.0,1.0,0.11783583
31411,2.0,1.0,0.12038394
22S,1.0,1.0,0.12466537
531M,1.0,6.0,0.12548502
8129,2.0,8.0,0.12591954
3219ZM,2.0,9.0,0.12800379
23,1.0,6.0,0.1300912
4241,2.0,1.0,0.13112722
8129,2.0,2.0,0.13122201
92M2,1.0,1.0,0.13184166
5182,2.0,2.0,0.13345666
3399M,2.0,8.0,0.13413148
115,2.0,8.0,0.13456789
4581,1.0,9.0,0.1358086
3327,2.0,9.0,0.13602577
4452,1.0,1.0,0.13684165
712,2.0,9.0,0.1376337
3366,2.0,2.0,0.13969572
812111,2.0,2.0,0.1399278
44511,1.0,9.0,0.1409207
531M,1.0,2.0,0.14171574
721M,2.0,6.0,0.1428462
481,2.0,2.0,0.14311905
5613,1.0,2.0,0.14436087
4231,2.0,9.0,0.14476888
522M,1.0,1.0,0.14570954
2122,2.0,1.0,0.14856352
32711,2.0,1.0,0.15022825
4591M,2.0,2.0,0.15099289
3399ZM,1.0,1.0,0.15100789
42491,1.0,2.0,0.15318489
517111,1.0,1.0,0.15351589
92811P3,2.0,9.0,0.15418012
56173,2.0,6.0,0.15458483
4571,2.0,2.0,0.15619451
31411,2.0,2.0,0.15622003
3162,2.0,1.0,0.15758067
325M,1.0,1.0,0.1595366
4413,2.0,9.0,0.16120322
4599,2.0,9.0,0.16261229
3279,1.0,2.0,0.16264221
3115,2.0,2.0,0.16333833
4595,2.0,6.0,0.16339718
54194,2.0,8.0,0.16343336
711M,2.0,9.0,0.16513191
4245,2.0,8.0,0.16846162
4453,2.0,9.0,0.16855519
4244,1.0,8.0,0.1698084
92MP,1.0,6.0,0.17084172
3341,2.0,1.0,0.17098063
92M1,2.0,6.0,0.17120367
4551,2.0,2.0,0.171984
562,2.0,2.0,0.17253983
3255,2.0,1.0,0.17343327
3313,2.0,1.0,0.17474523
81393,2.0,8.0,0.1761574
111,2.0,6.0,0.17678303
33311,1.0,9.0,0.17766254
337,2.0,9.0,0.17894912
112,2.0,9.0,0.18010966
33641M1,1.0,1.0,0.18198545
44511,1.0,8.0,0.18541104
4247,1.0,1.0,0.18584517
5412,2.0,2.0,0.18602891
923,1.0,8.0,0.18623142
4MS,2.0,9.0,0.18686801
813M,2.0,2.0,0.18719688
8131,1.0,2.0,0.19004834
623M,1.0,2.0,0.19088249
492,1.0,8.0,0.19179857
531M,1.0,8.0,0.19199742
3252,2.0,2.0,0.19386858
5321,2.0,8.0,0.1959691
711M,2.0,2.0,0.19974285
811192,2.0,8.0,0.20299795
3211,2.0,1.0,0.20328644
484,1.0,9.0,0.20348941
8113,2.0,9.0,0.20438224
3365,2.0,1.0,0.20575666
315M,2.0,8.0,0.20747367
5419Z,2.0,9.0,0.20788497
5417,1.0,8.0,0.20961727
4551,1.0,2.0,0.21051358
3212,2.0,6.0,0.21114416
621M,2.0,8.0,0.21275985
314Z,2.0,1.0,0.21304578
516,2.0,8.0,0.21362677
6213ZM,2.0,2.0,0.21403898
7224,2.0,2.0,0.21549176
3315,2.0,6.0,0.21563585
2123,2.0,8.0,0.21960862
623M,1.0,8.0,0.21994765
3211,1.0,1.0,0.22173493
62132,1.0,1.0,0.22286566
311811,2.0,8.0,0.22287823
4572,2.0,1.0,0.22422977
8111Z,2.0,6.0,0.22425735
45942,2.0,9.0,0.2244271
3262M,2.0,1.0,0.22743918
44513,2.0,2.0,0.22858125
4237,1.0,8.0,0.23026358
2212P,2.0,6.0,0.23042591
3252,2.0,8.0,0.23252802
23,1.0,8.0,0.23496582
5413,2.0,8.0,0.23787342
114,1.0,1.0,0.23790227
5614,1.0,1.0,0.23953882
8131,1.0,1.0,0.24073933
4249Z,1.0,1.0,0.24196342
722Z,1.0,2.0,0.24241224
3256,2.0,1.0,0.24462315
213,2.0,2.0,0.24623378
3366,1.0,1.0,0.24644966
5417,2.0,9.0,0.24946842
5242,2.0,6.0,0.2517958
481,1.0,1.0,0.25241303
4413,2.0,6.0,0.2531035
4582,2.0,9.0,0.25311425
92811P2,2.0,2.0,0.25387296
332MZ,2.0,8.0,0.25545558
8123,2.0,2.0,0.25617823
488,1.0,1.0,0.25673434
92811P1,2.0,8.0,0.25737098
4411,2.0,2.0,0.2583715
7115,2.0,9.0,0.2584237
516,2.0,6.0,0.25980935
4853,1.0,6.0,0.26043397
4238,1.0,1.0,0.26097262
8111Z,2.0,2.0,0.2611596
52M3,2.0,9.0,0.26174355
6211,2.0,2.0,0.26242507
8139Z,1.0,1.0,0.26250365
44511,1.0,2.0,0.26512393
7115,2.0,6.0,0.26687557
7211,1.0,8.0,0.26698226
5121,2.0,2.0,0.26796407
522M,2.0,9.0,0.26871625
7211,1.0,9.0,0.27055904
3115,2.0,9.0,0.27088383
5613,1.0,1.0,0.27130216
45921,2.0,2.0,0.27144372
483,2.0,9.0,0.27169192
4244,2.0,6.0,0.27317291
33641M2,2.0,1.0,0.27330652
92119,2.0,1.0,0.27353728
51921,2.0,6.0,0.27375516
5417,1.0,6.0,0.2753712
314Z,1.0,1.0,0.27649415
561M,2.0,6.0,0.2770062
5131Z,2.0,6.0,0.27773824
5416,2.0,8.0,0.27816084
4591M,1.0,9.0,0.2787384
3313,1.0,1.0,0.28003678
5617Z,1.0,1.0,0.28005004
9281P,2.0,9.0,0.2801829
4561Z,2.0,8.0,0.28026527
611M2,1.0,1.0,0.2807063
4441Z,2.0,9.0,0.28128937
4551,2.0,8.0,0.28152153
5616,1.0,1.0,0.28212184
4571,2.0,6.0,0.28298393
5241,2.0,2.0,0.28375822
4236,2.0,1.0,0.28468993
33641M1,1.0,9.0,0.28493237
23,1.0,2.0,0.2858193
6214,1.0,9.0,0.28619453
45914,2.0,1.0,0.28684083
44414,1.0,1.0,0.28691328
3314,2.0,1.0,0.28729773
6242,2.0,2.0,0.2878559
485M,1.0,1.0,0.28991288
611M1,2.0,8.0,0.2905273
3261,2.0,6.0,0.29150736
337,2.0,1.0,0.2916968
812112,1.0,1.0,0.29360887
5617Z,1.0,9.0,0.2936264
3MS,2.0,2.0,0.29505304
812112,2.0,6.0,0.2951832
491,1.0,1.0,0.29540914
623M,2.0,2.0,0.29922464
3391,1.0,1.0,0.30455354
3221,2.0,9.0,0.3054668
4491,2.0,9.0,0.3056394
92113,1.0,1.0,0.30683956
51311,2.0,1.0,0.3069945
3MS,2.0,9.0,0.3082771
2211P,2.0,2.0,0.30851644
5412,2.0,8.0,0.30911633
4244,1.0,2.0,0.3095325
