legitimate_value,attr1_value,attr2_value,csp_rate
12.0,1.0,6.0,0.0024470254
4.0,2.0,9.0,0.0031890112
15.0,1.0,8.0,0.0042551747
24.0,1.0,2.0,0.023134952
13.0,1.0,9.0,0.061187826
7.0,2.0,1.0,0.07359956
15.0,1.0,6.0,0.075368464
22.0,1.0,8.0,0.08068318
2.0,2.0,8.0,0.08395744
11.0,1.0,2.0,0.10814468
7.0,1.0,8.0,0.164806
12.0,1.0,8.0,0.17637016
20.0,1.0,6.0,0.18991347
24.0,2.0,8.0,0.2063933
2.0,2.0,1.0,0.2236121
24.0,1.0,6.0,0.22690381
21.0,1.0,8.0,0.23906396
14.0,2.0,6.0,0.24489522
9.0,1.0,8.0,0.27319708
22.0,2.0,8.0,0.2738827
13.0,1.0,2.0,0.2774
15.0,1.0,9.0,0.28392884
9.0,2.0,6.0,0.28801236
15.0,2.0,2.0,0.2886445
8.0,2.0,1.0,0.29278538
14.0,1.0,9.0,0.29461664
1.0,2.0,2.0,0.29562432
18.0,1.0,8.0,0.3213293
24.0,1.0,1.0,0.32253513
11.0,2.0,2.0,0.32296678
22.0,1.0,6.0,0.32391864
6.0,1.0,9.0,0.32647505
6.0,2.0,1.0,0.3309738
23.0,2.0,8.0,0.33251482
12.0,1.0,2.0,0.3351501
16.0,1.0,9.0,0.3354223
7.0,2.0,8.0,0.33887097
20.0,1.0,9.0,0.3403458
15.0,2.0,9.0,0.3488938
9.0,2.0,1.0,0.34980774
15.0,1.0,2.0,0.36027625
12.0,1.0,1.0,0.36034507
19.0,1.0,8.0,0.36952344
1.0,1.0,2.0,0.37128162
14.0,1.0,1.0,0.37441018
16.0,1.0,8.0,0.3751281
15.0,1.0,1.0,0.37682936
4.0,2.0,1.0,0.37767962
10.0,2.0,2.0,0.38050878
14.0,2.0,8.0,0.38284516
18.0,1.0,9.0,0.39020163
9.0,2.0,8.0,0.39276713
17.0,1.0,2.0,0.39595127
22.0,1.0,1.0,0.39617595
17.0,1.0,8.0,0.4039696
12.0,2.0,1.0,0.40493807
20.0,1.0,1.0,0.40588525
17.0,2.0,2.0,0.4076668
20.0,1.0,2.0,0.40821612
24.0,2.0,1.0,0.40936342
11.0,1.0,1.0,0.41082114
8.0,1.0,6.0,0.41208318
1.0,2.0,8.0,0.41555616
16.0,2.0,6.0,0.41627327
24.0,2.0,9.0,0.41679522
3.0,1.0,1.0,0.41988304
20.0,2.0,8.0,0.41993427
1.0,1.0,8.0,0.4203737
22.0,2.0,9.0,0.4205455
16.0,2.0,9.0,0.42217875
19.0,2.0,2.0,0.42628768
11.0,1.0,8.0,0.42785937
22.0,2.0,1.0,0.4279592
9.0,1.0,9.0,0.43039984
8.0,2.0,2.0,0.43116263
10.0,2.0,1.0,0.43244347
21.0,1.0,1.0,0.43509623
18.0,2.0,1.0,0.43599534
19.0,1.0,2.0,0.43646038
16.0,2.0,2.0,0.43959996
20.0,2.0,2.0,0.4399921
17.0,2.0,8.0,0.44048545
16.0,1.0,1.0,0.44102415
11.0,2.0,1.0,0.4424539
23.0,2.0,6.0,0.44274476
