legitimate_value,attr1_value,attr2_value,csp_rate
3132Z,1.0,2.0,8.29578e-05
51311,2.0,1.0,0.0005925111
2123,2.0,2.0,0.0010697703
45942,1.0,1.0,0.0011645877
3331M,1.0,1.0,0.0014948231
712,1.0,1.0,0.0024589216
56173,1.0,2.0,0.0039317976
611M2,2.0,1.0,0.004095176
3352,1.0,2.0,0.0052327155
522M,1.0,2.0,0.0071879695
4442,1.0,2.0,0.0074755065
2212P,1.0,1.0,0.008268962
3262M,2.0,2.0,0.008274673
8113,1.0,1.0,0.008441233
311S,2.0,2.0,0.01045937
4442,1.0,1.0,0.011305011
92M1,1.0,2.0,0.012168858
8139Z,1.0,2.0,0.022427116
311M2,1.0,2.0,0.031322062
562,1.0,1.0,0.048212755
4595,1.0,2.0,0.053134512
3253,2.0,2.0,0.054000467
4234,1.0,1.0,0.05857359
3221,1.0,1.0,0.059962705
31411,2.0,2.0,0.05998704
3256,1.0,1.0,0.06983296
6231,1.0,1.0,0.077330895
5614,1.0,1.0,0.077935986
3279,2.0,2.0,0.078493
4232,1.0,1.0,0.07992753
32221,1.0,1.0,0.090075746
481,1.0,1.0,0.09424512
4571,1.0,1.0,0.096768536
33641M2,2.0,1.0,0.09746234
51311,1.0,1.0,0.10405424
115,1.0,2.0,0.108206965
2123,1.0,1.0,0.108854726
3231,1.0,2.0,0.10899153
92811P1,1.0,2.0,0.10926161
6222,1.0,1.0,0.11560324
92119,2.0,1.0,0.11573131
4572,1.0,1.0,0.11783583
33641M1,1.0,2.0,0.120065056
3336,2.0,1.0,0.12323489
22S,1.0,1.0,0.12466537
4241,2.0,1.0,0.13112722
5418,1.0,1.0,0.134719
3222M,1.0,1.0,0.14431314
562,2.0,2.0,0.14676473
3365,2.0,1.0,0.14787117
562,1.0,2.0,0.15022373
32711,2.0,1.0,0.15022825
3399ZM,1.0,2.0,0.15100789
8112,2.0,2.0,0.15325002
3279,1.0,1.0,0.16264221
812112,1.0,1.0,0.16442683
114,2.0,1.0,0.16745242
4244,1.0,2.0,0.1698084
112,1.0,2.0,0.1771171
315M,1.0,1.0,0.18131256
4247,1.0,1.0,0.18584517
3399M,2.0,1.0,0.18996783
4411,1.0,2.0,0.19048212
4561Z,1.0,1.0,0.19321783
493,1.0,2.0,0.19345725
5313,1.0,1.0,0.19639169
31411,2.0,1.0,0.19648464
4853,2.0,2.0,0.20195805
221MP,2.0,2.0,0.20307045
4236,2.0,1.0,0.20525798
3256,2.0,2.0,0.20581177
44511,1.0,1.0,0.20721364
491,1.0,2.0,0.2084854
4572,2.0,2.0,0.21227437
5242,1.0,1.0,0.21247455
3341,2.0,2.0,0.21416512
522M,1.0,1.0,0.21497034
8114,2.0,2.0,0.21647409
62132,1.0,2.0,0.22286566
3262M,2.0,1.0,0.22743918
517111,1.0,1.0,0.22876379
4237,1.0,2.0,0.23026358
3328,2.0,2.0,0.23088701
424M,2.0,2.0,0.23189697
813M,1.0,1.0,0.23225945
