legitimate_value,attr1_value,attr2_value,csp_rate
4.0,2.0,2.0,0.0031890112
2.0,2.0,1.0,0.021521145
9.0,1.0,2.0,0.031322062
7.0,2.0,1.0,0.19216709
24.0,1.0,1.0,0.23736218
7.0,2.0,2.0,0.24843983
12.0,1.0,1.0,0.25650218
15.0,1.0,1.0,0.27535808
6.0,2.0,2.0,0.2831362
13.0,1.0,2.0,0.29165342
24.0,1.0,2.0,0.306165
6.0,1.0,2.0,0.32647505
20.0,1.0,2.0,0.33537993
9.0,1.0,1.0,0.35266572
11.0,1.0,2.0,0.3612692
14.0,1.0,1.0,0.37529504
4.0,2.0,1.0,0.37767962
15.0,1.0,2.0,0.38423854
1.0,1.0,1.0,0.38710794
11.0,2.0,2.0,0.38736355
9.0,2.0,1.0,0.39385915
16.0,1.0,1.0,0.39954105
12.0,1.0,2.0,0.41133228
24.0,2.0,2.0,0.41218022
11.0,1.0,1.0,0.41441014
21.0,1.0,2.0,0.41606855
22.0,1.0,2.0,0.4178861
3.0,1.0,1.0,0.41988304
18.0,2.0,1.0,0.42031977
10.0,2.0,2.0,0.42285633
22.0,2.0,1.0,0.42615044
22.0,1.0,1.0,0.42930523
24.0,2.0,1.0,0.4307182
12.0,2.0,1.0,0.43350187
22.0,2.0,2.0,0.43485296
23.0,2.0,1.0,0.43689728
15.0,2.0,2.0,0.43701264
2.0,2.0,2.0,0.44125783
16.0,2.0,1.0,0.4435089
18.0,1.0,1.0,0.44628975
17.0,2.0,1.0,0.44828847
21.0,2.0,1.0,0.44914234
14.0,1.0,2.0,0.44920242
9.0,2.0,2.0,0.44992983
21.0,2.0,2.0,0.45010057
19.0,2.0,2.0,0.45207402
17.0,2.0,2.0,0.45418644
20.0,2.0,1.0,0.45456988
17.0,1.0,2.0,0.45608026
20.0,2.0,2.0,0.46090162
16.0,2.0,2.0,0.46136978
8.0,2.0,1.0,0.46342176
19.0,2.0,1.0,0.46457312
15.0,2.0,1.0,0.46595064
11.0,2.0,1.0,0.46598566
18.0,1.0,2.0,0.4691987
18.0,2.0,2.0,0.4709162
13.0,1.0,1.0,0.47095823
16.0,1.0,2.0,0.47587064
2.0,1.0,1.0,0.47614205
12.0,2.0,2.0,0.47698572
1.0,2.0,1.0,0.47735676
1.0,2.0,2.0,0.47863784
10.0,2.0,1.0,0.48058605
23.0,1.0,1.0,0.48125544
21.0,1.0,1.0,0.4864399
20.0,1.0,1.0,0.4871853
23.0,2.0,2.0,0.48854384
7.0,1.0,1.0,0.4893788
13.0,2.0,2.0,0.4915772
14.0,2.0,1.0,0.49312475
19.0,1.0,1.0,0.49752226
10.0,1.0,1.0,0.50204134
14.0,2.0,2.0,0.5036791
19.0,1.0,2.0,0.50767565
13.0,2.0,1.0,0.5125696
17.0,1.0,1.0,0.5211853
6.0,2.0,1.0,0.5225819
5.0,2.0,2.0,0.5256921
23.0,1.0,2.0,0.53996116
1.0,1.0,2.0,0.54306656
8.0,2.0,2.0,0.6029043
3.0,2.0,1.0,0.67809105
8.0,1.0,1.0,0.6900676
5.0,2.0,1.0,0.7931984
