legitimate_value,attr1_value,attr2_value,csp_rate
3352,0.0,2.0,0.00013821716
327M,1.0,2.0,0.00015230493
562,1.0,2.0,0.00049683184
2123,0.0,2.0,0.0010697703
3262M,0.0,1.0,0.0017185465
331M,0.0,2.0,0.0024190475
483,0.0,2.0,0.0027426602
4582,1.0,2.0,0.0058712973
33311,0.0,1.0,0.007239473
3262M,0.0,2.0,0.008274673
311S,0.0,2.0,0.01045937
5122,1.0,1.0,0.011417851
4241,1.0,1.0,0.015195983
33MS,1.0,1.0,0.016415639
4231,0.0,2.0,0.017077446
3314,0.0,1.0,0.021677678
4591M,1.0,1.0,0.024028562
33311,0.0,2.0,0.025106901
4235,0.0,1.0,0.03094877
334M1,0.0,1.0,0.032089543
3132Z,1.0,2.0,0.032931563
3369,0.0,1.0,0.03390914
51311,1.0,1.0,0.05232338
3253,1.0,2.0,0.054000467
8122,0.0,2.0,0.057581306
31411,1.0,2.0,0.05998704
92119,0.0,1.0,0.06790339
114,1.0,1.0,0.07037902
4583,0.0,2.0,0.075964436
115,0.0,2.0,0.07649056
3279,0.0,2.0,0.078493
6242,1.0,1.0,0.08008906
8114,0.0,2.0,0.08029667
114,0.0,2.0,0.08614998
3335,0.0,2.0,0.08798864
3222M,0.0,1.0,0.090684235
5419Z,0.0,1.0,0.09919365
3336,1.0,1.0,0.10010041
3279,0.0,1.0,0.103345595
4572,0.0,2.0,0.11253993
532M2,0.0,1.0,0.11473237
4572,1.0,1.0,0.11783583
22S,0.0,1.0,0.12466537
3335,0.0,1.0,0.12641983
3256,0.0,2.0,0.12719552
4231,0.0,1.0,0.12787727
315M,0.0,1.0,0.1359788
711M,1.0,2.0,0.14138834
611M2,1.0,1.0,0.14240073
3365,1.0,1.0,0.14787117
32711,0.0,1.0,0.15022825
54194,1.0,1.0,0.15322785
8112,0.0,2.0,0.15325002
5182,1.0,2.0,0.1542476
32221,1.0,2.0,0.15881479
8121M,1.0,1.0,0.15987395
325M,1.0,2.0,0.16687484
45914,1.0,1.0,0.17696425
3114,0.0,1.0,0.17744792
45942,1.0,2.0,0.1792284
4561Z,1.0,1.0,0.18163548
42491,0.0,2.0,0.18268818
3115,1.0,1.0,0.18675086
712,1.0,2.0,0.18687789
812111,1.0,1.0,0.19063704
3352,0.0,1.0,0.19099376
424M,1.0,2.0,0.19190103
482,0.0,1.0,0.19281538
31411,1.0,1.0,0.19310987
3313,0.0,1.0,0.1939675
33641M2,1.0,2.0,0.19511697
562,0.0,2.0,0.19667369
8139Z,0.0,2.0,0.19830579
62131,1.0,2.0,0.1993533
221MP,0.0,2.0,0.20307045
31411,0.0,1.0,0.20323417
3162,1.0,1.0,0.20692591
3113,0.0,1.0,0.2102816
3341,1.0,2.0,0.21416512
56173,0.0,2.0,0.21432178
2123,1.0,1.0,0.21960862
814,0.0,1.0,0.22085276
62132,0.0,2.0,0.22286566
517Z,0.0,1.0,0.2257147
4452,1.0,1.0,0.2264365
3327,0.0,2.0,0.22674046
3328,1.0,2.0,0.23088701
114,0.0,1.0,0.23216802
5419Z,1.0,2.0,0.23258181
325M,0.0,1.0,0.23448133
3314,1.0,2.0,0.23549253
4236,1.0,1.0,0.23848239
3MS,0.0,2.0,0.24638505
3211,1.0,1.0,0.24670446
4241,0.0,1.0,0.24705847
2212P,1.0,1.0,0.24780862
5132,1.0,2.0,0.24783823
4572,0.0,1.0,0.24814056
4591M,0.0,2.0,0.25188413
3399M,1.0,1.0,0.25595662
3391,1.0,2.0,0.2561516
812111,0.0,1.0,0.25683084
517111,1.0,2.0,0.25763723
336M,1.0,2.0,0.25866124
32411,0.0,1.0,0.2590563
337,0.0,1.0,0.26192945
3365,1.0,2.0,0.26364216
812112,0.0,1.0,0.26547268
4249Z,0.0,2.0,0.26598826
3116,0.0,2.0,0.26693016
45942,0.0,2.0,0.270392
9281P,0.0,1.0,0.27064273
4233,0.0,1.0,0.27112886
483,0.0,1.0,0.27169192
4244,1.0,2.0,0.2732085
62131,1.0,1.0,0.27356046
4237,0.0,2.0,0.27390882
3252,1.0,2.0,0.2764809
314Z,0.0,1.0,0.27649415
3336,0.0,1.0,0.27654448
92M1,1.0,1.0,0.27716857
3313,1.0,2.0,0.28003678
623M,0.0,2.0,0.28090864
112,1.0,2.0,0.28146747
2211P,0.0,2.0,0.28161523
337,1.0,2.0,0.28195897
4571,1.0,2.0,0.2821732
562,0.0,1.0,0.28517506
5221M,1.0,1.0,0.28577763
3121,0.0,2.0,0.28655198
3327,1.0,2.0,0.2885538
4551,1.0,2.0,0.29163903
2122,0.0,2.0,0.2940999
4413,1.0,1.0,0.294711
3132Z,0.0,2.0,0.29680526
522M,0.0,1.0,0.2977316
3114,1.0,1.0,0.29796
3328,1.0,1.0,0.29908678
4551,0.0,1.0,0.29952797
4442,1.0,1.0,0.30067363
4232,1.0,1.0,0.30558184
5411,0.0,1.0,0.30576822
8131,0.0,1.0,0.3074569
5414,0.0,1.0,0.30817372
517Z,1.0,2.0,0.30970877
5412,0.0,2.0,0.31032893
3391,1.0,1.0,0.31089592
517111,1.0,1.0,0.31121695
4572,1.0,2.0,0.3120088
3313,1.0,1.0,0.31228635
3366,0.0,1.0,0.31483865
315M,1.0,2.0,0.31561846
3252,1.0,1.0,0.31626195
4442,0.0,1.0,0.3166752
5221M,0.0,1.0,0.3168742
3231,1.0,2.0,0.31713426
4593,0.0,2.0,0.31756967
56173,1.0,2.0,0.3187115
3261,1.0,2.0,0.3188467
81393,1.0,1.0,0.31890124
7115,1.0,2.0,0.32048002
3118Z,0.0,2.0,0.32379556
314Z,0.0,2.0,0.32380387
7111,1.0,1.0,0.32429072
