legitimate_value,attr1_value,attr2_value,csp_rate
4.0,0.0,2.0,0.0031890112
7.0,1.0,2.0,0.24843983
2.0,0.0,1.0,0.2488316
6.0,0.0,2.0,0.2570178
7.0,1.0,1.0,0.2814892
12.0,0.0,1.0,0.29574656
24.0,0.0,2.0,0.32093817
14.0,1.0,2.0,0.32316434
10.0,0.0,2.0,0.32630864
6.0,1.0,2.0,0.33092397
23.0,0.0,1.0,0.34914088
11.0,1.0,2.0,0.35156015
9.0,0.0,1.0,0.36408773
15.0,1.0,2.0,0.36967164
10.0,0.0,1.0,0.37670133
4.0,0.0,1.0,0.37767962
9.0,1.0,1.0,0.39167735
24.0,1.0,1.0,0.39839563
11.0,0.0,2.0,0.40415254
13.0,0.0,2.0,0.40793762
11.0,0.0,1.0,0.4116066
18.0,1.0,1.0,0.4146043
20.0,0.0,2.0,0.4193451
9.0,0.0,2.0,0.42053488
12.0,0.0,2.0,0.4214909
15.0,0.0,1.0,0.4246853
22.0,0.0,1.0,0.42498803
6.0,1.0,1.0,0.4255355
22.0,1.0,1.0,0.42670536
17.0,0.0,1.0,0.42749313
7.0,0.0,1.0,0.42930213
1.0,1.0,2.0,0.4294153
18.0,0.0,1.0,0.43114197
16.0,0.0,1.0,0.43120065
22.0,0.0,2.0,0.4319224
22.0,1.0,2.0,0.43503156
2.0,0.0,2.0,0.44125783
20.0,0.0,1.0,0.44464555
17.0,0.0,2.0,0.44485366
16.0,1.0,1.0,0.4450086
21.0,1.0,2.0,0.44539613
10.0,1.0,2.0,0.4469933
14.0,0.0,1.0,0.4487498
9.0,1.0,2.0,0.4487501
15.0,1.0,1.0,0.4489249
21.0,1.0,1.0,0.45070252
21.0,0.0,2.0,0.4519654
24.0,1.0,2.0,0.45213926
21.0,0.0,1.0,0.45238596
16.0,0.0,2.0,0.45497727
1.0,1.0,1.0,0.45501643
19.0,1.0,2.0,0.45528215
18.0,0.0,2.0,0.45639703
23.0,1.0,1.0,0.45746243
19.0,0.0,1.0,0.45910573
19.0,0.0,2.0,0.46006912
17.0,1.0,2.0,0.4657212
20.0,1.0,1.0,0.4685686
20.0,1.0,2.0,0.4700877
16.0,1.0,2.0,0.47250372
15.0,0.0,2.0,0.47511652
19.0,1.0,1.0,0.47824898
23.0,0.0,2.0,0.47830492
11.0,1.0,1.0,0.4834208
18.0,1.0,2.0,0.48655587
1.0,0.0,1.0,0.48831806
13.0,1.0,2.0,0.49205443
17.0,1.0,1.0,0.49227285
8.0,1.0,1.0,0.49301288
13.0,0.0,1.0,0.49479103
23.0,1.0,2.0,0.49599898
24.0,0.0,1.0,0.49822602
12.0,1.0,1.0,0.5001308
12.0,1.0,2.0,0.51227117
13.0,1.0,1.0,0.51724386
8.0,0.0,1.0,0.5185707
5.0,1.0,2.0,0.5256921
10.0,1.0,1.0,0.5315249
1.0,0.0,2.0,0.5452564
14.0,1.0,1.0,0.5475592
3.0,1.0,1.0,0.54898703
14.0,0.0,2.0,0.5781669
6.0,0.0,1.0,0.5872795
8.0,1.0,2.0,0.6029043
5.0,1.0,1.0,0.7931984
