legitimate_value,attr1_value,attr2_value,csp_rate
33311,9.0,1.0,0.00014444196
44513,9.0,2.0,0.00019835416
424M,8.0,2.0,0.00037223296
522M,2.0,2.0,0.0005136749
4244,6.0,2.0,0.0007814268
213,6.0,1.0,0.0010054244
2123,1.0,2.0,0.0010697703
92811P3,9.0,2.0,0.0011995273
32411,9.0,1.0,0.0015612772
2211P,6.0,1.0,0.0017199086
325M,8.0,1.0,0.0017946947
3MS,6.0,1.0,0.0018840323
3121,9.0,2.0,0.0019425249
517111,6.0,1.0,0.0020167592
2122,1.0,1.0,0.0030271527
5241,8.0,1.0,0.00325342
92MP,9.0,2.0,0.003545531
3114,9.0,1.0,0.003603896
5414,9.0,2.0,0.0036918004
5616,6.0,2.0,0.004102338
3328,2.0,1.0,0.004919281
3352,2.0,2.0,0.0052327155
8121M,8.0,1.0,0.0052420367
6222,2.0,1.0,0.005332287
491,9.0,2.0,0.005562133
482,8.0,1.0,0.0055701626
4599,9.0,2.0,0.006968469
114,2.0,1.0,0.0073685558
311M2,1.0,2.0,0.008207814
2212P,8.0,1.0,0.008268962
3262M,8.0,2.0,0.008274673
611M3,6.0,1.0,0.009782517
311S,2.0,2.0,0.01045937
81393,2.0,1.0,0.011739167
4571,2.0,2.0,0.0129783
2211P,2.0,2.0,0.013214412
7112,9.0,1.0,0.013390952
4551,8.0,1.0,0.013686631
3391,8.0,2.0,0.014166905
3121,2.0,2.0,0.01631331
4551,2.0,1.0,0.016387476
311M1,9.0,1.0,0.016729612
4231,2.0,2.0,0.017077446
5617Z,6.0,1.0,0.0181712
721M,6.0,2.0,0.01817967
4244,2.0,2.0,0.020131443
111,6.0,1.0,0.020468915
8129,2.0,2.0,0.020661585
112,8.0,2.0,0.020853937
92M1,9.0,1.0,0.020939056
3345,6.0,2.0,0.021346295
4561Z,2.0,2.0,0.021569995
62131,6.0,2.0,0.022116674
711M,6.0,2.0,0.02226942
4238,6.0,1.0,0.023490133
92113,9.0,1.0,0.023620091
4591M,9.0,2.0,0.027877137
3341,9.0,1.0,0.028293714
5615,9.0,2.0,0.029627152
335M,6.0,2.0,0.030297566
3256,9.0,2.0,0.030501088
7115,8.0,2.0,0.030704496
44513,6.0,1.0,0.031255297
4233,6.0,1.0,0.031726327
3369,1.0,1.0,0.03390914
6212,9.0,1.0,0.03533466
31411,1.0,2.0,0.03753372
8123,9.0,2.0,0.042118054
712,8.0,1.0,0.042348176
4853,6.0,2.0,0.04263813
23,2.0,2.0,0.043395005
5419Z,9.0,1.0,0.044910997
3279,6.0,1.0,0.047499277
3113,2.0,1.0,0.04835522
5418,2.0,2.0,0.051172003
3254,6.0,1.0,0.0514428
51311,1.0,1.0,0.05232338
3253,9.0,2.0,0.054000467
3256,1.0,2.0,0.056082133
5412,6.0,2.0,0.056631427
3345,6.0,1.0,0.058604363
2211P,6.0,2.0,0.059108168
331M,9.0,1.0,0.059167925
3118Z,2.0,2.0,0.06051155
5416,8.0,1.0,0.06668924
3MS,2.0,2.0,0.06696084
3254,8.0,2.0,0.06851222
3256,6.0,1.0,0.06983296
3399ZM,2.0,1.0,0.07021499
4595,6.0,1.0,0.071605116
3315,2.0,1.0,0.07228976
621M,8.0,1.0,0.073165
812112,6.0,1.0,0.07341378
3336,1.0,2.0,0.07417209
6242,2.0,2.0,0.078043446
3279,1.0,2.0,0.078493
4232,8.0,1.0,0.07992753
31411,2.0,2.0,0.08244036
92811P2,2.0,1.0,0.08646536
517Z,9.0,1.0,0.08647883
3335,2.0,2.0,0.08798864
4491,6.0,1.0,0.09062724
32221,2.0,1.0,0.091090545
482,2.0,1.0,0.09254802
5417,9.0,2.0,0.09375092
517111,2.0,1.0,0.09441435
3132Z,6.0,2.0,0.097065225
2211P,9.0,1.0,0.0972732
52M2,8.0,1.0,0.097751416
3336,2.0,1.0,0.10010041
8111Z,6.0,1.0,0.10144241
4595,2.0,2.0,0.10450566
6211,2.0,1.0,0.104600824
6216,6.0,1.0,0.10598312
52M3,9.0,1.0,0.10796534
2123,2.0,1.0,0.108854726
92119,9.0,1.0,0.11061849
711M,2.0,2.0,0.11105838
712,6.0,1.0,0.11227963
9281P,9.0,1.0,0.11540873
6222,8.0,1.0,0.11560324
8129,8.0,1.0,0.12591954
