legitimate_value,attr1_value,attr2_value,csp_rate
23.0,8.0,1.0,0.002577943
4.0,9.0,2.0,0.0031890112
13.0,2.0,2.0,0.013334968
2.0,1.0,1.0,0.021521145
2.0,8.0,2.0,0.08395744
11.0,2.0,2.0,0.10814468
9.0,1.0,1.0,0.122388095
22.0,8.0,2.0,0.17238283
14.0,6.0,1.0,0.17690593
24.0,8.0,1.0,0.2063933
9.0,6.0,2.0,0.2084743
1.0,2.0,1.0,0.21499701
12.0,8.0,2.0,0.23170891
7.0,8.0,2.0,0.24843983
9.0,8.0,2.0,0.26033092
24.0,2.0,2.0,0.26181495
6.0,1.0,2.0,0.27657482
15.0,2.0,2.0,0.2775384
6.0,8.0,2.0,0.28641686
24.0,9.0,1.0,0.2944133
7.0,8.0,1.0,0.29705405
15.0,9.0,1.0,0.31260195
15.0,2.0,1.0,0.3199258
7.0,1.0,1.0,0.32038358
11.0,2.0,1.0,0.32296678
10.0,1.0,2.0,0.32630864
6.0,9.0,2.0,0.32647505
1.0,8.0,1.0,0.33263218
11.0,8.0,2.0,0.33343568
23.0,2.0,1.0,0.3434125
14.0,9.0,2.0,0.35661364
17.0,2.0,2.0,0.36175844
8.0,8.0,2.0,0.36369425
1.0,2.0,2.0,0.36430946
12.0,1.0,1.0,0.36637402
9.0,6.0,1.0,0.3675504
24.0,1.0,2.0,0.37703517
4.0,1.0,1.0,0.37767962
10.0,2.0,2.0,0.38050878
11.0,1.0,2.0,0.38192284
13.0,9.0,1.0,0.38208205
14.0,8.0,1.0,0.38303405
6.0,1.0,1.0,0.38537282
18.0,6.0,1.0,0.3901923
12.0,2.0,1.0,0.39038977
21.0,9.0,1.0,0.39795485
22.0,9.0,1.0,0.39876047
22.0,8.0,1.0,0.40198255
20.0,8.0,1.0,0.40506187
15.0,6.0,1.0,0.40725207
16.0,6.0,2.0,0.40745878
24.0,6.0,1.0,0.40833297
15.0,1.0,2.0,0.40899888
18.0,1.0,1.0,0.41014954
8.0,6.0,1.0,0.41208318
22.0,2.0,1.0,0.41213068
16.0,9.0,2.0,0.41329673
15.0,9.0,2.0,0.41572928
16.0,9.0,1.0,0.41624606
23.0,6.0,2.0,0.4170775
17.0,8.0,2.0,0.41789553
3.0,1.0,1.0,0.41988304
17.0,2.0,1.0,0.42212492
19.0,2.0,2.0,0.42374358
9.0,8.0,1.0,0.42471144
2.0,1.0,2.0,0.42570305
22.0,1.0,1.0,0.4258482
22.0,1.0,2.0,0.42639878
18.0,9.0,2.0,0.42682448
20.0,2.0,2.0,0.42718542
9.0,9.0,1.0,0.4278087
24.0,1.0,1.0,0.4283904
19.0,2.0,1.0,0.42998326
16.0,2.0,2.0,0.43030176
8.0,2.0,1.0,0.43116263
1.0,6.0,1.0,0.43278706
23.0,1.0,1.0,0.4331341
16.0,6.0,1.0,0.43650103
16.0,1.0,1.0,0.4378297
21.0,1.0,2.0,0.4388206
13.0,1.0,2.0,0.43917468
20.0,1.0,2.0,0.43957868
20.0,6.0,1.0,0.44070867
