legitimate_value,attr1_value,attr2_value,csp_rate
712,45_60,2.0,0.0
3162,18_25,1.0,0.0
3211,45_60,1.0,0.0
311M1,60_plus,2.0,0.0
45921,60_plus,1.0,0.0
4593,18_25,1.0,0.0
32221,60_plus,1.0,0.0
5122,25_45,1.0,0.0
4245,25_45,2.0,0.0
44414,45_60,1.0,0.0
42S,25_45,1.0,0.0
3336,60_plus,1.0,0.3333333333333333
611M3,45_60,1.0,0.5
8139Z,45_60,1.0,0.5
8123,18_25,1.0,0.5
8139Z,18_25,1.0,0.5
3272,60_plus,2.0,0.5
211,25_45,2.0,0.5
4595,45_60,2.0,0.5
32221,45_60,1.0,0.5
333MS,25_45,2.0,0.5
3261,60_plus,2.0,0.5
4571,18_25,1.0,0.5
4491,45_60,1.0,0.5
7112,60_plus,2.0,0.5
7111,60_plus,1.0,0.5
5241,18_25,1.0,0.6666666666666666
221MP,25_45,1.0,0.6666666666666666
4595,25_45,1.0,0.6666666666666666
484,25_45,2.0,0.6666666666666666
333MS,60_plus,2.0,0.6666666666666666
4233,45_60,1.0,0.6666666666666666
92119,60_plus,1.0,0.75
5614,45_60,1.0,0.75
92M1,25_45,1.0,0.75
4233,25_45,2.0,0.75
4441Z,18_25,1.0,0.75
517111,45_60,2.0,0.75
4492,45_60,2.0,0.75
493,25_45,2.0,0.75
4582,18_25,2.0,0.75
4591M,25_45,1.0,0.75
332MZ,45_60,1.0,0.75
33311,45_60,1.0,0.75
8113,25_45,1.0,0.75
721M,18_25,1.0,0.75
814,45_60,1.0,0.75
213,60_plus,1.0,0.75
3254,45_60,2.0,0.8
4MS,45_60,1.0,0.8
5419Z,25_45,1.0,0.8
56173,18_25,1.0,0.8
3116,60_plus,1.0,0.8
52M2,60_plus,2.0,0.8
44513,60_plus,2.0,0.8
92811P3,25_45,1.0,0.8
5121,25_45,2.0,0.8
3261,45_60,1.0,0.8
331M,25_45,1.0,0.8181818181818182
4234,25_45,1.0,0.8333333333333334
492,60_plus,1.0,0.8333333333333334
3399ZM,25_45,1.0,0.8333333333333334
7115,25_45,1.0,0.8333333333333334
8111Z,25_45,2.0,0.8333333333333334
4237,60_plus,1.0,0.8333333333333334
493,18_25,1.0,0.8333333333333334
4492,25_45,2.0,0.8333333333333334
45611,60_plus,2.0,0.8333333333333334
4581,60_plus,2.0,0.8333333333333334
485M,45_60,2.0,0.8333333333333334
531M,45_60,2.0,0.85
333MS,60_plus,1.0,0.8571428571428571
5615,25_45,2.0,0.8571428571428571
622M,60_plus,1.0,0.8571428571428571
6211,25_45,1.0,0.8571428571428571
5416,45_60,2.0,0.8571428571428571
516,25_45,2.0,0.8571428571428571
5221M,25_45,2.0,0.8571428571428571
4581,18_25,1.0,0.8571428571428571
4238,45_60,1.0,0.8571428571428571
424M,45_60,1.0,0.8571428571428571
7211,45_60,1.0,0.8571428571428571
813M,45_60,2.0,0.8571428571428571
5412,45_60,2.0,0.8695652173913043
4244,45_60,1.0,0.875
44511,60_plus,1.0,0.875
6212,18_25,2.0,0.875
332M,25_45,1.0,0.875
333MS,25_45,1.0,0.8888888888888888
44511,45_60,2.0,0.8888888888888888
336M,45_60,2.0,0.8888888888888888
6211,18_25,2.0,0.8888888888888888
517111,25_45,1.0,0.8888888888888888
561M,25_45,2.0,0.8888888888888888
92M2,45_60,1.0,0.8888888888888888
492,25_45,2.0,0.8888888888888888
52M3,45_60,1.0,0.8888888888888888
8129,25_45,2.0,0.9
812112,45_60,2.0,0.9
8129,18_25,2.0,0.9
4581,45_60,2.0,0.9
3399ZM,45_60,1.0,0.9
8131,25_45,2.0,0.9
8111Z,45_60,1.0,0.9
5411,25_45,1.0,0.9
6216,25_45,1.0,0.9090909090909091
4551,25_45,2.0,0.9090909090909091
