legitimate_value,attr1_value,attr2_value,csp_rate
7.0,45_60,1.0,0.8
22.0,18_25,1.0,0.8
12.0,45_60,1.0,0.8421052631578947
11.0,25_45,1.0,0.8571428571428571
9.0,45_60,1.0,0.8571428571428571
24.0,60_plus,2.0,0.9
17.0,45_60,2.0,0.9107142857142857
14.0,45_60,2.0,0.9166666666666666
13.0,60_plus,1.0,0.9333333333333333
1.0,25_45,1.0,0.9354838709677419
15.0,60_plus,1.0,0.9444444444444444
24.0,60_plus,1.0,0.9459459459459459
24.0,25_45,1.0,0.9487179487179487
18.0,25_45,1.0,0.9516129032258065
23.0,25_45,1.0,0.9523809523809523
15.0,45_60,2.0,0.9523809523809523
20.0,25_45,1.0,0.9526315789473684
20.0,60_plus,1.0,0.9534883720930233
1.0,45_60,1.0,0.9545454545454546
18.0,18_25,1.0,0.958904109589041
20.0,45_60,1.0,0.9603174603174603
17.0,60_plus,2.0,0.9629629629629629
19.0,60_plus,2.0,0.9632352941176471
22.0,25_45,2.0,0.9638157894736842
14.0,25_45,1.0,0.9642857142857143
1.0,45_60,2.0,0.9642857142857143
21.0,25_45,2.0,0.9666110183639399
16.0,45_60,2.0,0.967391304347826
19.0,18_25,1.0,0.9681528662420382
17.0,45_60,1.0,0.9714285714285714
14.0,18_25,1.0,0.9722222222222222
19.0,45_60,2.0,0.9726775956284153
21.0,45_60,1.0,0.9728915662650602
19.0,25_45,2.0,0.9730769230769231
16.0,25_45,2.0,0.9731800766283525
16.0,60_plus,1.0,0.9739884393063584
21.0,60_plus,2.0,0.9743589743589743
20.0,25_45,2.0,0.9744897959183674
20.0,18_25,1.0,0.9761904761904762
21.0,25_45,1.0,0.9763513513513513
17.0,25_45,1.0,0.9764705882352941
19.0,45_60,1.0,0.9772727272727273
16.0,25_45,1.0,0.9777227722772277
23.0,45_60,2.0,0.9787234042553191
22.0,60_plus,2.0,0.9787234042553191
21.0,60_plus,1.0,0.9792387543252595
19.0,25_45,1.0,0.9797979797979798
15.0,25_45,1.0,0.9803921568627451
17.0,60_plus,1.0,0.9803921568627451
18.0,45_60,2.0,0.9803921568627451
16.0,45_60,1.0,0.9804469273743017
16.0,18_25,1.0,0.9812734082397003
20.0,18_25,2.0,0.9814814814814815
19.0,60_plus,1.0,0.9818181818181818
21.0,45_60,2.0,0.9825436408977556
16.0,18_25,2.0,0.9827586206896551
20.0,45_60,2.0,0.9832402234636871
22.0,45_60,2.0,0.9841269841269841
23.0,60_plus,1.0,0.984375
16.0,60_plus,2.0,0.9845201238390093
19.0,18_25,2.0,0.985
18.0,18_25,2.0,0.9871794871794872
21.0,18_25,2.0,0.9876543209876543
22.0,45_60,1.0,0.9885057471264368
22.0,25_45,1.0,0.9899497487437185
18.0,60_plus,2.0,0.9907407407407407
20.0,60_plus,2.0,0.9916666666666667
22.0,60_plus,1.0,0.9921259842519685
13.0,45_60,1.0,1.0
13.0,18_25,2.0,1.0
13.0,45_60,2.0,1.0
13.0,60_plus,2.0,1.0
14.0,25_45,2.0,1.0
14.0,18_25,2.0,1.0
12.0,45_60,2.0,1.0
13.0,18_25,1.0,1.0
11.0,60_plus,2.0,1.0
12.0,18_25,1.0,1.0
12.0,25_45,1.0,1.0
12.0,25_45,2.0,1.0
11.0,18_25,2.0,1.0
11.0,18_25,1.0,1.0
10.0,60_plus,2.0,1.0
10.0,60_plus,1.0,1.0
11.0,60_plus,1.0,1.0
11.0,45_60,2.0,1.0
13.0,25_45,1.0,1.0
13.0,25_45,2.0,1.0
12.0,60_plus,2.0,1.0
12.0,60_plus,1.0,1.0
10.0,25_45,1.0,1.0
8.0,60_plus,2.0,1.0
9.0,25_45,2.0,1.0
9.0,45_60,2.0,1.0
9.0,60_plus,1.0,1.0
9.0,60_plus,2.0,1.0
1.0,60_plus,2.0,1.0
1.0,60_plus,1.0,1.0
6.0,45_60,1.0,1.0
5.0,60_plus,1.0,1.0
5.0,45_60,1.0,1.0
9.0,25_45,1.0,1.0
8.0,60_plus,1.0,1.0
8.0,45_60,2.0,1.0
7.0,45_60,2.0,1.0
8.0,45_60,1.0,1.0
8.0,25_45,1.0,1.0
7.0,60_plus,1.0,1.0
7.0,18_25,2.0,1.0
7.0,25_45,1.0,1.0
6.0,60_plus,1.0,1.0
6.0,60_plus,2.0,1.0
18.0,25_45,2.0,1.0
17.0,18_25,1.0,1.0
17.0,18_25,2.0,1.0
17.0,25_45,2.0,1.0
14.0,45_60,1.0,1.0
14.0,60_plus,1.0,1.0
11.0,45_60,1.0,1.0
11.0,25_45,2.0,1.0
10.0,45_60,1.0,1.0
10.0,45_60,2.0,1.0
4.0,45_60,1.0,1.0
4.0,25_45,1.0,1.0
2.0,60_plus,2.0,1.0
1.0,18_25,2.0,1.0
1.0,25_45,2.0,1.0
1.0,18_25,1.0,1.0
22.0,18_25,2.0,1.0
21.0,18_25,1.0,1.0
18.0,45_60,1.0,1.0
18.0,60_plus,1.0,1.0
14.0,60_plus,2.0,1.0
15.0,18_25,1.0,1.0
15.0,18_25,2.0,1.0
15.0,25_45,2.0,1.0
15.0,45_60,1.0,1.0
15.0,60_plus,2.0,1.0
23.0,18_25,2.0,1.0
23.0,45_60,1.0,1.0
23.0,60_plus,2.0,1.0
24.0,25_45,2.0,1.0
24.0,45_60,1.0,1.0
23.0,25_45,2.0,1.0
24.0,45_60,2.0,1.0
