legitimate_value,attr1_value,attr2_value,csp_rate
8113,2.0,8.0,0.0
622M,1.0,6.0,0.0
45921,2.0,6.0,0.0
3162,2.0,1.0,0.0
32221,2.0,9.0,0.0
4581,1.0,8.0,0.0
42S,2.0,8.0,0.0
4582,2.0,2.0,0.0
3336,2.0,9.0,0.0
4245,2.0,8.0,0.0
331M,2.0,8.0,0.0
5615,2.0,6.0,0.5
622M,1.0,9.0,0.5
5122,2.0,1.0,0.5
8123,2.0,9.0,0.5
2211P,2.0,9.0,0.5
4492,1.0,1.0,0.5
4237,1.0,1.0,0.5
213,2.0,9.0,0.5
32221,2.0,1.0,0.5
333MS,2.0,2.0,0.6
4593,1.0,1.0,0.6666666666666666
3399ZM,1.0,1.0,0.6666666666666666
492,2.0,6.0,0.6666666666666666
5419Z,2.0,2.0,0.6666666666666666
621M,2.0,8.0,0.6666666666666666
493,2.0,6.0,0.6666666666666666
4MS,2.0,6.0,0.6666666666666666
622M,1.0,8.0,0.6666666666666666
7112,2.0,1.0,0.6666666666666666
7111,2.0,9.0,0.6666666666666666
3116,1.0,1.0,0.6666666666666666
812112,1.0,1.0,0.75
8111Z,2.0,2.0,0.75
561M,1.0,1.0,0.75
3399ZM,2.0,2.0,0.75
4492,2.0,2.0,0.75
44513,1.0,1.0,0.75
7115,1.0,1.0,0.75
52M3,2.0,8.0,0.75
6211,1.0,1.0,0.75
92MP,2.0,6.0,0.75
4233,2.0,1.0,0.7777777777777778
4411,2.0,9.0,0.8
56173,2.0,2.0,0.8
6241,1.0,2.0,0.8
531M,2.0,6.0,0.8333333333333334
3336,2.0,1.0,0.8333333333333334
92811P3,2.0,1.0,0.8333333333333334
531M,2.0,2.0,0.8333333333333334
221MP,2.0,1.0,0.8333333333333334
5242,2.0,6.0,0.8333333333333334
52M3,2.0,2.0,0.8333333333333334
5412,2.0,6.0,0.8333333333333334
4599,1.0,1.0,0.8333333333333334
611M3,2.0,6.0,0.8333333333333334
4595,2.0,1.0,0.8461538461538461
8139Z,2.0,1.0,0.8571428571428571
