legitimate_value,attr1_value,attr2_value,csp_rate
17.0,1.0,8.0,0.75
7.0,2.0,8.0,0.8
20.0,1.0,6.0,0.8
17.0,2.0,6.0,0.8181818181818182
19.0,1.0,8.0,0.8333333333333334
11.0,2.0,8.0,0.8333333333333334
22.0,1.0,6.0,0.8333333333333334
15.0,2.0,9.0,0.8695652173913043
24.0,1.0,1.0,0.875
9.0,2.0,9.0,0.8888888888888888
12.0,2.0,8.0,0.9090909090909091
1.0,2.0,2.0,0.9090909090909091
18.0,2.0,8.0,0.9090909090909091
24.0,2.0,2.0,0.9090909090909091
20.0,2.0,6.0,0.9210526315789473
1.0,2.0,1.0,0.9318181818181818
13.0,2.0,9.0,0.9411764705882353
19.0,1.0,9.0,0.9411764705882353
12.0,2.0,1.0,0.9428571428571428
14.0,2.0,8.0,0.9444444444444444
17.0,1.0,1.0,0.9444444444444444
14.0,1.0,1.0,0.9444444444444444
11.0,2.0,1.0,0.9523809523809523
19.0,2.0,8.0,0.9538461538461539
16.0,2.0,2.0,0.954337899543379
21.0,2.0,9.0,0.9560439560439561
1.0,2.0,9.0,0.96
20.0,2.0,2.0,0.9605263157894737
24.0,2.0,1.0,0.9612403100775194
17.0,2.0,2.0,0.9615384615384616
22.0,2.0,2.0,0.9620253164556962
18.0,1.0,1.0,0.9620253164556962
19.0,2.0,2.0,0.9631901840490797
21.0,2.0,8.0,0.9642857142857143
17.0,2.0,9.0,0.9655172413793104
19.0,1.0,1.0,0.9655172413793104
22.0,2.0,6.0,0.968
20.0,2.0,1.0,0.9708879184861717
16.0,2.0,9.0,0.9731182795698925
19.0,2.0,9.0,0.9739130434782609
19.0,2.0,6.0,0.9746835443037974
16.0,2.0,6.0,0.975
21.0,2.0,1.0,0.9760087241003271
20.0,2.0,9.0,0.9764705882352941
22.0,1.0,1.0,0.9767441860465116
16.0,1.0,2.0,0.9767441860465116
20.0,1.0,1.0,0.9775280898876404
16.0,2.0,1.0,0.97911051212938
23.0,2.0,1.0,0.9792746113989638
21.0,2.0,2.0,0.9797297297297297
16.0,1.0,1.0,0.9804878048780488
19.0,2.0,1.0,0.9817307692307692
17.0,2.0,1.0,0.9818181818181818
22.0,2.0,1.0,0.9823232323232324
21.0,2.0,6.0,0.9823788546255506
21.0,1.0,1.0,0.9831932773109243
18.0,2.0,9.0,0.9852941176470589
14.0,2.0,1.0,0.987012987012987
18.0,2.0,1.0,0.9877800407331976
15.0,2.0,1.0,0.9880952380952381
16.0,2.0,8.0,0.9933774834437086
1.0,1.0,8.0,1.0
2.0,2.0,1.0,1.0
1.0,2.0,6.0,1.0
13.0,2.0,1.0,1.0
13.0,1.0,9.0,1.0
13.0,1.0,8.0,1.0
13.0,1.0,2.0,1.0
13.0,1.0,1.0,1.0
12.0,2.0,9.0,1.0
12.0,2.0,6.0,1.0
12.0,2.0,2.0,1.0
11.0,2.0,9.0,1.0
12.0,1.0,9.0,1.0
12.0,1.0,8.0,1.0
12.0,1.0,2.0,1.0
12.0,1.0,1.0,1.0
11.0,1.0,9.0,1.0
11.0,2.0,2.0,1.0
11.0,2.0,6.0,1.0
9.0,2.0,2.0,1.0
10.0,2.0,1.0,1.0
10.0,1.0,1.0,1.0
11.0,1.0,8.0,1.0
10.0,2.0,9.0,1.0
11.0,1.0,1.0,1.0
10.0,2.0,8.0,1.0
10.0,2.0,2.0,1.0
9.0,2.0,1.0,1.0
9.0,2.0,6.0,1.0
9.0,2.0,8.0,1.0
8.0,2.0,8.0,1.0
8.0,2.0,9.0,1.0
9.0,1.0,1.0,1.0
9.0,1.0,8.0,1.0
9.0,1.0,9.0,1.0
1.0,1.0,2.0,1.0
16.0,1.0,6.0,1.0
16.0,1.0,9.0,1.0
15.0,1.0,8.0,1.0
16.0,1.0,8.0,1.0
15.0,1.0,9.0,1.0
15.0,2.0,8.0,1.0
15.0,2.0,6.0,1.0
14.0,1.0,9.0,1.0
14.0,1.0,8.0,1.0
14.0,2.0,2.0,1.0
14.0,2.0,6.0,1.0
14.0,2.0,9.0,1.0
1.0,1.0,6.0,1.0
1.0,1.0,9.0,1.0
1.0,2.0,8.0,1.0
6.0,1.0,1.0,1.0
6.0,1.0,8.0,1.0
6.0,2.0,8.0,1.0
6.0,2.0,1.0,1.0
7.0,1.0,8.0,1.0
7.0,2.0,9.0,1.0
8.0,1.0,6.0,1.0
8.0,1.0,9.0,1.0
8.0,2.0,1.0,1.0
8.0,2.0,2.0,1.0
8.0,2.0,6.0,1.0
4.0,2.0,1.0,1.0
4.0,2.0,8.0,1.0
4.0,2.0,9.0,1.0
5.0,2.0,9.0,1.0
1.0,1.0,1.0,1.0
20.0,1.0,2.0,1.0
18.0,2.0,6.0,1.0
19.0,1.0,6.0,1.0
19.0,1.0,2.0,1.0
18.0,1.0,2.0,1.0
18.0,1.0,8.0,1.0
18.0,1.0,9.0,1.0
18.0,2.0,2.0,1.0
