legitimate_value,attr1_value,attr2_value,csp_rate
561M,1.0,2.0,0.0
4492,1.0,2.0,0.0
4245,2.0,2.0,0.0
32221,2.0,1.0,0.3333333333333333
5122,2.0,1.0,0.5
7112,2.0,2.0,0.5
4593,1.0,1.0,0.5
44513,1.0,2.0,0.5
4237,1.0,1.0,0.5
3162,2.0,1.0,0.6666666666666666
3116,1.0,1.0,0.6666666666666666
3272,2.0,2.0,0.6666666666666666
211,2.0,2.0,0.6666666666666666
3336,2.0,1.0,0.6666666666666666
3399ZM,1.0,1.0,0.6666666666666666
622M,1.0,1.0,0.75
45921,2.0,1.0,0.75
4599,1.0,2.0,0.75
4233,2.0,1.0,0.75
333MS,2.0,2.0,0.75
7115,1.0,1.0,0.75
6211,1.0,2.0,0.75
8139Z,2.0,1.0,0.75
221MP,2.0,1.0,0.75
4441Z,1.0,1.0,0.8
7111,2.0,1.0,0.8
4581,1.0,2.0,0.8
4233,2.0,2.0,0.8333333333333334
812112,1.0,2.0,0.8333333333333334
4582,2.0,2.0,0.8333333333333334
721M,2.0,1.0,0.8333333333333334
517111,2.0,2.0,0.8571428571428571
92119,2.0,1.0,0.8571428571428571
3261,2.0,2.0,0.8571428571428571
5419Z,2.0,1.0,0.8571428571428571
4595,2.0,2.0,0.8571428571428571
814,2.0,1.0,0.8571428571428571
311M1,2.0,2.0,0.8571428571428571
92811P3,2.0,1.0,0.875
42S,2.0,1.0,0.875
4595,2.0,1.0,0.875
33311,2.0,1.0,0.875
622M,1.0,2.0,0.8846153846153846
4581,2.0,1.0,0.8888888888888888
8123,2.0,1.0,0.8888888888888888
4492,2.0,2.0,0.9
8111Z,2.0,2.0,0.9
3211,2.0,1.0,0.9
92M1,2.0,1.0,0.9
485M,2.0,2.0,0.9
531M,2.0,2.0,0.9076923076923077
424M,2.0,1.0,0.9090909090909091
493,2.0,2.0,0.9090909090909091
5121,2.0,2.0,0.9090909090909091
712,2.0,2.0,0.9090909090909091
331M,2.0,1.0,0.9130434782608695
8129,2.0,2.0,0.9130434782608695
611M1,1.0,2.0,0.9166666666666666
333MS,2.0,1.0,0.918918918918919
6211,2.0,1.0,0.92
44414,2.0,1.0,0.9230769230769231
4234,2.0,1.0,0.9230769230769231
493,2.0,1.0,0.9259259259259259
4491,2.0,1.0,0.9285714285714286
52M2,2.0,2.0,0.9310344827586207
5615,2.0,2.0,0.9333333333333333
4591M,2.0,1.0,0.9333333333333333
5221M,2.0,2.0,0.9333333333333333
5614,2.0,1.0,0.9333333333333333
6241,1.0,2.0,0.9333333333333333
56173,2.0,1.0,0.9354838709677419
213,2.0,1.0,0.9375
3261,2.0,1.0,0.9375
492,2.0,2.0,0.9375
4571,2.0,1.0,0.9375
516,2.0,2.0,0.9375
3254,2.0,2.0,0.9411764705882353
4MS,2.0,1.0,0.9411764705882353
