legitimate_value,attr1_value,attr2_value,csp_rate
24.0,1.0,2.0,0.6666666666666666
7.0,2.0,1.0,0.8
17.0,1.0,2.0,0.9130434782608695
11.0,2.0,1.0,0.9230769230769231
12.0,2.0,1.0,0.9318181818181818
14.0,1.0,1.0,0.9375
18.0,1.0,2.0,0.9375
20.0,1.0,1.0,0.9387755102040817
22.0,1.0,2.0,0.9459459459459459
19.0,1.0,2.0,0.9473684210526315
1.0,2.0,1.0,0.9523809523809523
9.0,2.0,1.0,0.9583333333333334
20.0,2.0,1.0,0.958904109589041
24.0,2.0,1.0,0.9607843137254902
17.0,2.0,2.0,0.9658119658119658
17.0,1.0,1.0,0.9722222222222222
15.0,2.0,1.0,0.9727272727272728
21.0,2.0,2.0,0.9733441033925686
18.0,2.0,1.0,0.9742120343839542
19.0,1.0,1.0,0.975
22.0,2.0,2.0,0.9752475247524752
16.0,2.0,2.0,0.9760087241003271
23.0,2.0,1.0,0.9763779527559056
21.0,2.0,1.0,0.9768403639371381
19.0,2.0,2.0,0.9772403982930299
24.0,2.0,2.0,0.9772727272727273
16.0,2.0,1.0,0.9775561097256857
19.0,2.0,1.0,0.9776021080368906
17.0,2.0,1.0,0.9781420765027322
20.0,2.0,2.0,0.979253112033195
1.0,2.0,2.0,0.98
14.0,2.0,2.0,0.9807692307692307
16.0,1.0,1.0,0.9825581395348837
16.0,1.0,2.0,0.9829059829059829
15.0,2.0,2.0,0.9836065573770492
21.0,1.0,1.0,0.9859154929577465
13.0,2.0,1.0,0.9861111111111112
21.0,1.0,2.0,0.987012987012987
22.0,2.0,1.0,0.9874476987447699
14.0,2.0,1.0,0.9875
23.0,2.0,2.0,0.9923076923076923
18.0,2.0,2.0,0.9970149253731343
12.0,1.0,1.0,1.0
11.0,2.0,2.0,1.0
12.0,2.0,2.0,1.0
12.0,1.0,2.0,1.0
8.0,1.0,1.0,1.0
8.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0
5.0,2.0,1.0,1.0
4.0,2.0,1.0,1.0
7.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0
11.0,1.0,2.0,1.0
10.0,2.0,1.0,1.0
10.0,2.0,2.0,1.0
9.0,1.0,2.0,1.0
9.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0
9.0,2.0,2.0,1.0
8.0,2.0,2.0,1.0
7.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0
1.0,1.0,2.0,1.0
20.0,1.0,2.0,1.0
18.0,1.0,1.0,1.0
13.0,1.0,2.0,1.0
13.0,2.0,2.0,1.0
14.0,1.0,2.0,1.0
13.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0
15.0,1.0,2.0,1.0
6.0,1.0,1.0,1.0
6.0,1.0,2.0,1.0
6.0,2.0,2.0,1.0
6.0,2.0,1.0,1.0
22.0,1.0,1.0,1.0
23.0,1.0,2.0,1.0
23.0,1.0,1.0,1.0
24.0,1.0,1.0,1.0
