legitimate_value,attr1_value,attr2_value,csp_rate
7112,1.0,2.0,0.0
32221,1.0,1.0,0.0
5122,0.0,1.0,0.0
45921,1.0,1.0,0.0
4245,1.0,2.0,0.0
4233,0.0,2.0,0.5
5419Z,0.0,1.0,0.5
7111,0.0,1.0,0.5
4492,1.0,2.0,0.6
3336,1.0,1.0,0.6
424M,0.0,1.0,0.6666666666666666
3272,1.0,2.0,0.6666666666666666
4233,1.0,1.0,0.6666666666666666
3162,0.0,1.0,0.6666666666666666
221MP,1.0,1.0,0.6666666666666666
8139Z,0.0,1.0,0.6666666666666666
211,1.0,2.0,0.6666666666666666
333MS,0.0,2.0,0.7142857142857143
721M,0.0,1.0,0.75
311M1,1.0,2.0,0.75
92119,1.0,1.0,0.75
42S,0.0,1.0,0.8
4593,0.0,1.0,0.8
4237,0.0,1.0,0.8
3261,1.0,2.0,0.8
712,1.0,2.0,0.8
516,0.0,2.0,0.8
4595,1.0,2.0,0.8
7115,0.0,1.0,0.8
8139Z,1.0,1.0,0.8
814,0.0,1.0,0.8333333333333334
3211,1.0,1.0,0.8333333333333334
92M1,1.0,1.0,0.8333333333333334
4582,0.0,2.0,0.8333333333333334
92811P3,0.0,1.0,0.8333333333333334
4595,0.0,1.0,0.8333333333333334
3261,0.0,1.0,0.8571428571428571
52M2,0.0,2.0,0.8571428571428571
517111,1.0,2.0,0.8571428571428571
8111Z,0.0,2.0,0.8571428571428571
4591M,1.0,1.0,0.8571428571428571
8129,0.0,2.0,0.8666666666666667
5615,0.0,2.0,0.875
5614,0.0,1.0,0.875
4599,1.0,2.0,0.875
8123,0.0,1.0,0.875
44414,1.0,1.0,0.875
561M,1.0,2.0,0.875
5121,1.0,2.0,0.875
485M,0.0,2.0,0.875
493,0.0,1.0,0.8823529411764706
3254,1.0,2.0,0.8888888888888888
44513,0.0,2.0,0.8888888888888888
33311,1.0,1.0,0.8888888888888888
611M3,1.0,1.0,0.8888888888888888
4581,0.0,1.0,0.8888888888888888
4491,1.0,1.0,0.8888888888888888
531M,1.0,2.0,0.8979591836734694
4492,1.0,1.0,0.9
4234,1.0,1.0,0.9
331M,0.0,1.0,0.9
6211,0.0,1.0,0.9
332M,0.0,1.0,0.9
333MS,1.0,1.0,0.9047619047619048
45611,0.0,2.0,0.9047619047619048
4571,0.0,1.0,0.9090909090909091
3399ZM,0.0,1.0,0.9090909090909091
3399ZM,1.0,1.0,0.9090909090909091
813M,0.0,2.0,0.9090909090909091
213,1.0,1.0,0.9090909090909091
622M,1.0,1.0,0.9113924050632911
336M,0.0,2.0,0.9166666666666666
3116,1.0,1.0,0.9166666666666666
622M,0.0,2.0,0.917910447761194
52M3,1.0,1.0,0.9230769230769231
5221M,1.0,2.0,0.9230769230769231
331M,1.0,1.0,0.9230769230769231
56173,0.0,1.0,0.926829268292683
492,0.0,2.0,0.9285714285714286
5242,0.0,2.0,0.9285714285714286
8113,1.0,1.0,0.9285714285714286
6216,0.0,1.0,0.9285714285714286
92M2,1.0,1.0,0.9285714285714286
493,0.0,2.0,0.9285714285714286
332MZ,1.0,1.0,0.9285714285714286
6212,0.0,2.0,0.9333333333333333
484,1.0,2.0,0.9333333333333333
4MS,0.0,1.0,0.9333333333333333
9211MP,0.0,2.0,0.9333333333333333
5242,0.0,1.0,0.9333333333333333
5418,1.0,1.0,0.9333333333333333
2211P,0.0,1.0,0.9333333333333333
4238,1.0,1.0,0.9333333333333333
4244,1.0,1.0,0.9333333333333333
6211,1.0,1.0,0.9333333333333333
44511,1.0,1.0,0.9354838709677419
3121,1.0,1.0,0.9375
5412,0.0,2.0,0.9393939393939394
621M,0.0,1.0,0.9411764705882353
4551,0.0,2.0,0.9411764705882353
92MP,1.0,2.0,0.9411764705882353
5411,1.0,1.0,0.9411764705882353
517111,1.0,1.0,0.9444444444444444
9281P,0.0,1.0,0.9444444444444444
4581,1.0,2.0,0.9444444444444444
5241,0.0,1.0,0.9444444444444444
8111Z,0.0,1.0,0.9444444444444444
7211,0.0,2.0,0.9444444444444444
334M2,0.0,1.0,0.9444444444444444
44511,1.0,2.0,0.9459459459459459
923,1.0,2.0,0.9473684210526315
6211,1.0,2.0,0.9473684210526315
7211,1.0,1.0,0.95
333MS,0.0,1.0,0.95
6212,1.0,2.0,0.9523809523809523
611M1,0.0,1.0,0.9538461538461539
923,0.0,2.0,0.9545454545454546
5616,0.0,1.0,0.9565217391304348
4441Z,0.0,1.0,0.9565217391304348
5617Z,1.0,1.0,0.9565217391304348
52M2,1.0,2.0,0.9583333333333334
522M,1.0,1.0,0.9583333333333334
531M,0.0,2.0,0.9583333333333334
621M,0.0,2.0,0.96
9211MP,1.0,1.0,0.9615384615384616
8131,1.0,2.0,0.9615384615384616
492,1.0,1.0,0.9615384615384616
56173,1.0,1.0,0.9615384615384616
6111,0.0,2.0,0.9620253164556962
5415,0.0,1.0,0.9629629629629629
52M3,0.0,2.0,0.9642857142857143
5617Z,0.0,1.0,0.9642857142857143
6214,1.0,2.0,0.9642857142857143
6111,1.0,1.0,0.9646017699115044
44511,0.0,2.0,0.9649122807017544
5241,0.0,2.0,0.9655172413793104
5617Z,0.0,2.0,0.9655172413793104
6244,0.0,2.0,0.9661016949152542
713Z,1.0,2.0,0.9666666666666667
5416,0.0,2.0,0.9666666666666667
8131,1.0,1.0,0.9666666666666667
713Z,1.0,1.0,0.967741935483871
812112,1.0,2.0,0.96875
4411,1.0,1.0,0.96875
5241,1.0,1.0,0.96875
4581,0.0,2.0,0.9696969696969697
92MP,0.0,2.0,0.9696969696969697
621M,1.0,2.0,0.9696969696969697
5412,1.0,2.0,0.9705882352941176
23,1.0,1.0,0.9709762532981531
8111Z,1.0,1.0,0.9714285714285714
5411,1.0,2.0,0.9714285714285714
722Z,1.0,1.0,0.9722222222222222
6216,0.0,2.0,0.9722222222222222
5416,0.0,1.0,0.972972972972973
5416,1.0,2.0,0.972972972972973
23,0.0,1.0,0.9732824427480916
5411,0.0,2.0,0.9736842105263158
492,0.0,1.0,0.975609756097561
611M1,0.0,2.0,0.9767441860465116
611M1,1.0,1.0,0.9770114942528736
6211,0.0,2.0,0.9772727272727273
5415,1.0,1.0,0.9775280898876404
92MP,1.0,1.0,0.9777777777777777
722Z,1.0,2.0,0.9782608695652174
5413,1.0,1.0,0.9782608695652174
5415,1.0,2.0,0.9782608695652174
92MP,0.0,1.0,0.9787234042553191
611M1,1.0,2.0,0.9789473684210527
111,1.0,1.0,0.98
5241,1.0,2.0,0.98
6241,0.0,2.0,0.9803921568627451
44511,0.0,1.0,0.9838709677419355
722Z,0.0,1.0,0.9848484848484849
6111,1.0,2.0,0.9852579852579852
23,1.0,2.0,0.9855072463768116
622M,1.0,2.0,0.98989898989899
722Z,0.0,2.0,0.9950248756218906
9281P,1.0,1.0,1.0
9281P,1.0,2.0,1.0
92M1,0.0,1.0,1.0
92M1,0.0,2.0,1.0
92M1,1.0,2.0,1.0
92M2,0.0,1.0,1.0
92M2,0.0,2.0,1.0
92811P5,0.0,1.0,1.0
92811P5,1.0,1.0,1.0
92811P6,0.0,1.0,1.0
92811P6,0.0,2.0,1.0
92811P6,1.0,1.0,1.0
92811P7,0.0,1.0,1.0
9281P,0.0,2.0,1.0
92811P2,1.0,1.0,1.0
92811P2,1.0,2.0,1.0
92811P3,0.0,2.0,1.0
92811P3,1.0,1.0,1.0
92811P3,1.0,2.0,1.0
92811P4,0.0,1.0,1.0
92811P4,1.0,1.0,1.0
923,1.0,1.0,1.0
92811P1,0.0,1.0,1.0
92811P1,0.0,2.0,1.0
92811P1,1.0,1.0,1.0
92811P1,1.0,2.0,1.0
92811P2,0.0,1.0,1.0
92811P2,0.0,2.0,1.0
2211P,0.0,2.0,1.0
2211P,1.0,1.0,1.0
2211P,1.0,2.0,1.0
2212P,0.0,1.0,1.0
2212P,0.0,2.0,1.0
2212P,1.0,1.0,1.0
2212P,1.0,2.0,1.0
2121,0.0,2.0,1.0
2121,1.0,1.0,1.0
2122,0.0,1.0,1.0
2123,0.0,1.0,1.0
2123,1.0,1.0,1.0
213,0.0,1.0,1.0
213,1.0,2.0,1.0
114,1.0,1.0,1.0
115,0.0,1.0,1.0
115,0.0,2.0,1.0
115,1.0,1.0,1.0
115,1.0,2.0,1.0
211,0.0,1.0,1.0
211,1.0,1.0,1.0
112,1.0,1.0,1.0
112,1.0,2.0,1.0
1133,0.0,1.0,1.0
1133,1.0,1.0,1.0
113M,0.0,1.0,1.0
113M,1.0,1.0,1.0
113M,1.0,2.0,1.0
114,0.0,1.0,1.0
333MS,1.0,2.0,1.0
3341,0.0,1.0,1.0
3341,1.0,1.0,1.0
3341,1.0,2.0,1.0
3333,0.0,1.0,1.0
3333,1.0,1.0,1.0
3333,1.0,2.0,1.0
