legitimate_value,attr1_value,attr2_value,csp_rate
7.0,0.0,1.0,0.8
11.0,1.0,1.0,0.8666666666666667
12.0,1.0,1.0,0.9333333333333333
24.0,0.0,1.0,0.9354838709677419
1.0,0.0,1.0,0.9361702127659575
9.0,1.0,1.0,0.9375
17.0,0.0,2.0,0.953125
20.0,1.0,1.0,0.9540636042402827
15.0,1.0,1.0,0.9545454545454546
12.0,0.0,1.0,0.9565217391304348
17.0,1.0,2.0,0.9605263157894737
20.0,0.0,1.0,0.9607843137254902
24.0,0.0,2.0,0.9629629629629629
22.0,0.0,2.0,0.9652173913043478
19.0,0.0,2.0,0.9682539682539683
24.0,1.0,2.0,0.96875
14.0,0.0,1.0,0.9692307692307692
21.0,0.0,2.0,0.9698795180722891
15.0,0.0,2.0,0.9705882352941176
1.0,1.0,2.0,0.9714285714285714
17.0,1.0,1.0,0.9716981132075472
23.0,0.0,1.0,0.9722222222222222
18.0,0.0,1.0,0.9725274725274725
16.0,0.0,2.0,0.9727767695099818
24.0,1.0,1.0,0.9743589743589743
16.0,1.0,1.0,0.9752704791344667
19.0,1.0,1.0,0.9753086419753086
21.0,1.0,1.0,0.9760403530895334
14.0,0.0,2.0,0.9761904761904762
21.0,1.0,2.0,0.9767441860465116
22.0,1.0,2.0,0.9782082324455206
19.0,0.0,1.0,0.9792626728110599
21.0,0.0,1.0,0.9794661190965093
20.0,1.0,2.0,0.9797979797979798
13.0,0.0,1.0,0.98
23.0,1.0,1.0,0.9807692307692307
16.0,0.0,1.0,0.9807692307692307
1.0,1.0,1.0,0.9807692307692307
18.0,1.0,1.0,0.9811320754716981
16.0,1.0,2.0,0.9813664596273292
19.0,1.0,2.0,0.9822485207100592
17.0,0.0,1.0,0.9823008849557522
18.0,1.0,2.0,0.9831460674157303
20.0,0.0,2.0,0.9841269841269841
22.0,0.0,1.0,0.9862068965517241
22.0,1.0,1.0,0.9888888888888889
23.0,1.0,2.0,0.989247311827957
18.0,0.0,2.0,0.9951219512195122
12.0,0.0,2.0,1.0
11.0,1.0,2.0,1.0
11.0,0.0,1.0,1.0
11.0,0.0,2.0,1.0
10.0,1.0,1.0,1.0
9.0,1.0,2.0,1.0
10.0,0.0,1.0,1.0
10.0,0.0,2.0,1.0
8.0,1.0,2.0,1.0
9.0,0.0,1.0,1.0
8.0,1.0,1.0,1.0
9.0,0.0,2.0,1.0
7.0,0.0,2.0,1.0
7.0,1.0,1.0,1.0
8.0,0.0,1.0,1.0
8.0,0.0,2.0,1.0
14.0,1.0,1.0,1.0
13.0,1.0,2.0,1.0
13.0,0.0,2.0,1.0
13.0,1.0,1.0,1.0
12.0,1.0,2.0,1.0
15.0,0.0,1.0,1.0
14.0,1.0,2.0,1.0
15.0,1.0,2.0,1.0
5.0,1.0,1.0,1.0
6.0,0.0,1.0,1.0
6.0,1.0,1.0,1.0
6.0,1.0,2.0,1.0
2.0,1.0,2.0,1.0
4.0,0.0,1.0,1.0
4.0,1.0,1.0,1.0
1.0,0.0,2.0,1.0
23.0,0.0,2.0,1.0
