legitimate_value,attr1_value,attr2_value,csp_rate
8123,9.0,1.0,0.0
7112,1.0,2.0,0.0
45921,6.0,1.0,0.0
3162,1.0,1.0,0.0
492,6.0,2.0,0.0
484,2.0,2.0,0.0
493,6.0,2.0,0.0
32221,9.0,1.0,0.0
42S,8.0,1.0,0.0
3336,9.0,1.0,0.0
331M,8.0,1.0,0.0
4245,8.0,2.0,0.0
32221,1.0,1.0,0.0
4582,2.0,2.0,0.0
333MS,2.0,2.0,0.3333333333333333
2211P,9.0,1.0,0.5
4MS,6.0,1.0,0.5
5122,1.0,1.0,0.5
5615,6.0,2.0,0.5
213,9.0,1.0,0.5
8113,8.0,1.0,0.5
7111,9.0,1.0,0.5
611M3,6.0,1.0,0.5
621M,8.0,1.0,0.5
5419Z,2.0,1.0,0.5
52M3,8.0,1.0,0.5
8111Z,2.0,1.0,0.6666666666666666
221MP,1.0,1.0,0.6666666666666666
5242,6.0,1.0,0.6666666666666666
3272,1.0,2.0,0.6666666666666666
211,1.0,2.0,0.6666666666666666
8139Z,1.0,1.0,0.7142857142857143
4581,1.0,1.0,0.75
4492,2.0,1.0,0.75
4492,1.0,2.0,0.75
4244,9.0,1.0,0.75
3399ZM,2.0,1.0,0.75
4233,1.0,1.0,0.75
5241,6.0,1.0,0.75
531M,6.0,2.0,0.75
23,8.0,2.0,0.75
6216,9.0,1.0,0.75
5412,6.0,2.0,0.8
92MP,6.0,1.0,0.8
3254,6.0,2.0,0.8
4581,8.0,2.0,0.8
4411,9.0,1.0,0.8
3261,1.0,2.0,0.8
611M1,2.0,1.0,0.8
531M,2.0,2.0,0.8
52M3,2.0,1.0,0.8
311M1,1.0,2.0,0.8
92811P3,1.0,1.0,0.8
814,1.0,1.0,0.8
92119,1.0,1.0,0.8
713Z,8.0,2.0,0.8
4593,1.0,1.0,0.8333333333333334
4233,1.0,2.0,0.8333333333333334
3336,1.0,1.0,0.8333333333333334
517111,1.0,2.0,0.8333333333333334
5412,2.0,2.0,0.8333333333333334
5411,9.0,2.0,0.8333333333333334
56173,2.0,1.0,0.8333333333333334
4595,1.0,2.0,0.8333333333333334
492,9.0,1.0,0.8461538461538461
52M3,2.0,2.0,0.8571428571428571
721M,1.0,1.0,0.8571428571428571
9211MP,2.0,2.0,0.8571428571428571
5617Z,8.0,1.0,0.8571428571428571
493,2.0,1.0,0.8571428571428571
111,9.0,1.0,0.8571428571428571
