legitimate_value,attr1_value,attr2_value,csp_rate
17.0,6.0,1.0,0.8
7.0,8.0,1.0,0.8333333333333334
17.0,6.0,2.0,0.8333333333333334
11.0,8.0,1.0,0.8333333333333334
9.0,9.0,1.0,0.8571428571428571
18.0,8.0,1.0,0.8571428571428571
24.0,2.0,1.0,0.8571428571428571
15.0,9.0,2.0,0.875
20.0,6.0,2.0,0.8823529411764706
15.0,9.0,1.0,0.8888888888888888
12.0,8.0,1.0,0.8888888888888888
1.0,2.0,1.0,0.8888888888888888
14.0,8.0,2.0,0.9
17.0,8.0,2.0,0.9166666666666666
20.0,6.0,1.0,0.9230769230769231
17.0,2.0,2.0,0.9285714285714286
20.0,2.0,1.0,0.9285714285714286
11.0,1.0,1.0,0.9333333333333333
13.0,9.0,1.0,0.9333333333333333
19.0,8.0,2.0,0.9354838709677419
12.0,1.0,1.0,0.9354838709677419
1.0,1.0,1.0,0.9393939393939394
22.0,2.0,2.0,0.9433962264150944
16.0,2.0,2.0,0.9444444444444444
19.0,8.0,1.0,0.95
1.0,9.0,1.0,0.9523809523809523
22.0,6.0,2.0,0.953125
21.0,9.0,1.0,0.9540229885057471
17.0,9.0,1.0,0.9545454545454546
19.0,9.0,1.0,0.9552238805970149
24.0,1.0,1.0,0.9552238805970149
1.0,1.0,2.0,0.9565217391304348
24.0,1.0,2.0,0.9571428571428572
20.0,9.0,1.0,0.9583333333333334
16.0,6.0,1.0,0.96
20.0,1.0,1.0,0.9607843137254902
21.0,8.0,1.0,0.9615384615384616
21.0,9.0,2.0,0.9615384615384616
19.0,2.0,2.0,0.9615384615384616
14.0,1.0,1.0,0.9649122807017544
16.0,2.0,1.0,0.9675324675324676
21.0,8.0,2.0,0.967741935483871
17.0,1.0,2.0,0.9680851063829787
19.0,2.0,1.0,0.9696969696969697
22.0,6.0,1.0,0.9701492537313433
16.0,9.0,1.0,0.9724770642201835
23.0,1.0,1.0,0.9727272727272728
21.0,1.0,2.0,0.9740394600207685
19.0,6.0,1.0,0.975609756097561
19.0,6.0,2.0,0.975609756097561
22.0,1.0,2.0,0.9764957264957265
18.0,9.0,1.0,0.9767441860465116
19.0,1.0,2.0,0.9769503546099291
21.0,1.0,1.0,0.9787878787878788
21.0,2.0,2.0,0.9789473684210527
16.0,1.0,2.0,0.9791666666666666
16.0,1.0,1.0,0.9793601651186791
16.0,9.0,2.0,0.979381443298969
20.0,1.0,2.0,0.9809069212410502
17.0,1.0,1.0,0.9814814814814815
21.0,6.0,1.0,0.9819819819819819
18.0,1.0,1.0,0.9820143884892086
19.0,1.0,1.0,0.9831081081081081
21.0,6.0,2.0,0.9836065573770492
19.0,9.0,2.0,0.9846153846153847
21.0,2.0,1.0,0.9848484848484849
15.0,1.0,1.0,0.9852941176470589
18.0,1.0,2.0,0.9863013698630136
16.0,8.0,2.0,0.9864864864864865
22.0,1.0,1.0,0.989100817438692
23.0,1.0,2.0,0.98989898989899
13.0,1.0,1.0,1.0
13.0,1.0,2.0,1.0
12.0,2.0,1.0,1.0
12.0,1.0,2.0,1.0
11.0,9.0,2.0,1.0
11.0,9.0,1.0,1.0
11.0,1.0,2.0,1.0
11.0,2.0,1.0,1.0
11.0,6.0,2.0,1.0
9.0,6.0,2.0,1.0
10.0,1.0,1.0,1.0
9.0,9.0,2.0,1.0
10.0,9.0,1.0,1.0
10.0,8.0,1.0,1.0
10.0,8.0,2.0,1.0
10.0,2.0,1.0,1.0
10.0,1.0,2.0,1.0
9.0,2.0,2.0,1.0
9.0,8.0,1.0,1.0
9.0,8.0,2.0,1.0
8.0,8.0,1.0,1.0
8.0,9.0,1.0,1.0
8.0,9.0,2.0,1.0
9.0,1.0,1.0,1.0
13.0,9.0,2.0,1.0
15.0,8.0,2.0,1.0
15.0,8.0,1.0,1.0
12.0,9.0,2.0,1.0
12.0,9.0,1.0,1.0
12.0,8.0,2.0,1.0
12.0,6.0,2.0,1.0
12.0,6.0,1.0,1.0
12.0,2.0,2.0,1.0
11.0,8.0,2.0,1.0
9.0,1.0,2.0,1.0
2.0,1.0,2.0,1.0
1.0,9.0,2.0,1.0
1.0,8.0,2.0,1.0
1.0,6.0,1.0,1.0
1.0,8.0,1.0,1.0
1.0,6.0,2.0,1.0
6.0,1.0,1.0,1.0
6.0,8.0,1.0,1.0
6.0,8.0,2.0,1.0
7.0,8.0,2.0,1.0
7.0,9.0,1.0,1.0
7.0,9.0,2.0,1.0
8.0,1.0,1.0,1.0
8.0,1.0,2.0,1.0
8.0,2.0,1.0,1.0
8.0,6.0,1.0,1.0
8.0,6.0,2.0,1.0
4.0,1.0,1.0,1.0
4.0,8.0,1.0,1.0
4.0,9.0,1.0,1.0
5.0,9.0,1.0,1.0
1.0,2.0,2.0,1.0
18.0,9.0,2.0,1.0
18.0,6.0,1.0,1.0
18.0,6.0,2.0,1.0
18.0,2.0,1.0,1.0
18.0,2.0,2.0,1.0
18.0,8.0,2.0,1.0
17.0,8.0,1.0,1.0
17.0,9.0,2.0,1.0
16.0,6.0,2.0,1.0
17.0,2.0,1.0,1.0
16.0,8.0,1.0,1.0
13.0,2.0,1.0,1.0
13.0,6.0,2.0,1.0
13.0,8.0,1.0,1.0
13.0,6.0,1.0,1.0
13.0,2.0,2.0,1.0
14.0,8.0,1.0,1.0
14.0,6.0,2.0,1.0
14.0,6.0,1.0,1.0
14.0,2.0,2.0,1.0
14.0,1.0,2.0,1.0
14.0,2.0,1.0,1.0
13.0,8.0,2.0,1.0
14.0,9.0,1.0,1.0
15.0,6.0,2.0,1.0
15.0,6.0,1.0,1.0
15.0,2.0,2.0,1.0
15.0,2.0,1.0,1.0
15.0,1.0,2.0,1.0
14.0,9.0,2.0,1.0
20.0,8.0,1.0,1.0
20.0,8.0,2.0,1.0
22.0,8.0,2.0,1.0
22.0,8.0,1.0,1.0
22.0,2.0,1.0,1.0
20.0,9.0,2.0,1.0
20.0,2.0,2.0,1.0
23.0,2.0,1.0,1.0
22.0,9.0,2.0,1.0
22.0,9.0,1.0,1.0
23.0,6.0,2.0,1.0
23.0,6.0,1.0,1.0
23.0,2.0,2.0,1.0
23.0,8.0,1.0,1.0
23.0,9.0,2.0,1.0
23.0,9.0,1.0,1.0
23.0,8.0,2.0,1.0
24.0,2.0,2.0,1.0
24.0,6.0,1.0,1.0
24.0,6.0,2.0,1.0
24.0,8.0,1.0,1.0
24.0,8.0,2.0,1.0
24.0,9.0,1.0,1.0
24.0,9.0,2.0,1.0
