legitimate_value,attr1_value,attr2_value,csp_rate
114,60_plus,1.0,0.0
221MP,60_plus,2.0,0.0
22S,45_60,1.0,0.0
22S,60_plus,1.0,0.0
92113,45_60,1.0,0.0
92119,25_45,1.0,0.0
3121,60_plus,2.0,0.0
3132Z,25_45,1.0,0.0
92MP,18_25,2.0,0.0
112,60_plus,2.0,0.0
1133,25_45,1.0,0.0
2211P,45_60,2.0,0.0
2212P,25_45,1.0,0.0
2212P,45_60,1.0,0.0
2212P,45_60,2.0,0.0
2213M,45_60,2.0,0.0
92811P5,45_60,1.0,0.0
92811P4,45_60,1.0,0.0
92811P3,25_45,1.0,0.0
92811P6,18_25,1.0,0.0
2211P,18_25,2.0,0.0
2123,25_45,2.0,0.0
81393,25_45,1.0,0.0
3132Z,45_60,2.0,0.0
115,25_45,2.0,0.0
5131Z,25_45,1.0,0.0
5131Z,25_45,2.0,0.0
5132,18_25,2.0,0.0
5132,25_45,2.0,0.0
5132,45_60,1.0,0.0
5132,60_plus,1.0,0.0
516,60_plus,1.0,0.0
115,18_25,2.0,0.0
221MP,45_60,2.0,0.0
9281P,18_25,1.0,0.0
923,18_25,1.0,0.0
92811P1,45_60,1.0,0.0
92811P1,45_60,2.0,0.0
92811P1,60_plus,2.0,0.0
3114,25_45,1.0,0.0
4236,45_60,1.0,0.0
42393,45_60,2.0,0.0
4241,25_45,1.0,0.0
4241,45_60,1.0,0.0
4241,45_60,2.0,0.0
4244,18_25,2.0,0.0
92119,25_45,2.0,0.0
92M1,18_25,2.0,0.0
517Z,60_plus,2.0,0.0
5182,45_60,1.0,0.0
5182,60_plus,1.0,0.0
4412,45_60,1.0,0.0
4412,60_plus,2.0,0.0
611M2,45_60,1.0,0.0
813M,18_25,2.0,0.0
4236,25_45,2.0,0.0
211,45_60,2.0,0.0
3132Z,60_plus,1.0,0.0
31411,25_45,1.0,0.0
31411,45_60,2.0,0.0
31411,60_plus,1.0,0.0
483,25_45,1.0,0.0
517111,25_45,2.0,0.0
9281P,25_45,2.0,0.0
3221,18_25,2.0,0.0
811192,18_25,1.0,0.0
8111Z,18_25,2.0,0.0
8112,60_plus,2.0,0.0
8114,45_60,2.0,0.0
8114,60_plus,2.0,0.0
812111,25_45,1.0,0.0
812111,45_60,1.0,0.0
316M,25_45,1.0,0.0
3211,18_25,1.0,0.0
3118Z,25_45,2.0,0.0
3211,45_60,2.0,0.0
3212,25_45,1.0,0.0
3212,60_plus,1.0,0.0
3219ZM,25_45,1.0,0.0
3219ZM,45_60,2.0,0.0
8123,45_60,1.0,0.0
31411,60_plus,2.0,0.0
314Z,45_60,2.0,0.0
314Z,60_plus,1.0,0.0
314Z,60_plus,2.0,0.0
315M,25_45,1.0,0.0
315M,45_60,2.0,0.0
3162,18_25,1.0,0.0
