legitimate_value,attr1_value,attr2_value,csp_rate
4.0,25_45,2.0,0.0
2.0,60_plus,1.0,0.0
2.0,45_60,2.0,0.0
4.0,45_60,1.0,0.0
2.0,45_60,1.0,0.0
6.0,60_plus,2.0,0.0
6.0,25_45,2.0,0.0
9.0,18_25,1.0,0.0
7.0,45_60,1.0,0.0
7.0,60_plus,1.0,0.0
7.0,60_plus,2.0,0.0
8.0,45_60,1.0,0.0
6.0,45_60,2.0,0.0
6.0,18_25,1.0,0.0
10.0,60_plus,2.0,0.0
10.0,18_25,1.0,0.0
12.0,18_25,1.0,0.0
12.0,18_25,2.0,0.0
13.0,18_25,2.0,0.0
14.0,60_plus,2.0,0.1
13.0,18_25,1.0,0.14285714285714285
17.0,18_25,1.0,0.19047619047619047
11.0,18_25,1.0,0.2
9.0,45_60,1.0,0.2222222222222222
15.0,18_25,2.0,0.25
22.0,18_25,2.0,0.25
24.0,60_plus,1.0,0.2777777777777778
11.0,45_60,2.0,0.3
22.0,45_60,1.0,0.3058823529411765
11.0,25_45,1.0,0.3076923076923077
20.0,18_25,2.0,0.3090909090909091
14.0,45_60,2.0,0.3125
8.0,60_plus,1.0,0.3333333333333333
18.0,60_plus,1.0,0.3333333333333333
15.0,60_plus,2.0,0.3333333333333333
9.0,25_45,1.0,0.3333333333333333
23.0,60_plus,2.0,0.3333333333333333
10.0,45_60,2.0,0.3333333333333333
11.0,25_45,2.0,0.3333333333333333
11.0,60_plus,2.0,0.3333333333333333
18.0,18_25,2.0,0.33783783783783783
24.0,25_45,2.0,0.34146341463414637
18.0,45_60,1.0,0.3425925925925926
15.0,60_plus,1.0,0.3448275862068966
22.0,60_plus,1.0,0.3466666666666667
15.0,25_45,1.0,0.34782608695652173
23.0,25_45,1.0,0.35555555555555557
1.0,60_plus,2.0,0.35714285714285715
23.0,60_plus,1.0,0.3620689655172414
24.0,45_60,1.0,0.37142857142857144
22.0,25_45,2.0,0.37209302325581395
24.0,60_plus,2.0,0.375
21.0,45_60,1.0,0.37752161383285304
15.0,45_60,1.0,0.3783783783783784
20.0,45_60,2.0,0.3793103448275862
1.0,45_60,2.0,0.38095238095238093
21.0,18_25,2.0,0.3829787234042553
24.0,45_60,2.0,0.38461538461538464
20.0,25_45,1.0,0.3867403314917127
17.0,60_plus,2.0,0.3870967741935484
16.0,18_25,1.0,0.3893805309734513
18.0,18_25,1.0,0.39080459770114945
1.0,25_45,2.0,0.391304347826087
20.0,45_60,1.0,0.39166666666666666
17.0,45_60,2.0,0.39215686274509803
19.0,18_25,2.0,0.39603960396039606
20.0,60_plus,1.0,0.3979591836734694
16.0,25_45,1.0,0.39803439803439805
11.0,60_plus,1.0,0.4
12.0,45_60,1.0,0.4
9.0,45_60,2.0,0.4
10.0,25_45,1.0,0.4
1.0,18_25,2.0,0.4
13.0,60_plus,2.0,0.4
22.0,45_60,2.0,0.4027777777777778
16.0,25_45,2.0,0.40418118466898956
21.0,60_plus,2.0,0.40569395017793597
23.0,25_45,2.0,0.40625
16.0,60_plus,1.0,0.4064516129032258
16.0,18_25,2.0,0.40654205607476634
19.0,25_45,2.0,0.408
16.0,45_60,1.0,0.40988372093023256
21.0,45_60,2.0,0.41025641025641024
20.0,25_45,2.0,0.4114583333333333
19.0,45_60,1.0,0.4117647058823529
14.0,45_60,1.0,0.4117647058823529
1.0,60_plus,1.0,0.4117647058823529
15.0,25_45,2.0,0.41379310344827586
21.0,25_45,1.0,0.4148550724637681
13.0,45_60,2.0,0.4166666666666667
19.0,60_plus,2.0,0.4178082191780822
14.0,25_45,1.0,0.41935483870967744
