legitimate_value,attr1_value,attr2_value,csp_rate
92M1,1.0,1.0,0.0
92811P1,2.0,8.0,0.0
92811P2,2.0,2.0,0.0
3113,1.0,1.0,0.0
3113,2.0,2.0,0.0
3114,2.0,9.0,0.0
3115,2.0,2.0,0.0
3115,2.0,9.0,0.0
311811,2.0,8.0,0.0
3118Z,1.0,1.0,0.0
3118Z,2.0,2.0,0.0
3118Z,2.0,9.0,0.0
23,1.0,6.0,0.0
311M2,1.0,1.0,0.0
311M2,1.0,8.0,0.0
8129,2.0,2.0,0.0
8129,2.0,8.0,0.0
92119,2.0,9.0,0.0
8131,1.0,2.0,0.0
81393,2.0,2.0,0.0
81393,2.0,8.0,0.0
5313,2.0,2.0,0.0
531M,1.0,2.0,0.0
531M,1.0,6.0,0.0
92MP,1.0,6.0,0.0
531M,2.0,8.0,0.0
5182,2.0,2.0,0.0
51921,2.0,6.0,0.0
522M,1.0,1.0,0.0
522M,2.0,8.0,0.0
5241,1.0,2.0,0.0
5241,1.0,9.0,0.0
92M2,1.0,1.0,0.0
5242,2.0,2.0,0.0
5242,2.0,6.0,0.0
111,1.0,9.0,0.0
111,2.0,6.0,0.0
813M,2.0,2.0,0.0
92113,2.0,9.0,0.0
311S,2.0,2.0,0.0
3121,2.0,2.0,0.0
3132Z,1.0,1.0,0.0
3132Z,2.0,6.0,0.0
31411,2.0,1.0,0.0
31411,2.0,2.0,0.0
314Z,1.0,1.0,0.0
314Z,2.0,1.0,0.0
315M,2.0,8.0,0.0
3162,2.0,1.0,0.0
316M,2.0,1.0,0.0
3211,1.0,1.0,0.0
9211MP,1.0,2.0,0.0
8113,2.0,9.0,0.0
8114,2.0,9.0,0.0
812111,2.0,2.0,0.0
812111,2.0,6.0,0.0
92M1,2.0,6.0,0.0
5121,1.0,1.0,0.0
51311,1.0,1.0,0.0
5131Z,2.0,6.0,0.0
5132,1.0,1.0,0.0
923,1.0,2.0,0.0
5132,2.0,2.0,0.0
5132,2.0,9.0,0.0
516,2.0,8.0,0.0
517111,1.0,1.0,0.0
923,1.0,8.0,0.0
517111,2.0,2.0,0.0
517111,2.0,6.0,0.0
517Z,2.0,9.0,0.0
112,1.0,8.0,0.0
5313,1.0,6.0,0.0
112,2.0,8.0,0.0
