legitimate_value,attr1_value,attr2_value,csp_rate
2.0,2.0,8.0,0.0
3.0,1.0,1.0,0.0
2.0,1.0,8.0,0.0
2.0,2.0,1.0,0.0
6.0,2.0,1.0,0.0
6.0,1.0,9.0,0.0
4.0,2.0,9.0,0.0
8.0,2.0,2.0,0.0
7.0,1.0,8.0,0.0
7.0,2.0,1.0,0.0
7.0,2.0,8.0,0.0
8.0,1.0,6.0,0.0
4.0,2.0,1.0,0.0
11.0,1.0,2.0,0.0
10.0,2.0,2.0,0.0
9.0,2.0,6.0,0.0
12.0,1.0,6.0,0.0
12.0,1.0,8.0,0.0
14.0,1.0,9.0,0.0
15.0,1.0,9.0,0.0
15.0,1.0,8.0,0.0
15.0,1.0,6.0,0.0
13.0,1.0,9.0,0.0
20.0,1.0,6.0,0.0
24.0,1.0,2.0,0.0
22.0,1.0,8.0,0.0
24.0,2.0,8.0,0.0
24.0,1.0,6.0,0.0
21.0,1.0,8.0,0.0
15.0,2.0,2.0,0.15
22.0,2.0,8.0,0.15789473684210525
11.0,2.0,2.0,0.16666666666666666
9.0,1.0,8.0,0.16666666666666666
13.0,1.0,2.0,0.16666666666666666
20.0,1.0,9.0,0.2
15.0,1.0,2.0,0.2
8.0,2.0,8.0,0.2
18.0,1.0,8.0,0.2
17.0,1.0,8.0,0.2
20.0,1.0,2.0,0.2222222222222222
1.0,2.0,2.0,0.2222222222222222
1.0,1.0,1.0,0.2222222222222222
15.0,2.0,9.0,0.23809523809523808
14.0,2.0,6.0,0.25
22.0,1.0,6.0,0.25
11.0,1.0,1.0,0.2727272727272727
16.0,1.0,9.0,0.2777777777777778
1.0,2.0,6.0,0.2857142857142857
17.0,1.0,2.0,0.3
24.0,1.0,1.0,0.3
24.0,2.0,9.0,0.3125
14.0,2.0,8.0,0.3157894736842105
22.0,1.0,1.0,0.32
22.0,2.0,9.0,0.32894736842105265
10.0,2.0,6.0,0.3333333333333333
11.0,2.0,9.0,0.3333333333333333
16.0,1.0,8.0,0.3333333333333333
1.0,1.0,2.0,0.3333333333333333
8.0,2.0,1.0,0.3333333333333333
6.0,2.0,8.0,0.3333333333333333
11.0,2.0,8.0,0.3333333333333333
10.0,2.0,9.0,0.3333333333333333
14.0,1.0,1.0,0.3333333333333333
19.0,1.0,8.0,0.3333333333333333
23.0,2.0,8.0,0.3333333333333333
9.0,2.0,8.0,0.34782608695652173
16.0,2.0,6.0,0.3541666666666667
24.0,2.0,1.0,0.3602941176470588
19.0,2.0,2.0,0.3657142857142857
12.0,2.0,1.0,0.36666666666666664
1.0,2.0,8.0,0.36666666666666664
15.0,1.0,1.0,0.3684210526315789
20.0,1.0,1.0,0.3698630136986301
18.0,2.0,6.0,0.37037037037037035
20.0,2.0,8.0,0.375
9.0,2.0,1.0,0.375
22.0,2.0,1.0,0.3780193236714976
21.0,1.0,1.0,0.3790322580645161
23.0,2.0,6.0,0.3793103448275862
16.0,2.0,2.0,0.3805309734513274
20.0,2.0,2.0,0.3902439024390244
16.0,2.0,9.0,0.39086294416243655
23.0,2.0,1.0,0.39195979899497485
18.0,2.0,1.0,0.3984375
13.0,2.0,2.0,0.4
12.0,1.0,1.0,0.4
10.0,2.0,1.0,0.4
13.0,1.0,1.0,0.4
24.0,2.0,2.0,0.4
14.0,1.0,2.0,0.4
20.0,2.0,1.0,0.4024767801857585
18.0,2.0,9.0,0.4032258064516129
21.0,2.0,1.0,0.40525739320920046
21.0,2.0,9.0,0.40555555555555556
17.0,2.0,2.0,0.40625
17.0,2.0,8.0,0.4074074074074074
17.0,2.0,1.0,0.4107142857142857
19.0,1.0,2.0,0.4117647058823529
21.0,2.0,6.0,0.41630901287553645
