legitimate_value,attr1_value,attr2_value,csp_rate
92M2,1.0,2.0,0.0
211,2.0,2.0,0.0
2122,2.0,2.0,0.0
2123,1.0,1.0,0.0
2123,2.0,2.0,0.0
92M1,1.0,2.0,0.0
213,1.0,1.0,0.0
8131,1.0,1.0,0.0
3113,1.0,1.0,0.0
112,1.0,2.0,0.0
3256,2.0,2.0,0.0
3231,2.0,2.0,0.0
3256,1.0,1.0,0.0
22S,2.0,1.0,0.0
22S,1.0,1.0,0.0
221MP,2.0,2.0,0.0
4853,2.0,2.0,0.0
491,1.0,2.0,0.0
487,2.0,2.0,0.0
488,1.0,2.0,0.0
51311,1.0,1.0,0.0
5121,1.0,1.0,0.0
3253,2.0,2.0,0.0
32221,1.0,1.0,0.0
45942,1.0,1.0,0.0
45942,2.0,2.0,0.0
5313,1.0,1.0,0.0
51311,2.0,1.0,0.0
5321,1.0,1.0,0.0
316M,2.0,1.0,0.0
8113,1.0,1.0,0.0
8112,2.0,2.0,0.0
3231,1.0,2.0,0.0
32221,2.0,2.0,0.0
3222M,1.0,1.0,0.0
3222M,2.0,2.0,0.0
493,1.0,2.0,0.0
5132,2.0,2.0,0.0
5132,1.0,2.0,0.0
5132,1.0,1.0,0.0
3241M,2.0,1.0,0.0
3253,1.0,2.0,0.0
4599,1.0,1.0,0.0
481,1.0,1.0,0.0
4595,1.0,2.0,0.0
32712,2.0,2.0,0.0
3272,1.0,1.0,0.0
3279,1.0,1.0,0.0
5613,1.0,2.0,0.0
5417,1.0,1.0,0.0
5418,1.0,1.0,0.0
5613,1.0,1.0,0.0
4572,2.0,1.0,0.0
4572,1.0,1.0,0.0
3261,2.0,2.0,0.0
4572,2.0,2.0,0.0
3314,2.0,2.0,0.0
3313,1.0,2.0,0.0
3279,2.0,2.0,0.0
8122,1.0,1.0,0.0
8121M,1.0,1.0,0.0
812112,1.0,1.0,0.0
812111,2.0,1.0,0.0
8114,2.0,2.0,0.0
3328,1.0,1.0,0.0
3328,2.0,2.0,0.0
33641M1,1.0,2.0,0.0
3327,1.0,2.0,0.0
3336,1.0,1.0,0.0
33311,1.0,2.0,0.0
32711,2.0,1.0,0.0
3262M,2.0,2.0,0.0
