legitimate_value,attr1_value,attr2_value,csp_rate
2.0,2.0,1.0,0.0
3.0,1.0,1.0,0.0
2.0,1.0,1.0,0.0
4.0,2.0,1.0,0.0
6.0,1.0,2.0,0.0
6.0,2.0,2.0,0.0
4.0,2.0,2.0,0.0
7.0,2.0,1.0,0.0
7.0,2.0,2.0,0.0
9.0,1.0,2.0,0.0
24.0,1.0,1.0,0.14285714285714285
15.0,1.0,1.0,0.15789473684210525
12.0,1.0,1.0,0.2
13.0,1.0,2.0,0.2
10.0,2.0,2.0,0.2
11.0,1.0,1.0,0.25
20.0,1.0,2.0,0.26785714285714285
14.0,1.0,2.0,0.2727272727272727
9.0,1.0,1.0,0.2857142857142857
11.0,2.0,2.0,0.3125
11.0,1.0,2.0,0.3333333333333333
2.0,2.0,2.0,0.3333333333333333
9.0,2.0,1.0,0.3333333333333333
8.0,2.0,1.0,0.3333333333333333
24.0,1.0,2.0,0.3333333333333333
15.0,1.0,2.0,0.35714285714285715
1.0,2.0,2.0,0.36
24.0,2.0,2.0,0.3655913978494624
21.0,1.0,2.0,0.37037037037037035
22.0,1.0,1.0,0.37037037037037035
16.0,1.0,1.0,0.3719512195121951
1.0,1.0,1.0,0.375
22.0,2.0,1.0,0.375
22.0,1.0,2.0,0.3783783783783784
18.0,2.0,1.0,0.38202247191011235
14.0,1.0,1.0,0.38461538461538464
13.0,1.0,1.0,0.38461538461538464
15.0,2.0,2.0,0.391304347826087
20.0,2.0,1.0,0.391304347826087
22.0,2.0,2.0,0.3913738019169329
24.0,2.0,1.0,0.3944954128440367
18.0,1.0,1.0,0.3958333333333333
23.0,2.0,1.0,0.39864864864864863
23.0,1.0,1.0,0.4
16.0,2.0,1.0,0.40605520926090827
21.0,2.0,1.0,0.4066780821917808
19.0,2.0,2.0,0.4083694083694084
20.0,1.0,1.0,0.41304347826086957
15.0,2.0,1.0,0.41346153846153844
21.0,2.0,2.0,0.414614773629865
23.0,2.0,2.0,0.41739130434782606
17.0,2.0,1.0,0.4195121951219512
17.0,2.0,2.0,0.421875
11.0,2.0,1.0,0.4230769230769231
17.0,1.0,2.0,0.42424242424242425
20.0,2.0,2.0,0.4248496993987976
16.0,2.0,2.0,0.42527582748244735
21.0,1.0,1.0,0.4305555555555556
18.0,2.0,2.0,0.43989071038251365
12.0,2.0,1.0,0.45
19.0,2.0,1.0,0.4539641943734015
10.0,2.0,1.0,0.45454545454545453
1.0,1.0,2.0,0.46153846153846156
14.0,2.0,1.0,0.4631578947368421
19.0,1.0,1.0,0.4639175257731959
16.0,1.0,2.0,0.4696969696969697
9.0,2.0,2.0,0.47368421052631576
14.0,2.0,2.0,0.4782608695652174
1.0,2.0,1.0,0.48
13.0,2.0,2.0,0.4838709677419355
17.0,1.0,1.0,0.4883720930232558
19.0,1.0,2.0,0.4939759036144578
8.0,2.0,2.0,0.5
8.0,1.0,1.0,0.5
7.0,1.0,1.0,0.5
10.0,1.0,1.0,0.5
12.0,2.0,2.0,0.5
12.0,1.0,2.0,0.5
18.0,1.0,2.0,0.5102040816326531
13.0,2.0,1.0,0.5102040816326531
6.0,2.0,1.0,0.6
23.0,1.0,2.0,0.6666666666666666
5.0,2.0,1.0,1.0
5.0,2.0,2.0,1.0
3.0,2.0,1.0,1.0
