legitimate_value,attr1_value,attr2_value,csp_rate
8114,1.0,2.0,0.0
812111,0.0,1.0,0.0
812111,1.0,1.0,0.0
8121M,1.0,1.0,0.0
8122,0.0,1.0,0.0
8122,0.0,2.0,0.0
3115,1.0,1.0,0.0
3116,0.0,2.0,0.0
3132Z,1.0,2.0,0.0
3118Z,0.0,2.0,0.0
311S,0.0,2.0,0.0
3132Z,0.0,1.0,0.0
4572,1.0,1.0,0.0
4572,0.0,2.0,0.0
4572,0.0,1.0,0.0
4561Z,1.0,1.0,0.0
4241,0.0,1.0,0.0
424M,0.0,1.0,0.0
424M,0.0,2.0,0.0
424M,1.0,2.0,0.0
4582,1.0,2.0,0.0
4572,1.0,2.0,0.0
4583,0.0,2.0,0.0
4249Z,0.0,2.0,0.0
487,1.0,2.0,0.0
45914,1.0,1.0,0.0
45913,1.0,2.0,0.0
42491,0.0,2.0,0.0
4248,0.0,1.0,0.0
4245,0.0,2.0,0.0
4241,1.0,2.0,0.0
4241,1.0,1.0,0.0
32221,0.0,2.0,0.0
3212,1.0,1.0,0.0
314Z,1.0,2.0,0.0
315M,0.0,1.0,0.0
315M,1.0,2.0,0.0
3162,1.0,1.0,0.0
316M,0.0,1.0,0.0
4591M,1.0,1.0,0.0
45942,1.0,2.0,0.0
4593,0.0,2.0,0.0
45941,0.0,1.0,0.0
45942,0.0,2.0,0.0
31411,1.0,1.0,0.0
31411,0.0,1.0,0.0
314Z,0.0,1.0,0.0
31411,1.0,2.0,0.0
3222M,0.0,1.0,0.0
32221,1.0,2.0,0.0
3219ZM,0.0,2.0,0.0
32221,0.0,1.0,0.0
6242,1.0,1.0,0.0
3211,1.0,2.0,0.0
3256,1.0,2.0,0.0
3256,0.0,2.0,0.0
3253,1.0,2.0,0.0
3253,0.0,2.0,0.0
3252,1.0,2.0,0.0
3241M,1.0,1.0,0.0
3231,1.0,2.0,0.0
3231,0.0,2.0,0.0
711M,1.0,2.0,0.0
7111,1.0,1.0,0.0
54194,1.0,1.0,0.0
5419Z,0.0,1.0,0.0
3336,0.0,1.0,0.0
3336,1.0,1.0,0.0
3314,1.0,2.0,0.0
32711,0.0,1.0,0.0
3262M,0.0,2.0,0.0
3262M,0.0,1.0,0.0
32712,1.0,2.0,0.0
3272,1.0,1.0,0.0
325M,1.0,2.0,0.0
5122,1.0,1.0,0.0
5132,0.0,2.0,0.0
51311,1.0,1.0,0.0
33MS,1.0,1.0,0.0
5132,1.0,2.0,0.0
33641M2,1.0,2.0,0.0
483,0.0,1.0,0.0
4231,0.0,1.0,0.0
4231,0.0,2.0,0.0
4234,0.0,2.0,0.0
4233,0.0,1.0,0.0
4235,0.0,1.0,0.0
4235,1.0,2.0,0.0
5182,1.0,2.0,0.0
517Z,0.0,1.0,0.0
483,0.0,2.0,0.0
32712,0.0,2.0,0.0
3369,0.0,1.0,0.0
3366,0.0,1.0,0.0
3365,1.0,2.0,0.0
3365,1.0,1.0,0.0
334M1,0.0,1.0,0.0
3341,1.0,2.0,0.0
562,1.0,2.0,0.0
611M2,1.0,1.0,0.0
562,0.0,2.0,0.0
3313,1.0,2.0,0.0
327M,1.0,2.0,0.0
327M,0.0,1.0,0.0
3314,0.0,1.0,0.0
3279,0.0,2.0,0.0
3279,0.0,1.0,0.0
22S,1.0,1.0,0.0
3114,0.0,1.0,0.0
8139Z,0.0,1.0,0.0
81393,0.0,2.0,0.0
3115,0.0,2.0,0.0
3335,0.0,1.0,0.0
3335,0.0,2.0,0.0
55,0.0,2.0,0.0
221MP,0.0,2.0,0.0
2212P,1.0,1.0,0.0
33311,0.0,2.0,0.0
332MZ,0.0,2.0,0.0
33311,0.0,1.0,0.0
331M,0.0,2.0,0.0
3327,0.0,2.0,0.0
3328,1.0,1.0,0.0
3328,1.0,2.0,0.0
62132,0.0,2.0,0.0
532M2,0.0,1.0,0.0
3352,0.0,2.0,0.0
3352,0.0,1.0,0.0
2123,0.0,2.0,0.0
115,0.0,2.0,0.0
211,1.0,2.0,0.0
2122,0.0,2.0,0.0
92811P6,0.0,1.0,0.0
2123,1.0,1.0,0.0
22S,0.0,1.0,0.0
114,1.0,1.0,0.0
114,0.0,2.0,0.0
4453,0.0,2.0,0.0
4452,1.0,1.0,0.0
8114,0.0,2.0,0.0
8112,0.0,2.0,0.0
92119,0.0,1.0,0.0
814,0.0,1.0,0.0
8139Z,0.0,2.0,0.0
3113,0.0,1.0,0.0
9281P,0.0,1.0,0.07692307692307693
5417,0.0,1.0,0.08333333333333333
623M,0.0,2.0,0.1
4591M,0.0,2.0,0.1
4551,1.0,2.0,0.1111111111111111
712,1.0,1.0,0.125
334M2,0.0,2.0,0.14285714285714285
337,0.0,1.0,0.14285714285714285
712,1.0,2.0,0.14285714285714285
4442,1.0,1.0,0.14285714285714285
4442,0.0,1.0,0.14285714285714285
8131,0.0,1.0,0.15384615384615385
517111,1.0,1.0,0.15384615384615385
5132,0.0,1.0,0.16666666666666666
811192,0.0,1.0,0.16666666666666666
62131,1.0,2.0,0.16666666666666666
3327,1.0,2.0,0.16666666666666666
56173,0.0,2.0,0.16666666666666666
3MS,0.0,2.0,0.16666666666666666
4571,1.0,2.0,0.18181818181818182
5419Z,1.0,2.0,0.18181818181818182
5412,0.0,2.0,0.19047619047619047
3211,1.0,1.0,0.2
3391,1.0,2.0,0.2
337,1.0,2.0,0.2
4236,0.0,1.0,0.2
5242,0.0,1.0,0.2
325M,0.0,1.0,0.2
92811P3,1.0,1.0,0.2
2211P,0.0,2.0,0.2
81393,1.0,1.0,0.2
334M2,1.0,1.0,0.21428571428571427
9281P,1.0,2.0,0.2222222222222222
5614,0.0,1.0,0.2222222222222222
6231,1.0,1.0,0.2222222222222222
6212,1.0,2.0,0.22916666666666666
5221M,1.0,2.0,0.23076923076923078
562,0.0,1.0,0.23076923076923078
44511,1.0,1.0,0.25
4491,1.0,2.0,0.25
332MZ,1.0,2.0,0.25
332M,1.0,2.0,0.25
3335,1.0,1.0,0.25
517111,0.0,2.0,0.25
6212,0.0,1.0,0.25
5614,0.0,2.0,0.25
22132,0.0,1.0,0.25
213,0.0,1.0,0.25
561M,1.0,2.0,0.25
482,0.0,1.0,0.25
5131Z,1.0,2.0,0.25
4236,0.0,2.0,0.25
481,0.0,2.0,0.25
5132,1.0,1.0,0.25
4234,1.0,1.0,0.25
4233,1.0,1.0,0.25
5221M,1.0,1.0,0.25
6222,1.0,2.0,0.25
3315,0.0,1.0,0.25
8111Z,0.0,2.0,0.25
3252,1.0,1.0,0.25
711M,0.0,1.0,0.25
711M,0.0,2.0,0.25
813M,0.0,2.0,0.25
721M,0.0,1.0,0.25
311M2,0.0,1.0,0.25
4413,1.0,2.0,0.25
44414,0.0,2.0,0.25
4249Z,1.0,1.0,0.25
3132Z,0.0,2.0,0.25
44414,1.0,1.0,0.25
488,1.0,2.0,0.25
4599,0.0,1.0,0.25
481,0.0,1.0,0.25
4411,0.0,1.0,0.25806451612903225
923,0.0,2.0,0.2608695652173913
611M3,0.0,1.0,0.26666666666666666
3391,1.0,1.0,0.26666666666666666
4413,1.0,1.0,0.26666666666666666
111,0.0,1.0,0.2692307692307692
336M,1.0,2.0,0.2727272727272727
5242,0.0,2.0,0.2727272727272727
4MS,1.0,2.0,0.2727272727272727
8113,1.0,1.0,0.2727272727272727
8129,0.0,1.0,0.2727272727272727
56173,1.0,2.0,0.2857142857142857
112,1.0,1.0,0.2857142857142857
561M,0.0,2.0,0.2857142857142857
4236,1.0,1.0,0.2857142857142857
522M,0.0,1.0,0.2857142857142857
51921,1.0,2.0,0.2857142857142857
517111,1.0,2.0,0.2857142857142857
7115,1.0,2.0,0.2857142857142857
4551,0.0,1.0,0.2857142857142857
44511,0.0,2.0,0.2857142857142857
92811P1,1.0,1.0,0.2857142857142857
485M,0.0,2.0,0.2857142857142857
485M,0.0,1.0,0.2857142857142857
3254,0.0,1.0,0.2857142857142857
92M1,1.0,1.0,0.2857142857142857
3118Z,1.0,2.0,0.2857142857142857
6213ZM,1.0,2.0,0.29411764705882354
3254,1.0,1.0,0.29411764705882354
4411,1.0,2.0,0.3
334M2,0.0,1.0,0.3
6212,1.0,1.0,0.3
713Z,0.0,2.0,0.3
5412,1.0,2.0,0.3076923076923077
5614,1.0,1.0,0.3076923076923077
5411,1.0,2.0,0.30952380952380953
33641M1,1.0,1.0,0.3103448275862069
333MS,0.0,1.0,0.3125
621M,1.0,1.0,0.3125
561M,1.0,1.0,0.3125
4MS,0.0,2.0,0.3157894736842105
6241,1.0,1.0,0.3181818181818182
45611,1.0,1.0,0.3181818181818182
6214,0.0,2.0,0.32075471698113206
5413,1.0,1.0,0.3230769230769231
5415,0.0,1.0,0.32558139534883723
3115,0.0,1.0,0.3333333333333333
3114,1.0,1.0,0.3333333333333333
8131,1.0,1.0,0.3333333333333333
2212P,0.0,1.0,0.3333333333333333
332M,1.0,1.0,0.3333333333333333
62131,1.0,1.0,0.3333333333333333
3341,1.0,1.0,0.3333333333333333
5416,0.0,1.0,0.3333333333333333
3345,0.0,1.0,0.3333333333333333
5415,0.0,2.0,0.3333333333333333
6211,0.0,1.0,0.3333333333333333
3MS,0.0,1.0,0.3333333333333333
33641M1,1.0,2.0,0.3333333333333333
493,0.0,1.0,0.3333333333333333
337,0.0,2.0,0.3333333333333333
522M,0.0,2.0,0.3333333333333333
3313,0.0,1.0,0.3333333333333333
3399ZM,0.0,2.0,0.3333333333333333
3261,0.0,2.0,0.3333333333333333
3261,1.0,2.0,0.3333333333333333
3313,1.0,1.0,0.3333333333333333
493,1.0,2.0,0.3333333333333333
3399ZM,1.0,1.0,0.3333333333333333
337,1.0,1.0,0.3333333333333333
6222,0.0,1.0,0.3333333333333333
4234,0.0,1.0,0.3333333333333333
4232,0.0,2.0,0.3333333333333333
8114,0.0,1.0,0.3333333333333333
112,1.0,2.0,0.3333333333333333
92811P5,1.0,1.0,0.3333333333333333
92119,1.0,2.0,0.3333333333333333
4452,0.0,2.0,0.3333333333333333
5615,0.0,2.0,0.3333333333333333
331M,1.0,2.0,0.3333333333333333
2211P,0.0,1.0,0.3333333333333333
2123,0.0,1.0,0.3333333333333333
114,0.0,1.0,0.3333333333333333
92811P5,0.0,1.0,0.3333333333333333
92811P3,0.0,2.0,0.3333333333333333
92811P1,1.0,2.0,0.3333333333333333
4582,1.0,1.0,0.3333333333333333
4412,0.0,1.0,0.3333333333333333
4238,0.0,2.0,0.3333333333333333
4237,1.0,2.0,0.3333333333333333
4244,1.0,2.0,0.3333333333333333
4247,1.0,1.0,0.3333333333333333
4853,1.0,2.0,0.3333333333333333
4441Z,0.0,1.0,0.3333333333333333
7112,1.0,1.0,0.3333333333333333
3211,0.0,1.0,0.3333333333333333
3221,1.0,1.0,0.3333333333333333
32411,0.0,1.0,0.3333333333333333
3222M,1.0,1.0,0.3333333333333333
4244,1.0,1.0,0.3333333333333333
42491,1.0,1.0,0.3333333333333333
4591M,0.0,1.0,0.3333333333333333
424M,1.0,1.0,0.3333333333333333
4442,0.0,2.0,0.3333333333333333
3121,1.0,2.0,0.3333333333333333
721M,1.0,1.0,0.3333333333333333
3121,0.0,2.0,0.3333333333333333
8123,0.0,1.0,0.3333333333333333
812112,0.0,1.0,0.3333333333333333
812112,1.0,1.0,0.3333333333333333
311811,0.0,2.0,0.3333333333333333
311M1,1.0,1.0,0.3333333333333333
712,0.0,1.0,0.3333333333333333
7115,0.0,2.0,0.3333333333333333
5131Z,0.0,1.0,0.3333333333333333
5242,1.0,1.0,0.3333333333333333
4237,0.0,2.0,0.3333333333333333
5182,1.0,1.0,0.3333333333333333
45921,1.0,1.0,0.3333333333333333
42491,0.0,1.0,0.3333333333333333
6244,1.0,2.0,0.3380281690140845
622M,0.0,1.0,0.3409090909090909
6231,1.0,2.0,0.34146341463414637
531M,0.0,2.0,0.34375
5613,0.0,2.0,0.34615384615384615
722Z,0.0,2.0,0.34710743801652894
7211,1.0,2.0,0.34782608695652173
9211MP,1.0,1.0,0.35
488,1.0,1.0,0.35
8111Z,1.0,1.0,0.35294117647058826
7211,1.0,1.0,0.35294117647058826
812112,1.0,2.0,0.35294117647058826
611M1,0.0,1.0,0.3548387096774194
3231,1.0,1.0,0.35714285714285715
54194,0.0,2.0,0.35714285714285715
52M2,1.0,2.0,0.35714285714285715
611M3,1.0,2.0,0.35714285714285715
52M2,1.0,1.0,0.3584905660377358
4581,1.0,2.0,0.36
5616,0.0,1.0,0.36
5411,0.0,1.0,0.36363636363636365
5241,1.0,1.0,0.36363636363636365
92MP,1.0,1.0,0.3655913978494624
4552,0.0,2.0,0.36764705882352944
44511,0.0,1.0,0.36764705882352944
4853,0.0,1.0,0.3684210526315789
52M3,1.0,1.0,0.3684210526315789
493,1.0,1.0,0.3684210526315789
23,1.0,1.0,0.37371134020618557
44513,1.0,2.0,0.375
2211P,1.0,1.0,0.375
8131,1.0,2.0,0.375
6216,0.0,1.0,0.375
6214,1.0,1.0,0.375
5313,0.0,2.0,0.375
55,1.0,2.0,0.375
5121,1.0,2.0,0.375
5414,1.0,1.0,0.375
3116,0.0,1.0,0.375
4561Z,0.0,2.0,0.375
4492,1.0,1.0,0.375
4442,1.0,2.0,0.375
315M,0.0,2.0,0.375
7211,0.0,1.0,0.375
111,1.0,1.0,0.3783783783783784
5617Z,0.0,1.0,0.38095238095238093
6241,0.0,1.0,0.38095238095238093
4441Z,1.0,1.0,0.38235294117647056
611M1,1.0,2.0,0.38235294117647056
92MP,0.0,2.0,0.38235294117647056
5415,1.0,2.0,0.38461538461538464
92M2,0.0,2.0,0.38461538461538464
33641M1,0.0,1.0,0.38461538461538464
531M,1.0,1.0,0.38636363636363635
23,0.0,1.0,0.38697318007662834
622M,1.0,1.0,0.3870967741935484
23,1.0,2.0,0.3877551020408163
3261,1.0,1.0,0.3888888888888889
6111,0.0,2.0,0.39080459770114945
92MP,1.0,2.0,0.39285714285714285
722Z,1.0,2.0,0.3979591836734694
712,0.0,2.0,0.4
5412,1.0,1.0,0.4
5414,0.0,1.0,0.4
5313,0.0,1.0,0.4
6243,0.0,1.0,0.4
4244,0.0,1.0,0.4
32621,1.0,1.0,0.4
491,1.0,2.0,0.4
4238,1.0,1.0,0.4
611M3,1.0,1.0,0.4
52M3,1.0,2.0,0.4
517111,0.0,1.0,0.4
6211,1.0,1.0,0.4
5614,1.0,2.0,0.4
5414,1.0,2.0,0.4
92119,1.0,1.0,0.4
4599,1.0,2.0,0.4
813M,0.0,1.0,0.4
5182,0.0,2.0,0.4
3352,1.0,2.0,0.4
623M,0.0,1.0,0.4
484,1.0,2.0,0.4
516,1.0,1.0,0.4
3366,1.0,1.0,0.4
4595,0.0,2.0,0.4
2213M,1.0,2.0,0.4
33311,1.0,1.0,0.4
332MZ,1.0,1.0,0.4
331M,0.0,1.0,0.4
5617Z,1.0,2.0,0.40625
611M3,0.0,2.0,0.4090909090909091
713Z,1.0,2.0,0.4117647058823529
4571,0.0,2.0,0.4117647058823529
492,0.0,1.0,0.4117647058823529
493,0.0,2.0,0.4117647058823529
8111Z,0.0,1.0,0.4117647058823529
622M,0.0,2.0,0.4125874125874126
5416,0.0,2.0,0.41379310344827586
56173,1.0,1.0,0.4166666666666667
9281P,1.0,1.0,0.4166666666666667
4413,0.0,1.0,0.4166666666666667
4571,0.0,1.0,0.4166666666666667
814,1.0,2.0,0.4166666666666667
5415,1.0,1.0,0.4174757281553398
611M1,0.0,2.0,0.4180327868852459
622M,1.0,2.0,0.41904761904761906
814,0.0,2.0,0.41935483870967744
722Z,0.0,1.0,0.42035398230088494
56173,0.0,1.0,0.42105263157894735
9211MP,0.0,1.0,0.42105263157894735
531M,0.0,1.0,0.4230769230769231
45611,0.0,2.0,0.4230769230769231
812112,0.0,2.0,0.4230769230769231
4411,1.0,1.0,0.42424242424242425
484,0.0,1.0,0.425531914893617
611M1,1.0,1.0,0.42696629213483145
6111,1.0,2.0,0.42783505154639173
3399ZM,0.0,1.0,0.42857142857142855
3254,0.0,2.0,0.42857142857142855
2211P,1.0,2.0,0.42857142857142855
333MS,1.0,2.0,0.42857142857142855
