legitimate_value,attr1_value,attr2_value,csp_rate
4.0,0.0,1.0,0.0
2.0,0.0,1.0,0.0
7.0,0.0,1.0,0.0
4.0,0.0,2.0,0.0
6.0,0.0,2.0,0.0
6.0,1.0,2.0,0.0
10.0,0.0,2.0,0.0
7.0,1.0,2.0,0.0
8.0,0.0,1.0,0.2
24.0,0.0,2.0,0.22857142857142856
10.0,1.0,2.0,0.25
7.0,1.0,1.0,0.25
9.0,0.0,1.0,0.25
10.0,0.0,1.0,0.25
14.0,1.0,2.0,0.2631578947368421
11.0,1.0,2.0,0.3
1.0,1.0,2.0,0.3103448275862069
12.0,0.0,1.0,0.3157894736842105
15.0,1.0,2.0,0.32432432432432434
11.0,0.0,2.0,0.3333333333333333
23.0,0.0,1.0,0.3333333333333333
2.0,0.0,2.0,0.3333333333333333
20.0,0.0,2.0,0.33472803347280333
23.0,0.0,2.0,0.34146341463414637
9.0,1.0,1.0,0.34782608695652173
11.0,0.0,1.0,0.35714285714285715
22.0,1.0,1.0,0.3643031784841076
15.0,0.0,1.0,0.36507936507936506
24.0,1.0,1.0,0.3695652173913043
20.0,0.0,1.0,0.37305699481865284
17.0,0.0,1.0,0.375
18.0,1.0,1.0,0.38095238095238093
15.0,1.0,1.0,0.38333333333333336
18.0,0.0,1.0,0.386046511627907
22.0,1.0,2.0,0.3900709219858156
22.0,0.0,2.0,0.39166666666666666
16.0,0.0,1.0,0.3987915407854985
11.0,1.0,1.0,0.4
16.0,1.0,1.0,0.4048
21.0,1.0,1.0,0.40554156171284633
21.0,1.0,2.0,0.4075
20.0,1.0,1.0,0.4098360655737705
22.0,0.0,1.0,0.4098360655737705
13.0,1.0,2.0,0.4117647058823529
21.0,0.0,1.0,0.4125560538116592
23.0,1.0,1.0,0.4126984126984127
17.0,1.0,2.0,0.41333333333333333
14.0,0.0,1.0,0.41333333333333333
19.0,0.0,2.0,0.4144144144144144
24.0,0.0,1.0,0.4166666666666667
13.0,0.0,2.0,0.4166666666666667
21.0,0.0,2.0,0.4185185185185185
16.0,0.0,2.0,0.42105263157894735
19.0,1.0,2.0,0.42168674698795183
9.0,0.0,2.0,0.42857142857142855
17.0,0.0,2.0,0.43023255813953487
15.0,0.0,2.0,0.43478260869565216
24.0,1.0,2.0,0.4375
12.0,0.0,2.0,0.4375
18.0,0.0,2.0,0.44036697247706424
1.0,0.0,2.0,0.4411764705882353
16.0,1.0,2.0,0.44145873320537427
19.0,0.0,1.0,0.44251626898047725
18.0,1.0,2.0,0.45685279187817257
20.0,1.0,2.0,0.4651898734177215
23.0,1.0,2.0,0.4675324675324675
19.0,1.0,1.0,0.4688995215311005
1.0,1.0,1.0,0.46938775510204084
1.0,0.0,1.0,0.47058823529411764
13.0,1.0,1.0,0.48
17.0,1.0,1.0,0.484375
13.0,0.0,1.0,0.4864864864864865
8.0,1.0,2.0,0.5
8.0,1.0,1.0,0.5
9.0,1.0,2.0,0.5
6.0,1.0,1.0,0.5
3.0,1.0,1.0,0.5
12.0,1.0,1.0,0.5
14.0,0.0,2.0,0.5263157894736842
14.0,1.0,1.0,0.5454545454545454
10.0,1.0,1.0,0.5555555555555556
12.0,1.0,2.0,0.5714285714285714
6.0,0.0,1.0,0.6666666666666666
5.0,1.0,2.0,1.0
5.0,1.0,1.0,1.0
