legitimate_value,attr1_value,attr2_value,csp_rate
8123,2.0,1.0,0.0
81393,1.0,2.0,0.0
81393,2.0,1.0,0.0
81393,8.0,1.0,0.0
311M1,1.0,2.0,0.0
311M1,9.0,1.0,0.0
4MS,9.0,1.0,0.0
516,8.0,1.0,0.0
92811P3,9.0,1.0,0.0
92811P3,9.0,2.0,0.0
517111,2.0,1.0,0.0
813M,2.0,1.0,0.0
213,6.0,1.0,0.0
923,8.0,1.0,0.0
2211P,2.0,2.0,0.0
92811P1,1.0,2.0,0.0
2211P,6.0,1.0,0.0
813M,8.0,2.0,0.0
2211P,6.0,2.0,0.0
814,1.0,1.0,0.0
92113,9.0,1.0,0.0
92811P1,8.0,1.0,0.0
92811P2,2.0,1.0,0.0
92811P2,2.0,2.0,0.0
92811P5,9.0,1.0,0.0
9211MP,9.0,1.0,0.0
92M1,9.0,1.0,0.0
23,2.0,2.0,0.0
92M1,6.0,2.0,0.0
9281P,9.0,1.0,0.0
9281P,6.0,2.0,0.0
9211MP,8.0,1.0,0.0
51921,6.0,2.0,0.0
3116,2.0,2.0,0.0
3116,8.0,2.0,0.0
311811,8.0,2.0,0.0
92MP,9.0,2.0,0.0
3212,9.0,1.0,0.0
3219ZM,9.0,1.0,0.0
3221,9.0,2.0,0.0
8129,2.0,1.0,0.0
8129,2.0,2.0,0.0
8129,8.0,1.0,0.0
3118Z,2.0,2.0,0.0
3118Z,6.0,2.0,0.0
3118Z,9.0,2.0,0.0
8121M,8.0,1.0,0.0
3115,2.0,1.0,0.0
2122,1.0,1.0,0.0
2122,1.0,2.0,0.0
2123,1.0,2.0,0.0
2123,2.0,1.0,0.0
2123,8.0,1.0,0.0
5221M,9.0,1.0,0.0
812111,6.0,2.0,0.0
8123,9.0,2.0,0.0
516,2.0,1.0,0.0
5242,2.0,1.0,0.0
5242,2.0,2.0,0.0
5242,6.0,2.0,0.0
522M,2.0,2.0,0.0
522M,8.0,2.0,0.0
213,2.0,1.0,0.0
211,9.0,2.0,0.0
3211,6.0,2.0,0.0
3212,1.0,1.0,0.0
3212,2.0,1.0,0.0
3212,6.0,1.0,0.0
31411,1.0,2.0,0.0
31411,2.0,1.0,0.0
31411,2.0,2.0,0.0
314Z,1.0,1.0,0.0
51311,1.0,1.0,0.0
5131Z,6.0,1.0,0.0
5241,8.0,1.0,0.0
5132,1.0,2.0,0.0
5132,2.0,1.0,0.0
3162,1.0,1.0,0.0
316M,1.0,1.0,0.0
3211,1.0,1.0,0.0
5313,6.0,1.0,0.0
8131,6.0,1.0,0.0
531M,8.0,1.0,0.0
531M,8.0,2.0,0.0
52M3,9.0,1.0,0.0
5313,2.0,1.0,0.0
5313,2.0,2.0,0.0
4MS,9.0,2.0,0.0
32221,1.0,2.0,0.0
32221,2.0,1.0,0.0
3222M,1.0,2.0,0.0
3222M,2.0,1.0,0.0
315M,8.0,1.0,0.0
491,6.0,1.0,0.0
491,9.0,2.0,0.0
492,9.0,2.0,0.0
8111Z,6.0,1.0,0.0
8111Z,6.0,2.0,0.0
8112,1.0,2.0,0.0
8113,9.0,1.0,0.0
8114,1.0,2.0,0.0
325M,6.0,2.0,0.0
325M,8.0,1.0,0.0
325M,8.0,2.0,0.0
32411,9.0,1.0,0.0
3241M,1.0,1.0,0.0
812111,1.0,1.0,0.0
812111,2.0,1.0,0.0
42491,2.0,1.0,0.0
3115,9.0,1.0,0.0
812112,6.0,1.0,0.0
3114,1.0,1.0,0.0
3252,8.0,1.0,0.0
3253,1.0,2.0,0.0
3253,9.0,2.0,0.0
3254,6.0,1.0,0.0
3254,8.0,2.0,0.0
3231,1.0,2.0,0.0
3231,6.0,2.0,0.0
3231,9.0,2.0,0.0
314Z,1.0,2.0,0.0
311M2,1.0,2.0,0.0
311S,2.0,2.0,0.0
3121,2.0,2.0,0.0
3121,9.0,2.0,0.0
3132Z,6.0,2.0,0.0
31411,1.0,1.0,0.0
