legitimate_value,attr1_value,attr2_value,csp_rate
2.0,8.0,1.0,0.0
2.0,8.0,2.0,0.0
2.0,1.0,1.0,0.0
3.0,1.0,1.0,0.0
2.0,1.0,2.0,0.0
6.0,1.0,2.0,0.0
4.0,9.0,2.0,0.0
8.0,2.0,1.0,0.0
6.0,8.0,2.0,0.0
6.0,9.0,2.0,0.0
7.0,8.0,2.0,0.0
7.0,8.0,1.0,0.0
6.0,1.0,1.0,0.0
4.0,1.0,1.0,0.0
8.0,8.0,2.0,0.0
8.0,6.0,1.0,0.0
11.0,2.0,2.0,0.0
9.0,6.0,2.0,0.0
10.0,1.0,2.0,0.0
10.0,2.0,2.0,0.0
9.0,1.0,1.0,0.0
9.0,6.0,1.0,0.0
13.0,2.0,2.0,0.0
12.0,8.0,2.0,0.0
23.0,8.0,1.0,0.0
24.0,8.0,1.0,0.0
22.0,8.0,2.0,0.08333333333333333
15.0,2.0,1.0,0.13333333333333333
15.0,9.0,1.0,0.15
11.0,2.0,1.0,0.16666666666666666
11.0,8.0,2.0,0.16666666666666666
14.0,6.0,1.0,0.16666666666666666
24.0,2.0,2.0,0.16666666666666666
24.0,9.0,1.0,0.16666666666666666
15.0,2.0,2.0,0.2
9.0,8.0,2.0,0.2
1.0,2.0,1.0,0.25
14.0,9.0,2.0,0.25
1.0,2.0,2.0,0.25
8.0,8.0,1.0,0.25
22.0,8.0,1.0,0.25
23.0,6.0,2.0,0.2727272727272727
12.0,1.0,1.0,0.3
13.0,9.0,1.0,0.3
20.0,6.0,1.0,0.30434782608695654
14.0,8.0,1.0,0.3125
21.0,9.0,1.0,0.3125
24.0,1.0,2.0,0.323943661971831
20.0,2.0,1.0,0.32432432432432434
1.0,6.0,1.0,0.3333333333333333
11.0,9.0,2.0,0.3333333333333333
23.0,2.0,1.0,0.3333333333333333
22.0,9.0,1.0,0.3333333333333333
10.0,9.0,1.0,0.3333333333333333
17.0,2.0,2.0,0.3333333333333333
15.0,9.0,2.0,0.3333333333333333
18.0,6.0,1.0,0.3333333333333333
1.0,6.0,2.0,0.3333333333333333
1.0,8.0,1.0,0.3333333333333333
10.0,6.0,2.0,0.3333333333333333
7.0,1.0,1.0,0.3333333333333333
1.0,1.0,2.0,0.34615384615384615
16.0,6.0,2.0,0.34615384615384615
19.0,2.0,2.0,0.3488372093023256
17.0,8.0,2.0,0.35294117647058826
18.0,1.0,1.0,0.35986159169550175
11.0,1.0,2.0,0.36363636363636365
18.0,8.0,1.0,0.3684210526315789
9.0,8.0,1.0,0.3684210526315789
22.0,1.0,1.0,0.3693467336683417
16.0,9.0,2.0,0.3711340206185567
13.0,2.0,1.0,0.375
