legitimate_value,attr1_value,attr2_value,csp_rate
3960.0,0,2.0,0.0
4350.0,1,2.0,0.0
4350.0,1,1.0,0.0
4350.0,0,2.0,0.0
4350.0,0,1.0,0.0
2006.0,0,2.0,0.0
4340.0,1,2.0,0.0
4340.0,0,2.0,0.0
4255.0,1,1.0,0.0
4255.0,0,2.0,0.0
8620.0,1,2.0,0.0
4255.0,0,1.0,0.0
4251.0,1,2.0,0.0
4251.0,0,2.0,0.0
4251.0,0,1.0,0.0
4230.0,1,2.0,0.0
4400.0,0,2.0,0.0
2004.0,0,1.0,0.0
4400.0,1,2.0,0.0
4420.0,0,1.0,0.0
8650.0,0,2.0,0.0
4500.0,1,2.0,0.0
4500.0,1,1.0,0.0
4500.0,0,2.0,0.0
4500.0,0,1.0,0.0
8640.0,1,2.0,0.0
4465.0,0,2.0,0.0
2016.0,0,1.0,0.0
4461.0,1,2.0,0.0
4435.0,0,2.0,0.0
4435.0,0,1.0,0.0
4420.0,1,2.0,0.0
4420.0,1,1.0,0.0
4420.0,0,2.0,0.0
8640.0,0,2.0,0.0
2003.0,0,2.0,0.0
4461.0,0,2.0,0.0
4230.0,0,2.0,0.0
4230.0,0,1.0,0.0
4210.0,1,2.0,0.0
8555.0,0,2.0,0.0
8555.0,0,1.0,0.0
4120.0,1,2.0,0.0
4120.0,0,2.0,0.0
4120.0,0,1.0,0.0
4110.0,1,2.0,0.0
2300.0,0,1.0,0.0
4130.0,0,1.0,0.0
2300.0,1,1.0,0.0
4055.0,1,2.0,0.0
4055.0,1,1.0,0.0
4055.0,0,2.0,0.0
8540.0,1,2.0,0.0
4055.0,0,1.0,0.0
4040.0,1,2.0,0.0
4040.0,0,2.0,0.0
4110.0,0,1.0,0.0
4510.0,1,1.0,0.0
4130.0,0,2.0,0.0
4130.0,1,2.0,0.0
2050.0,0,1.0,0.0
4210.0,0,2.0,0.0
4200.0,1,2.0,0.0
4200.0,0,2.0,0.0
4160.0,1,2.0,0.0
4160.0,0,2.0,0.0
8610.0,0,2.0,0.0
4130.0,1,1.0,0.0
4160.0,0,1.0,0.0
8555.0,1,2.0,0.0
4150.0,0,2.0,0.0
4150.0,0,1.0,0.0
4140.0,1,2.0,0.0
4140.0,1,1.0,0.0
4140.0,0,2.0,0.0
4140.0,0,1.0,0.0
4150.0,1,2.0,0.0
4040.0,0,1.0,0.0
4521.0,0,1.0,0.0
1910.0,1,2.0,0.0
7855.0,0,2.0,0.0
1541.0,1,2.0,0.0
4900.0,0,2.0,0.0
1545.0,0,2.0,0.0
4900.0,0,1.0,0.0
4750.0,1,2.0,0.0
4750.0,0,2.0,0.0
4740.0,1,2.0,0.0
4740.0,0,2.0,0.0
4740.0,0,1.0,0.0
4720.0,1,2.0,0.0
1560.0,1,2.0,0.0
8810.0,1,2.0,0.0
1600.0,0,2.0,0.0
4720.0,0,2.0,0.0
7850.0,0,2.0,0.0
8830.0,1,2.0,0.0
4940.0,0,1.0,0.0
8910.0,0,2.0,0.0
5040.0,0,1.0,0.0
5020.0,1,2.0,0.0
7840.0,1,2.0,0.0
5020.0,0,2.0,0.0
5010.0,0,2.0,0.0
8950.0,1,2.0,0.0
7850.0,0,1.0,0.0
8810.0,0,2.0,0.0
1450.0,0,2.0,0.0
8950.0,0,1.0,0.0
4950.0,0,1.0,0.0
4940.0,1,2.0,0.0
8930.0,1,2.0,0.0
8930.0,0,2.0,0.0
4940.0,0,2.0,0.0
8920.0,0,1.0,0.0
8950.0,0,2.0,0.0
4720.0,0,1.0,0.0
4640.0,1,2.0,0.0
4640.0,1,1.0,0.0
8720.0,1,2.0,0.0
8720.0,1,1.0,0.0
4525.0,1,2.0,0.0
8720.0,0,2.0,0.0
4525.0,0,2.0,0.0
8710.0,1,2.0,0.0
8710.0,0,2.0,0.0
8730.0,0,1.0,0.0
8710.0,0,1.0,0.0
4522.0,0,2.0,0.0
1900.0,0,2.0,0.0
4521.0,1,2.0,0.0
4521.0,1,1.0,0.0
1910.0,0,1.0,0.0
1910.0,0,2.0,0.0
8650.0,1,2.0,0.0
7905.0,0,2.0,0.0
4521.0,0,2.0,0.0
8730.0,1,2.0,0.0
4540.0,0,1.0,0.0
8800.0,1,2.0,0.0
8800.0,0,2.0,0.0
1710.0,0,2.0,0.0
4640.0,0,2.0,0.0
8760.0,1,2.0,0.0
4622.0,1,2.0,0.0
4622.0,0,2.0,0.0
4530.0,1,2.0,0.0
8760.0,0,2.0,0.0
4621.0,0,1.0,0.0
4600.0,1,1.0,0.0
4600.0,0,2.0,0.0
4600.0,0,1.0,0.0
8750.0,0,2.0,0.0
8750.0,0,1.0,0.0
4540.0,0,2.0,0.0
8760.0,0,1.0,0.0
5040.0,0,2.0,0.0
2350.0,1,1.0,0.0
4030.0,0,2.0,0.0
3602.0,0,2.0,0.0
3602.0,0,1.0,0.0
3601.0,1,1.0,0.0
3601.0,0,1.0,0.0
8365.0,1,2.0,0.0
3550.0,0,1.0,0.0
8365.0,1,1.0,0.0
8365.0,0,2.0,0.0
8365.0,0,1.0,0.0
8350.0,1,2.0,0.0
8350.0,1,1.0,0.0
8350.0,0,1.0,0.0
8335.0,1,1.0,0.0
8335.0,0,2.0,0.0
8320.0,1,1.0,0.0
8450.0,1,2.0,0.0
8465.0,0,1.0,0.0
8465.0,0,2.0,0.0
8465.0,1,2.0,0.0
3630.0,1,2.0,0.0
3630.0,0,2.0,0.0
8500.0,0,2.0,0.0
3630.0,0,1.0,0.0
3620.0,0,2.0,0.0
3620.0,0,1.0,0.0
3610.0,1,2.0,0.0
8320.0,0,2.0,0.0
3610.0,0,1.0,0.0
3605.0,1,1.0,0.0
2905.0,1,2.0,0.0
3605.0,0,1.0,0.0
3603.0,1,2.0,0.0
3603.0,0,1.0,0.0
3602.0,1,2.0,0.0
8500.0,0,1.0,0.0
3605.0,1,2.0,0.0
8320.0,0,1.0,0.0
8310.0,1,2.0,0.0
8310.0,1,1.0,0.0
3424.0,0,1.0,0.0
3422.0,1,2.0,0.0
3422.0,1,1.0,0.0
3422.0,0,2.0,0.0
3256.0,0,1.0,0.0
8250.0,0,2.0,0.0
3422.0,0,1.0,0.0
8250.0,1,2.0,0.0
8225.0,1,2.0,0.0
8225.0,0,2.0,0.0
3421.0,0,2.0,0.0
7720.0,0,2.0,0.0
3401.0,1,2.0,0.0
3401.0,0,2.0,0.0
8140.0,0,2.0,0.0
8100.0,1,2.0,0.0
3421.0,1,1.0,0.0
2861.0,0,1.0,0.0
3424.0,0,2.0,0.0
3430.0,0,1.0,0.0
8310.0,0,2.0,0.0
8310.0,0,1.0,0.0
3520.0,0,1.0,0.0
8300.0,0,2.0,0.0
8300.0,0,1.0,0.0
8256.0,1,2.0,0.0
8030.0,0,2.0,0.0
3424.0,1,2.0,0.0
8256.0,0,2.0,0.0
3210.0,0,2.0,0.0
3210.0,1,2.0,0.0
8256.0,0,1.0,0.0
8255.0,1,2.0,0.0
