legitimate_value,attr1_value,attr2_value,csp_rate
5.0,1,2.0,0.0
6.0,0,2.0,0.0
12.0,0,2.0,0.0
6.0,1,2.0,0.0
7.0,0,1.0,0.0
7.0,0,2.0,0.0
7.0,1,1.0,0.0
11.0,0,2.0,0.0
7.0,1,2.0,0.0
8.0,0,2.0,0.0
8.0,1,2.0,0.0
9.0,0,2.0,0.0
11.0,1,2.0,0.0
10.0,0,1.0,0.0
10.0,0,2.0,0.0
8.0,0,1.0,0.0
5.0,1,1.0,0.0
10.0,1,2.0,0.0
5.0,0,1.0,0.0
4.0,1,1.0,0.0
4.0,0,2.0,0.0
3.0,1,2.0,0.0
3.0,0,2.0,0.0
3.0,0,1.0,0.0
5.0,0,2.0,0.0
2.0,0,1.0,0.0
13.0,0,2.0,0.004901960784313725
14.0,0,2.0,0.005780346820809248
13.0,1,2.0,0.009345794392523364
15.0,0,2.0,0.011320754716981131
9.0,0,1.0,0.011494252873563218
14.0,0,1.0,0.013201320132013201
9.0,1,2.0,0.021052631578947368
14.0,1,2.0,0.022556390977443608
1.0,0,2.0,0.02564102564102564
12.0,1,2.0,0.028037383177570093
17.0,0,2.0,0.029013539651837523
16.0,0,2.0,0.029143361789814543
8.0,1,1.0,0.034482758620689655
15.0,0,1.0,0.03571428571428571
1.0,0,1.0,0.03896103896103896
13.0,0,1.0,0.039755351681957186
1.0,1,2.0,0.04487179487179487
17.0,1,2.0,0.047109207708779445
12.0,0,1.0,0.0472972972972973
9.0,1,1.0,0.049723756906077346
6.0,1,1.0,0.05128205128205128
15.0,1,2.0,0.05188679245283019
11.0,0,1.0,0.05660377358490566
19.0,0,2.0,0.06731059462722608
16.0,1,2.0,0.06957328385899815
6.0,0,1.0,0.07142857142857142
18.0,0,2.0,0.07762237762237763
17.0,0,1.0,0.09066305818673884
12.0,1,1.0,0.09844559585492228
16.0,0,1.0,0.10566651184393869
4.0,0,1.0,0.1111111111111111
1.0,1,1.0,0.11428571428571428
2.0,0,2.0,0.125
13.0,1,1.0,0.14215686274509803
18.0,0,1.0,0.15095785440613027
18.0,1,2.0,0.15553745928338764
4.0,1,2.0,0.16666666666666666
19.0,1,2.0,0.16863905325443787
19.0,0,1.0,0.17165406116409077
20.0,0,2.0,0.1877962085308057
15.0,1,1.0,0.2356020942408377
11.0,1,1.0,0.24293785310734464
20.0,1,2.0,0.2743362831858407
10.0,1,1.0,0.275
14.0,1,1.0,0.2830188679245283
20.0,0,1.0,0.2922564529558701
17.0,1,1.0,0.3094660194174757
2.0,1,1.0,0.4
2.0,1,2.0,0.4
3.0,1,1.0,0.4
21.0,0,2.0,0.40504876649454963
16.0,1,1.0,0.4317170818505338
21.0,1,2.0,0.49149415863906537
21.0,0,1.0,0.538013698630137
18.0,1,1.0,0.588957055214724
19.0,1,1.0,0.6270939548434086
20.0,1,1.0,0.6892950391644909
22.0,0,2.0,0.6917663617171006
22.0,1,2.0,0.7556904400606981
22.0,0,1.0,0.766541822721598
23.0,0,2.0,0.8015873015873016
23.0,0,1.0,0.8288973384030418
24.0,0,1.0,0.8486486486486486
23.0,1,2.0,0.8523364485981308
24.0,0,2.0,0.8534031413612565
21.0,1,1.0,0.8598076923076923
24.0,1,2.0,0.8668478260869565
22.0,1,1.0,0.9320739549839229
24.0,1,1.0,0.9621342512908778
23.0,1,1.0,0.9651972157772621
