legitimate_value,attr1_value,attr2_value,csp_rate
10.0,18_25,1.0,0.0
4600.0,18_25,1.0,0.0
4540.0,60_plus,2.0,0.0
4540.0,45_60,2.0,0.0
4540.0,18_25,2.0,0.0
4540.0,18_25,1.0,0.0
4530.0,60_plus,1.0,0.0
4530.0,45_60,2.0,0.0
4530.0,25_45,2.0,0.0
4530.0,18_25,2.0,0.0
4530.0,18_25,1.0,0.0
4525.0,45_60,2.0,0.0
4525.0,25_45,2.0,0.0
4525.0,18_25,2.0,0.0
4522.0,60_plus,2.0,0.0
4522.0,25_45,2.0,0.0
4522.0,18_25,2.0,0.0
4521.0,60_plus,2.0,0.0
4500.0,25_45,2.0,0.0
4500.0,45_60,1.0,0.0
4500.0,45_60,2.0,0.0
4500.0,60_plus,1.0,0.0
4500.0,60_plus,2.0,0.0
4510.0,18_25,1.0,0.0
4600.0,18_25,2.0,0.0
4510.0,18_25,2.0,0.0
4510.0,60_plus,1.0,0.0
4521.0,18_25,2.0,0.0
4521.0,25_45,1.0,0.0
4521.0,25_45,2.0,0.0
4521.0,45_60,1.0,0.0
4521.0,45_60,2.0,0.0
4510.0,25_45,1.0,0.0
4600.0,25_45,1.0,0.0
4600.0,25_45,2.0,0.0
4600.0,45_60,1.0,0.0
4655.0,18_25,2.0,0.0
4655.0,25_45,1.0,0.0
4655.0,25_45,2.0,0.0
4655.0,60_plus,2.0,0.0
4700.0,18_25,1.0,0.0
4700.0,18_25,2.0,0.0
4655.0,18_25,1.0,0.0
4710.0,18_25,1.0,0.0
4720.0,18_25,1.0,0.0
4720.0,18_25,2.0,0.0
4720.0,25_45,1.0,0.0
4720.0,25_45,2.0,0.0
4720.0,45_60,2.0,0.0
4720.0,60_plus,2.0,0.0
4710.0,18_25,2.0,0.0
4500.0,25_45,1.0,0.0
4640.0,45_60,2.0,0.0
4640.0,25_45,2.0,0.0
4600.0,60_plus,1.0,0.0
4621.0,18_25,1.0,0.0
4621.0,18_25,2.0,0.0
4621.0,60_plus,1.0,0.0
4622.0,18_25,1.0,0.0
4622.0,18_25,2.0,0.0
4640.0,45_60,1.0,0.0
4622.0,25_45,1.0,0.0
4622.0,45_60,2.0,0.0
4622.0,60_plus,1.0,0.0
4622.0,60_plus,2.0,0.0
4640.0,18_25,1.0,0.0
4640.0,18_25,2.0,0.0
4640.0,25_45,1.0,0.0
4622.0,25_45,2.0,0.0
4740.0,18_25,1.0,0.0
4500.0,18_25,2.0,0.0
4465.0,60_plus,2.0,0.0
4330.0,18_25,2.0,0.0
4330.0,18_25,1.0,0.0
4255.0,60_plus,2.0,0.0
4255.0,60_plus,1.0,0.0
