legitimate_value,attr1_value,attr2_value,csp_rate
8.0,45_60,1.0,0.0
6.0,60_plus,1.0,0.0
6.0,60_plus,2.0,0.0
7.0,25_45,1.0,0.0
7.0,25_45,2.0,0.0
7.0,45_60,1.0,0.0
7.0,45_60,2.0,0.0
7.0,60_plus,1.0,0.0
7.0,60_plus,2.0,0.0
8.0,18_25,1.0,0.0
12.0,25_45,2.0,0.0
8.0,25_45,2.0,0.0
14.0,25_45,2.0,0.0
8.0,45_60,2.0,0.0
8.0,60_plus,1.0,0.0
8.0,60_plus,2.0,0.0
9.0,18_25,1.0,0.0
9.0,18_25,2.0,0.0
11.0,18_25,2.0,0.0
11.0,18_25,1.0,0.0
10.0,60_plus,2.0,0.0
17.0,18_25,1.0,0.0
10.0,45_60,2.0,0.0
17.0,18_25,2.0,0.0
11.0,25_45,2.0,0.0
10.0,25_45,2.0,0.0
10.0,18_25,2.0,0.0
10.0,18_25,1.0,0.0
11.0,60_plus,2.0,0.0
9.0,45_60,2.0,0.0
12.0,18_25,1.0,0.0
12.0,18_25,2.0,0.0
11.0,45_60,2.0,0.0
13.0,18_25,1.0,0.0
6.0,45_60,2.0,0.0
13.0,18_25,2.0,0.0
1.0,18_25,2.0,0.0
24.0,18_25,2.0,0.0
14.0,18_25,2.0,0.0
24.0,18_25,1.0,0.0
14.0,18_25,1.0,0.0
23.0,18_25,1.0,0.0
15.0,18_25,1.0,0.0
2.0,25_45,1.0,0.0
2.0,25_45,2.0,0.0
15.0,18_25,2.0,0.0
20.0,18_25,2.0,0.0
19.0,18_25,2.0,0.0
3.0,18_25,2.0,0.0
6.0,25_45,2.0,0.0
3.0,25_45,2.0,0.0
16.0,18_25,2.0,0.0
3.0,45_60,2.0,0.0
6.0,18_25,1.0,0.0
5.0,60_plus,2.0,0.0
5.0,60_plus,1.0,0.0
5.0,45_60,2.0,0.0
5.0,45_60,1.0,0.0
5.0,25_45,2.0,0.0
5.0,25_45,1.0,0.0
13.0,25_45,2.0,0.0
5.0,18_25,2.0,0.0
18.0,18_25,2.0,0.0
4.0,25_45,2.0,0.0
4.0,25_45,1.0,0.0
4.0,18_25,2.0,0.0
4.0,60_plus,1.0,0.0
19.0,18_25,1.0,0.001606425702811245
18.0,18_25,1.0,0.0018115942028985507
16.0,18_25,1.0,0.0019342359767891683
20.0,18_25,1.0,0.00816326530612245
9.0,25_45,1.0,0.008928571428571428
16.0,25_45,2.0,0.012345679012345678
13.0,45_60,2.0,0.012658227848101266
9.0,60_plus,1.0,0.02040816326530612
13.0,60_plus,2.0,0.02127659574468085
15.0,25_45,2.0,0.022727272727272728
9.0,25_45,2.0,0.023809523809523808
12.0,45_60,2.0,0.02531645569620253
12.0,60_plus,2.0,0.02702702702702703
9.0,60_plus,2.0,0.02857142857142857
1.0,25_45,2.0,0.030612244897959183
15.0,60_plus,2.0,0.031914893617021274
17.0,60_plus,2.0,0.03225806451612903
14.0,60_plus,2.0,0.03278688524590164
17.0,25_45,2.0,0.035398230088495575
1.0,45_60,2.0,0.0364963503649635
12.0,25_45,1.0,0.03680981595092025
21.0,18_25,2.0,0.037089871611982884
8.0,25_45,1.0,0.038461538461538464
14.0,45_60,2.0,0.041666666666666664
13.0,25_45,1.0,0.043478260869565216
1.0,60_plus,2.0,0.047619047619047616
6.0,25_45,1.0,0.047619047619047616
18.0,25_45,2.0,0.049019607843137254
15.0,45_60,2.0,0.049079754601226995
17.0,45_60,2.0,0.05056179775280899
1.0,18_25,1.0,0.05263157894736842
19.0,25_45,2.0,0.05706806282722513
1.0,25_45,1.0,0.0625
15.0,25_45,1.0,0.0648854961832061
16.0,60_plus,2.0,0.08011869436201781
9.0,45_60,1.0,0.08163265306122448
16.0,45_60,2.0,0.08729081863410222
1.0,45_60,1.0,0.09090909090909091
14.0,25_45,1.0,0.09905660377358491
11.0,25_45,1.0,0.1
10.0,25_45,1.0,0.1
10.0,60_plus,1.0,0.11764705882352941
1.0,60_plus,1.0,0.11842105263157894
6.0,45_60,1.0,0.125
